"GeographyCode","QS402EW0001","QS402EW0002","QS402EW0003","QS402EW0004","QS402EW0005","QS402EW0006","QS402EW0007","QS402EW0008","QS402EW0009","QS402EW0010","QS402EW0011","QS402EW0012"
"E02001347",3204,3204,2932,501,1010,1421,271,254,8,9,1,0
"E02001348",3148,3138,2944,46,820,2078,194,66,78,50,0,10
"E02001349",3422,3395,2909,283,944,1682,486,310,115,61,0,27
"E02001350",3417,3417,3023,462,1206,1355,394,379,12,3,0,0
"E02001351",3515,3515,3181,295,839,2047,333,304,15,14,1,0
"E02001352",3046,3031,2321,73,789,1459,710,484,193,33,0,15
"E02001353",2959,2959,2943,1241,1284,418,16,9,2,5,0,0
"E02001354",3312,3312,2977,159,1584,1234,335,324,7,4,0,0
"E02001355",3108,3108,2664,40,386,2238,444,342,54,48,0,0
"E02001356",2364,2364,2242,125,710,1407,122,106,11,5,0,0
"E02001357",2858,2858,2822,99,1194,1529,36,16,5,15,0,0
"E02001358",3450,3447,3228,68,140,3020,218,101,47,70,1,3
"E02001359",2328,2328,2145,950,612,583,183,169,12,2,0,0
"E02001360",4130,4124,3172,148,975,2049,952,835,71,46,0,6
"E02001361",3388,3388,3042,149,1389,1504,346,321,10,15,0,0
"E02001362",3161,3161,2872,84,1870,918,288,254,6,28,1,0
"E02001363",3481,3481,2965,260,931,1774,516,496,17,3,0,0
"E02001364",2532,2514,2108,76,260,1772,402,240,130,32,4,18
"E02001365",4059,4038,3643,151,339,3153,395,170,156,69,0,21
"E02001366",4081,4062,3253,120,1005,2128,809,461,302,46,0,19
"E02001367",3939,3939,3339,576,2065,698,600,481,79,40,0,0
"E02001368",2918,2915,2222,143,1178,901,693,672,13,8,0,3
"E02001369",3877,3871,2421,169,1410,842,1450,1377,57,16,0,6
"E02001370",3153,3147,2272,138,865,1269,875,731,98,46,0,6
"E02001371",3076,3076,2913,144,1076,1693,163,146,9,8,0,0
"E02001372",2728,2724,2103,244,998,861,621,568,23,30,0,4
"E02001373",4089,4079,3550,101,909,2540,528,299,155,74,1,10
"E02001374",4105,3956,2040,127,717,1196,1916,942,905,69,0,149
"E02001375",3202,3202,2956,46,614,2296,246,197,17,32,0,0
"E02001376",3789,3775,3284,158,452,2674,491,357,88,46,0,14
"E02001377",4063,3957,2188,134,651,1403,1765,1514,217,34,4,106
"E02001378",3557,3533,2616,326,1122,1168,917,782,117,18,0,24
"E02001380",3117,3117,2884,144,2238,502,233,134,86,13,0,0
"E02001381",4312,4301,3790,114,699,2977,511,325,135,51,0,11
"E02001382",2782,2782,2730,357,2135,238,52,15,4,33,0,0
"E02001383",4260,3930,1018,82,340,596,2911,1840,1050,21,1,330
"E02001384",3941,3934,3236,71,281,2884,698,397,190,111,0,7
"E02001385",3631,3571,2514,287,833,1394,1053,687,311,55,4,60
"E02001386",3572,3570,3032,201,1083,1748,537,519,11,7,1,2
"E02001387",3162,3162,2757,293,1879,585,405,257,118,30,0,0
"E02001388",4170,3643,2725,49,260,2416,918,684,177,57,0,527
"E02001389",3740,3508,747,79,328,340,2760,1375,1361,24,1,232
"E02001390",4094,4081,2947,183,767,1997,1133,866,192,75,1,13
"E02001391",2481,2481,2402,122,825,1455,77,75,1,1,2,0
"E02001392",2556,2556,2291,645,1444,202,265,231,25,9,0,0
"E02001393",2845,2845,2509,1233,1183,93,336,311,24,1,0,0
"E02001394",4290,4195,1679,164,431,1084,2515,1491,977,47,1,95
"E02001395",2612,2611,2390,60,1466,864,221,160,26,35,0,1
"E02001396",3918,3908,2901,247,318,2336,1006,903,52,51,1,10
"E02001397",3848,3848,2547,475,1253,819,1301,1200,64,37,0,0
"E02001398",3595,3548,2038,361,514,1163,1509,992,455,62,1,47
"E02001399",2866,2866,2680,183,2124,373,186,153,10,23,0,0
"E02001400",2839,2839,2288,202,1454,632,551,515,26,10,0,0
"E02001401",3395,3395,2881,364,2149,368,513,474,18,21,1,0
"E02001402",3762,3758,2771,687,1504,580,987,758,183,46,0,4
"E02001403",2841,2814,2222,51,472,1699,592,389,149,54,0,27
"E02001404",3155,3155,2717,167,630,1920,438,421,8,9,0,0
"E02001405",4154,4154,3687,177,760,2750,466,453,9,4,1,0
"E02006932",3201,3117,261,27,86,148,2855,2444,214,197,1,84
"E02006933",3135,3132,778,54,445,279,2354,2195,63,96,0,3
"E02006934",2782,2765,150,20,52,78,2605,2386,90,129,10,17
