"GeographyCode","QS404EW0001","QS404EW0002","QS404EW0003","QS404EW0004","QS404EW0005","QS404EW0006","QS404EW0007"
"E01006512",32,20,0,1,7,4,0
"E01006513",44,21,0,3,10,9,1
"E01006514",86,11,0,2,62,9,2
"E01006515",143,11,0,18,102,6,6
"E01006518",220,57,0,17,122,13,11
"E01006519",149,143,0,1,3,1,1
"E01006520",161,14,1,1,117,25,3
"E01006521",264,163,0,1,80,19,1
"E01006522",69,18,0,0,34,15,2
"E01006523",118,40,0,0,66,10,2
"E01006524",142,126,0,1,1,10,4
"E01006525",154,145,0,2,0,6,1
"E01006526",155,136,0,0,12,4,3
"E01006527",208,128,0,2,74,2,2
"E01006528",90,63,1,3,12,9,2
"E01006529",122,107,1,3,4,5,2
"E01006530",247,233,5,0,4,3,2
"E01006531",351,277,1,7,59,4,3
"E01006532",230,206,0,0,19,4,1
"E01006533",213,168,0,3,32,4,6
"E01006534",163,116,0,8,30,5,4
"E01006535",187,130,0,9,36,4,8
"E01006536",228,142,0,15,55,10,6
"E01006537",169,153,0,1,8,6,1
"E01006538",163,143,0,6,4,6,4
"E01006539",184,173,1,0,3,6,1
"E01006540",136,45,0,0,74,16,1
"E01006541",229,129,0,21,59,15,5
"E01006542",104,81,0,0,11,10,2
"E01006543",150,127,0,1,10,10,2
"E01006544",170,64,0,5,76,21,4
"E01006545",146,119,0,2,1,20,4
"E01006546",103,85,0,1,1,16,0
"E01006547",139,90,2,1,25,18,3
"E01006548",146,113,0,0,8,20,5
"E01006549",66,23,0,0,32,10,1
"E01006550",54,38,3,0,9,4,0
"E01006551",281,24,1,4,235,13,4
"E01006552",91,35,0,1,43,12,0
"E01006553",63,43,0,0,11,9,0
"E01006554",61,40,0,1,9,11,0
"E01006556",138,40,0,2,82,9,5
"E01006557",63,50,0,0,7,6,0
"E01006558",142,66,1,2,56,15,2
"E01006560",284,51,0,32,187,5,9
"E01006562",128,65,0,6,45,9,3
"E01006563",318,35,0,36,206,32,9
"E01006564",248,156,0,19,58,6,9
"E01006565",214,153,0,7,36,16,2
"E01006566",150,119,0,8,13,6,4
"E01006567",281,107,0,12,135,20,7
"E01006568",128,80,1,1,38,7,1
"E01006569",218,142,0,17,48,0,11
"E01006570",164,146,0,0,3,12,3
"E01006571",172,99,12,17,38,3,3
"E01006572",128,53,0,23,44,1,7
"E01006573",226,75,0,3,112,28,8
"E01006574",189,100,0,10,75,4,0
"E01006575",184,137,2,9,12,20,4
"E01006576",192,162,0,0,4,25,1
"E01006577",165,149,0,1,1,7,7
"E01006578",144,112,0,0,8,24,0
"E01006579",204,196,0,0,1,7,0
"E01006580",146,141,0,0,3,2,0
"E01006581",175,170,0,0,1,3,1
"E01006582",150,142,0,0,3,3,2
"E01006583",165,162,0,0,0,2,1
"E01006584",165,143,2,0,10,10,0
"E01006585",194,84,0,21,72,3,14
"E01006586",212,100,1,5,83,16,7
"E01006587",128,71,11,0,38,8,0
"E01006588",138,110,0,2,9,15,2
"E01006589",158,147,0,2,6,1,2
"E01006590",120,94,0,1,8,15,2
"E01006591",128,108,0,0,2,14,4
"E01006592",224,211,1,1,3,4,4
"E01006593",102,85,0,1,2,14,0
"E01006594",198,176,2,1,3,12,4
"E01006595",223,177,0,0,32,12,2
"E01006596",162,147,0,1,1,11,2
"E01006597",197,187,0,0,3,6,1
"E01006598",178,56,0,25,87,7,3
"E01006599",86,34,0,14,30,5,3
"E01006600",196,124,2,18,37,5,10
"E01006603",201,129,0,12,50,2,8
"E01006604",167,109,1,16,32,2,7
"E01006605",211,97,0,29,73,4,8
"E01006606",178,131,1,3,27,12,4
"E01006607",179,113,0,6,52,4,4
"E01006608",129,64,1,3,43,14,4
"E01006609",134,96,0,2,16,18,2
"E01006610",190,68,0,1,103,18,0
"E01006611",129,84,0,0,20,24,1
"E01006612",209,88,0,36,71,1,13
"E01006613",206,122,0,17,54,7,6
"E01006614",139,97,1,0,28,12,1
"E01006615",123,60,0,6,34,17,6
"E01006616",179,105,4,13,48,5,4
"E01006617",156,124,0,2,16,10,4
"E01006618",267,181,1,19,55,5,6
"E01006619",205,170,0,1,8,20,6
"E01006620",250,185,0,4,52,5,4
"E01006621",195,176,0,3,4,8,4
"E01006622",196,189,0,0,1,5,1
"E01006623",147,140,0,0,3,2,2
"E01006624",183,126,1,6,32,12,6
"E01006625",216,169,1,3,35,4,4
"E01006626",198,157,1,3,29,6,2
"E01006627",172,135,2,6,16,6,7
"E01006628",146,96,4,0,35,8,3
"E01006629",158,117,0,1,33,3,4
"E01006630",104,13,0,18,63,5,5
"E01006632",179,80,1,18,69,7,4
"E01006633",210,41,0,29,125,12,3
"E01006637",117,40,0,17,52,5,3
"E01006638",122,47,0,19,48,2,6
"E01006639",133,100,1,7,20,5,0
"E01006640",197,149,1,4,31,10,2
"E01006641",37,32,0,0,3,2,0
"E01006642",147,73,0,17,44,6,7
"E01006643",136,73,0,21,34,3,5
"E01006644",201,98,0,13,71,11,8
"E01006645",236,89,0,17,116,7,7
"E01006646",166,27,0,18,105,8,8
"E01006647",165,30,0,18,101,5,11
"E01006648",211,43,0,26,128,8,6
"E01006651",67,61,0,0,4,1,1
"E01006652",142,120,0,0,2,19,1
"E01006653",169,104,1,9,41,8,6
"E01006654",152,59,0,3,71,18,1
"E01006655",191,132,0,9,41,6,3
"E01006656",147,109,0,1,12,24,1
"E01006657",134,78,0,4,27,20,5
"E01006658",172,95,0,23,42,6,6
"E01006659",126,51,0,7,58,6,4
"E01006660",183,78,0,10,82,4,9
"E01006661",233,71,0,28,114,6,14
"E01006662",253,64,5,20,150,5,9
"E01006663",108,37,1,17,46,4,3
"E01006664",208,83,1,16,88,16,4
"E01006665",85,75,1,0,1,8,0
"E01006666",66,53,9,0,1,2,1
"E01006667",146,104,4,6,20,7,5
"E01006668",74,62,2,0,2,6,2
"E01006669",69,44,4,3,8,5,5
"E01006670",112,102,1,2,6,1,0
"E01006671",121,82,0,12,21,2,4
"E01006672",164,82,2,16,61,1,2
