"GeographyCode","QS404EW0001","QS404EW0002","QS404EW0003","QS404EW0004","QS404EW0005","QS404EW0006","QS404EW0007"
"E02001347",782,470,1,51,210,25,25
"E02001348",718,535,0,6,63,101,13
"E02001349",699,574,3,5,37,74,6
"E02001350",871,299,11,84,406,36,35
"E02001351",854,386,1,92,327,32,16
"E02001352",623,315,0,52,178,56,22
"E02001353",483,396,17,8,30,24,8
"E02001354",806,470,0,74,209,24,29
"E02001355",771,425,2,23,227,80,14
"E02001356",550,227,2,65,224,18,14
"E02001357",834,432,2,89,263,20,28
"E02001358",656,417,2,7,128,91,11
"E02001359",623,483,3,24,72,22,19
"E02001360",861,348,3,94,335,66,15
"E02001361",906,521,4,43,256,61,21
"E02001362",1059,713,4,70,224,21,27
"E02001363",809,374,1,73,307,30,24
"E02001364",502,232,2,11,200,45,12
"E02001365",746,534,2,6,83,107,14
"E02001366",862,613,7,20,127,76,19
"E02001367",1199,993,1,14,112,58,21
"E02001368",828,152,4,106,502,33,31
"E02001369",909,277,0,95,478,27,32
"E02001370",907,180,0,74,564,62,27
"E02001371",637,331,0,71,200,16,19
"E02001372",745,432,13,30,214,42,14
"E02001373",907,604,0,32,171,74,26
"E02001374",560,294,2,11,165,81,7
"E02001375",944,601,0,28,206,83,26
"E02001376",721,395,1,38,176,92,19
"E02001377",667,240,3,42,313,48,21
"E02001378",798,437,12,36,230,54,29
"E02001380",910,787,4,10,28,69,12
"E02001381",707,420,0,9,184,75,19
"E02001382",734,663,0,3,22,43,3
"E02001383",473,47,1,35,339,32,19
"E02001384",575,350,5,5,146,59,10
"E02001385",594,126,0,66,350,38,14
"E02001386",1172,487,31,74,512,25,43
"E02001387",857,795,1,3,17,28,13
"E02001388",496,391,0,4,36,61,4
"E02001389",405,85,2,7,246,54,11
"E02001390",868,244,19,95,431,41,38
"E02001391",689,351,24,46,236,17,15
"E02001392",1024,954,9,2,23,27,9
"E02001393",982,917,3,1,25,26,10
"E02001394",830,451,2,9,295,58,15
"E02001395",741,643,1,5,50,35,7
"E02001396",710,402,0,46,210,46,6
"E02001397",1264,797,3,31,348,57,28
"E02001398",776,479,5,5,226,49,12
"E02001399",927,824,1,4,80,11,7
"E02001400",787,540,0,44,150,29,24
"E02001401",1143,974,6,17,107,23,16
"E02001402",978,795,7,4,104,58,10
"E02001403",558,309,18,23,163,32,13
"E02001404",703,384,0,51,236,16,16
"E02001405",878,370,4,99,360,24,21
"E02006932",126,37,1,6,62,16,4
"E02006933",266,96,0,32,106,23,9
"E02006934",82,35,0,8,25,12,2
