"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E01006512",799,431,227,65,51,17,6,1,1
"E01006513",909,467,290,62,39,27,11,4,9
"E01006514",1115,747,236,54,36,28,11,0,3
"E01006515",641,313,194,66,44,16,4,3,1
"E01006518",835,389,245,109,58,20,9,3,2
"E01006519",514,128,168,96,85,31,4,1,1
"E01006520",1182,805,303,42,19,9,2,1,1
"E01006521",928,485,302,70,47,14,8,2,0
"E01006522",1094,675,317,64,26,7,5,0,0
"E01006523",830,448,233,83,39,14,12,0,1
"E01006524",583,273,201,56,37,10,4,2,0
"E01006525",486,109,167,109,71,25,5,0,0
"E01006526",654,287,201,88,51,18,9,0,0
"E01006527",638,245,188,101,74,27,3,0,0
"E01006528",613,214,174,95,82,31,16,0,1
"E01006529",559,180,167,97,87,18,9,1,0
"E01006530",616,172,223,101,99,17,3,0,1
"E01006531",674,227,256,87,74,23,6,0,1
"E01006532",617,149,219,103,90,43,8,5,0
"E01006533",614,240,174,81,80,32,5,2,0
"E01006534",649,224,173,111,82,45,12,2,0
"E01006535",656,205,195,129,84,32,7,3,1
"E01006536",815,272,273,128,90,33,14,3,2
"E01006537",964,278,338,172,113,47,13,2,1
"E01006538",527,130,172,101,90,25,7,2,0
"E01006539",601,176,215,93,85,23,2,5,2
"E01006540",771,415,163,89,72,17,9,2,4
"E01006541",803,362,224,116,78,15,8,0,0
"E01006542",583,241,143,92,58,36,9,4,0
"E01006543",509,148,138,109,80,29,4,1,0
"E01006544",738,264,222,118,84,40,10,0,0
"E01006545",646,201,206,116,78,32,12,1,0
"E01006546",583,227,152,92,65,36,6,4,1
"E01006547",718,334,173,103,63,23,20,2,0
"E01006548",759,334,200,112,75,26,8,2,2
"E01006549",949,636,188,56,34,11,6,8,10
"E01006550",483,118,109,53,64,46,47,38,8
"E01006551",751,511,170,36,21,6,3,1,3
"E01006552",869,346,238,121,70,50,21,9,14
"E01006553",642,167,161,85,102,72,31,15,9
"E01006554",649,280,141,72,49,32,30,23,22
"E01006556",1016,538,229,115,62,34,26,6,6
"E01006557",635,138,136,85,104,99,47,20,6
"E01006558",739,380,206,79,47,23,3,1,0
"E01006560",996,536,241,102,71,31,11,2,2
"E01006562",714,294,194,132,55,24,12,1,2
"E01006563",908,477,206,115,67,28,8,6,1
"E01006564",800,300,263,111,84,32,6,3,1
"E01006565",638,197,187,113,86,38,15,1,1
"E01006566",577,184,147,103,95,33,12,1,2
"E01006567",892,500,191,110,58,23,8,1,1
"E01006568",629,191,197,109,91,33,6,2,0
"E01006569",613,236,178,89,58,36,12,3,1
"E01006570",595,165,184,100,105,37,3,1,0
"E01006571",612,204,172,109,87,29,7,4,0
"E01006572",501,133,175,98,54,32,9,0,0
"E01006573",778,368,219,101,63,22,5,0,0
"E01006574",612,231,151,113,82,26,5,4,0
"E01006575",578,205,179,89,75,21,9,0,0
"E01006576",713,191,247,139,104,26,3,1,2
"E01006577",597,145,191,117,107,28,7,1,1
"E01006578",554,139,187,93,99,28,6,1,1
"E01006579",618,131,195,108,138,34,9,2,1
"E01006580",515,113,170,96,98,30,8,0,0
"E01006581",607,138,189,124,118,29,9,0,0
"E01006582",585,110,185,104,117,46,21,2,0
"E01006583",467,85,157,88,105,22,8,2,0
"E01006584",611,205,196,89,85,28,7,1,0
"E01006585",641,268,180,90,73,19,8,3,0
"E01006586",921,414,254,112,100,31,8,2,0
"E01006587",717,259,209,132,65,35,10,5,2
"E01006588",702,272,220,93,75,30,8,2,2
"E01006589",599,152,178,122,108,31,5,3,0
"E01006590",701,231,210,118,99,29,8,5,1
"E01006591",671,192,212,111,108,38,8,2,0
"E01006592",624,189,191,79,106,48,8,3,0
"E01006593",662,232,190,115,66,42,12,3,2
"E01006594",579,172,191,77,94,31,12,1,1
"E01006595",812,280,277,145,84,19,4,3,0
"E01006596",597,162,206,97,93,26,10,1,2
"E01006597",683,193,231,121,88,38,8,2,2
"E01006598",604,223,179,94,56,41,9,1,1
"E01006599",482,158,137,97,62,18,10,0,0
"E01006600",592,180,178,115,79,30,10,0,0
"E01006603",594,182,202,91,79,32,6,1,1
"E01006604",571,175,167,117,70,28,12,1,1
"E01006605",696,289,179,93,84,37,14,0,0
"E01006606",723,272,247,108,63,23,8,1,1
"E01006607",641,196,186,127,88,39,4,0,1
"E01006608",563,221,163,90,61,18,8,2,0
"E01006609",576,209,169,106,51,33,7,1,0
"E01006610",669,283,193,95,64,20,13,1,0
"E01006611",742,411,183,100,31,12,5,0,0
"E01006612",740,346,185,106,63,32,7,1,0
"E01006613",611,240,163,94,72,31,9,1,1
"E01006614",667,292,204,93,58,13,5,0,2
"E01006615",663,279,217,93,62,10,2,0,0
"E01006616",613,207,186,100,72,32,12,3,1
"E01006617",650,211,240,96,77,22,4,0,0
"E01006618",692,212,216,116,104,34,9,1,0
"E01006619",734,256,251,108,87,26,3,3,0
"E01006620",625,229,191,81,80,30,13,1,0
"E01006621",584,163,176,98,95,37,11,4,0
"E01006622",586,129,193,108,115,27,13,1,0
"E01006623",527,69,198,99,115,37,8,1,0
"E01006624",702,268,215,90,82,31,12,4,0
"E01006625",609,185,197,108,87,29,1,2,0
"E01006626",593,173,172,106,104,32,5,1,0
"E01006627",600,195,181,108,89,21,6,0,0
"E01006628",651,200,221,103,87,26,11,1,2
"E01006629",573,203,192,103,47,15,10,2,1
"E01006630",555,166,176,104,62,27,16,3,1
"E01006632",884,344,289,132,80,32,5,2,0
"E01006633",699,317,186,96,63,22,13,1,1
"E01006637",670,208,199,130,86,33,9,3,2
"E01006638",518,161,152,113,58,21,13,0,0
"E01006639",640,199,195,121,80,34,10,1,0
"E01006640",760,217,240,115,127,43,12,5,1
"E01006641",633,154,184,124,124,35,9,3,0
"E01006642",590,219,181,103,51,23,10,3,0
"E01006643",740,198,240,146,99,41,11,3,2
"E01006644",963,404,263,151,92,36,12,4,1
"E01006645",690,299,194,103,55,28,9,2,0
"E01006646",1006,503,284,125,55,27,7,3,2
"E01006647",636,242,183,83,82,39,7,0,0
"E01006648",1075,428,367,165,76,27,8,2,2
"E01006651",592,103,172,132,139,35,9,2,0
"E01006652",633,193,190,122,89,27,9,3,0
"E01006653",656,203,218,122,72,25,13,2,1
"E01006654",627,217,175,101,93,34,6,1,0
"E01006655",706,194,217,142,98,44,10,1,0
"E01006656",669,222,223,115,74,30,3,1,1
"E01006657",582,236,178,82,62,20,3,1,0
"E01006658",634,254,205,95,56,18,5,1,0
"E01006659",548,264,139,82,40,17,5,1,0
"E01006660",616,226,147,115,86,30,10,2,0
"E01006661",749,269,237,119,82,24,13,3,2
"E01006662",785,333,216,121,77,31,7,0,0
"E01006663",510,175,153,91,68,13,9,0,1
"E01006664",822,327,241,112,84,40,13,4,1
"E01006665",630,180,183,123,102,29,9,2,2
"E01006666",514,84,134,108,125,50,13,0,0
"E01006667",618,188,215,99,90,19,6,1,0
"E01006668",590,119,194,133,103,31,9,1,0
"E01006669",551,123,166,108,99,38,14,3,0
"E01006670",607,133,213,119,110,29,2,1,0
"E01006671",499,115,155,83,85,37,22,0,2
"E01006672",798,238,224,165,105,47,14,5,0
"E01006673",954,482,234,97,70,39,23,4,5
"E01006674",826,400,173,92,63,45,25,12,16
"E01006675",1132,766,256,71,21,9,5,2,2
"E01006676",761,290,215,112,81,34,16,6,7
"E01006677",477,210,126,73,44,14,8,0,2
"E01006678",1059,513,260,138,93,34,15,3,3
"E01006679",920,392,218,109,79,61,35,17,9
"E01006680",605,140,183,126,111,33,8,4,0
"E01006681",719,276,211,109,76,33,10,2,2
"E01006682",498,96,172,98,96,25,10,1,0
"E01006683",594,136,200,108,111,31,8,0,0
"E01006684",999,361,355,144,98,30,10,0,1
"E01006685",604,181,192,111,85,28,4,2,1
"E01006686",531,122,170,81,95,44,15,1,3
"E01006687",933,391,279,142,93,21,5,2,0
"E01006688",712,282,215,88,98,22,7,0,0
"E01006689",717,228,238,112,102,25,9,2,1
"E01006690",801,436,194,91,51,20,7,2,0
"E01006691",647,247,157,115,78,35,10,5,0
"E01006692",989,400,285,120,107,48,23,4,2
"E01006693",838,463,191,101,63,15,3,1,1
"E01006694",891,375,255,124,93,33,8,2,1
"E01006695",1029,637,195,84,56,40,12,4,1
"E01006696",768,290,214,109,98,40,15,0,2
"E01006697",828,319,239,121,96,32,14,3,4
"E01006698",725,244,198,129,101,37,14,0,2
"E01006699",777,322,242,112,74,21,4,2,0
"E01006700",653,265,174,106,73,25,8,2,0
"E01006701",671,290,183,102,70,20,5,0,1
"E01006702",740,263,248,122,73,26,7,1,0
"E01006703",818,447,184,91,56,30,6,3,1
"E01006705",689,299,199,99,58,25,6,2,1
"E01006706",582,186,184,99,77,30,5,1,0
"E01006707",553,163,194,96,61,30,5,2,2
"E01006708",754,249,224,128,106,35,9,1,2
"E01006709",685,293,187,102,66,27,6,3,1
"E01006710",592,136,200,118,104,20,14,0,0
"E01006711",685,277,183,109,76,21,14,3,2
"E01006712",569,194,169,91,82,28,5,0,0
"E01006713",604,196,194,106,73,30,4,1,0
"E01006716",701,285,215,112,58,18,10,3,0
"E01006717",576,168,165,105,89,31,14,4,0
"E01006718",678,245,176,122,80,40,9,3,3
"E01006719",638,193,183,133,82,35,10,2,0
"E01006720",905,361,222,133,96,53,28,9,3
"E01006721",912,453,292,94,48,10,12,2,1
"E01006722",608,155,117,115,112,60,38,7,4
"E01006723",749,264,171,122,118,42,19,10,3
"E01006724",554,113,125,84,87,84,33,24,4
"E01006725",739,308,219,109,74,18,8,1,2
"E01006726",659,226,185,101,93,33,18,3,0
"E01006727",665,238,223,107,62,26,8,1,0
"E01006728",855,399,279,96,44,29,3,4,1
"E01006729",539,121,170,122,76,33,15,2,0
"E01006730",542,165,155,105,70,33,10,4,0
"E01006731",486,142,145,95,63,23,16,1,1
"E01006732",644,170,197,119,94,44,15,4,1
"E01006734",625,187,222,119,68,24,3,2,0
"E01006735",571,207,150,111,67,21,12,1,2
"E01006736",582,158,162,130,93,24,10,4,1
"E01006737",562,142,164,126,86,31,6,5,2
"E01006738",662,220,210,112,81,34,4,1,0
"E01006739",707,225,193,126,91,53,18,0,1
"E01006740",604,273,156,74,52,36,6,7,0
"E01006741",778,251,242,127,109,33,14,2,0
"E01006742",591,195,173,99,78,34,11,0,1
"E01006743",1008,385,297,175,101,38,9,1,2
"E01006744",739,321,221,97,75,22,3,0,0
"E01006745",907,407,244,131,81,27,14,1,2
"E01006746",655,216,199,113,90,29,8,0,0
"E01006747",857,460,190,102,59,17,17,10,2
"E01006748",756,239,163,140,146,48,17,1,2
"E01006751",831,301,222,126,85,40,39,8,10
"E01006752",489,232,127,44,54,18,12,1,1
"E01006753",666,211,213,117,75,34,13,3,0
"E01006754",781,322,232,111,79,30,7,0,0
"E01006755",690,257,197,106,85,33,8,3,1
"E01006756",757,220,237,136,121,27,13,3,0
"E01006757",621,203,166,124,76,36,13,2,1
"E01006758",639,199,188,121,90,26,9,3,3
"E01006759",460,180,113,76,54,25,8,3,1
"E01006760",826,498,137,83,65,19,8,9,7
"E01006761",793,383,201,84,90,28,4,2,1
"E01006762",725,226,229,131,93,36,8,1,1
"E01006763",652,217,230,87,74,33,7,2,2
"E01006764",667,259,185,86,80,32,21,3,1
"E01006765",659,243,195,110,71,26,9,3,2
"E01006766",574,232,147,96,58,30,9,1,1
"E01006767",779,294,194,131,109,40,6,3,2
"E01006768",587,234,146,86,69,31,17,3,1
"E01006769",712,401,178,65,35,24,7,0,2
"E01006770",445,160,134,74,50,15,9,2,1
"E01006771",694,296,192,111,70,19,5,1,0
"E01006772",480,168,148,79,57,19,7,1,1
"E01006773",554,114,206,116,90,24,4,0,0
"E01006774",552,124,160,116,116,27,9,0,0
"E01006775",556,165,181,116,57,28,6,2,1
"E01006776",844,386,257,109,62,15,11,2,2
"E01006778",1124,496,350,164,73,26,10,5,0
"E01006779",902,334,286,160,76,36,6,4,0
"E01006780",619,191,196,105,88,25,13,0,1
"E01006781",600,163,179,129,94,26,8,1,0
"E01006782",691,271,181,106,93,28,10,1,1
"E01006783",645,199,180,133,87,37,6,3,0
"E01006784",586,209,153,111,80,23,9,1,0
"E01006785",781,275,223,144,91,37,10,1,0
"E01006786",764,237,235,129,113,34,11,2,3
"E01006787",691,312,159,70,88,41,12,7,2
"E01006788",681,137,209,154,114,53,11,3,0
"E01006790",801,350,232,133,61,20,5,0,0
"E01006791",873,418,244,119,60,25,5,1,1
"E01006792",557,138,198,99,86,27,9,0,0
"E01006793",759,337,243,84,60,31,4,0,0
"E01006794",711,224,253,124,75,26,5,4,0
"E01006795",628,215,204,100,69,34,5,0,1
"E01006796",581,105,198,107,106,54,9,0,2
"E01006797",707,297,192,103,83,24,5,0,3
"E01006798",609,183,216,88,91,21,8,2,0
"E01006799",1145,719,275,96,42,8,4,1,0
"E01006800",679,257,253,74,66,24,3,2,0
"E01006801",609,171,257,92,65,21,3,0,0
"E01032505",563,182,172,97,73,28,11,0,0
"E01032506",656,260,210,108,55,18,5,0,0
"E01032507",666,195,235,119,80,26,10,1,0
"E01032508",847,399,213,105,81,37,10,2,0
"E01032509",665,247,209,106,73,23,7,0,0
"E01032510",776,262,219,140,103,38,12,1,1
"E01032511",616,199,208,116,61,24,6,1,1
"E01033747",496,233,118,68,43,21,8,4,1
"E01033748",772,369,337,40,18,7,1,0,0
"E01033749",1039,973,39,13,9,5,0,0,0
"E01033750",905,504,294,74,31,2,0,0,0
"E01033751",603,313,202,53,21,6,7,1,0
"E01033752",790,448,288,46,7,1,0,0,0
"E01033753",714,423,253,31,6,1,0,0,0
"E01033754",838,396,335,67,26,9,3,2,0
"E01033755",675,341,271,54,8,1,0,0,0
"E01033756",733,414,263,32,22,1,0,1,0
"E01033757",715,548,113,21,10,10,9,1,3
"E01033758",475,312,127,19,11,2,3,0,1
"E01033759",480,142,146,103,56,20,12,0,1
"E01033760",529,330,141,16,22,13,6,1,0
"E01033761",832,415,353,50,8,2,1,3,0
"E01033762",456,282,131,17,13,4,8,1,0
"E01033763",820,507,134,78,65,23,9,1,3
"E01033764",1172,607,293,145,86,30,9,1,1
"E01033765",659,282,194,101,46,26,7,2,1
"E01033766",424,104,140,85,62,18,10,5,0
"E01033767",562,261,171,79,33,13,5,0,0
"E01033768",835,599,149,50,23,7,5,1,1
