"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E02001347",3204,980,959,606,451,152,47,8,1
"E02001348",3148,1041,967,557,400,139,34,8,2
"E02001349",3422,1155,971,619,471,148,48,6,4
"E02001350",3417,1227,1013,551,410,146,56,10,4
"E02001351",3515,1175,1012,669,447,151,42,14,5
"E02001352",3046,1217,844,476,323,139,33,11,3
"E02001353",2959,704,939,582,530,158,39,5,2
"E02001354",3312,1124,968,611,391,166,44,5,3
"E02001355",3108,1252,887,484,306,127,43,7,2
"E02001356",2364,761,686,459,279,126,45,6,2
"E02001357",2858,839,877,525,385,162,57,10,3
"E02001358",3450,1491,976,521,325,97,34,2,4
"E02001359",2328,647,749,380,371,126,48,5,2
"E02001360",4130,1818,1207,591,346,123,32,11,2
"E02001361",3388,1207,999,574,407,152,42,5,2
"E02001362",3161,1034,931,540,449,160,41,5,1
"E02001363",3481,1271,1003,618,371,152,53,10,3
"E02001364",2532,1148,661,371,203,104,32,10,3
"E02001365",4059,1622,1072,650,448,187,61,13,6
"E02001366",4081,1608,1204,561,447,173,66,14,8
"E02001367",3939,1205,1291,606,581,185,56,14,1
"E02001368",2918,1327,836,414,224,81,26,7,3
"E02001369",3877,1767,1155,503,286,117,32,10,7
"E02001370",3153,1597,743,388,284,99,27,9,6
"E02001371",3076,935,931,584,410,157,44,13,2
"E02001372",2728,1060,744,428,341,122,24,8,1
"E02001373",4089,1529,1129,680,481,187,64,14,5
"E02001374",4105,2151,924,454,333,152,58,22,11
"E02001375",3202,1191,947,500,362,154,41,5,2
"E02001376",3789,1447,1064,582,455,169,55,10,7
"E02001377",4063,1938,936,511,406,145,88,21,18
"E02001378",3557,1410,1005,549,391,136,48,14,4
"E02001380",3117,877,1008,542,509,137,35,5,4
"E02001381",4312,1764,1255,590,423,177,77,19,7
"E02001382",2782,628,912,545,521,138,36,1,1
"E02001383",4260,2689,926,288,183,100,52,9,13
"E02001384",3941,1241,950,553,533,341,196,101,26
"E02001385",3631,1676,858,437,274,190,107,44,45
"E02001386",3572,1483,1020,547,335,132,40,9,6
"E02001387",3162,836,997,537,527,201,50,12,2
"E02001388",4170,1979,960,509,413,196,69,30,14
"E02001389",3740,2417,873,242,118,43,21,11,15
"E02001390",4094,1702,1185,595,374,147,61,17,13
"E02001391",2481,734,802,441,348,115,33,4,4
"E02001392",2556,790,961,389,292,98,20,6,0
"E02001393",2845,687,980,468,480,173,39,13,5
"E02001394",4290,2206,1197,413,271,91,60,27,25
"E02001395",2612,779,888,463,350,95,28,6,3
"E02001396",3918,1584,1311,539,322,114,45,2,1
"E02001397",3848,1751,1130,471,345,118,26,3,4
"E02001398",3595,1550,1122,454,302,100,57,5,5
"E02001399",2866,739,913,514,487,160,44,6,3
"E02001400",2839,977,852,477,332,143,43,10,5
"E02001401",3395,1047,1163,542,456,144,34,6,3
"E02001402",3762,1343,1209,581,459,132,30,5,3
"E02001403",2841,1196,794,401,286,119,34,8,3
"E02001404",3155,1081,942,540,382,158,45,4,3
"E02001405",4154,1412,1233,715,526,186,63,14,5
"E02006932",3201,1806,1042,164,93,48,29,9,10
"E02006933",3135,1596,1086,274,125,38,10,5,1
"E02006934",2782,1525,1014,184,42,9,7,1,0
