"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E00032987",87,26,30,21,2,7,1,0,0
"E00032988",200,142,40,7,5,4,1,0,1
"E00032989",232,174,35,10,9,3,0,0,1
"E00032990",219,148,50,12,6,1,1,1,0
"E00032991",219,154,43,15,3,1,3,0,0
"E00032992",165,123,21,13,5,2,1,0,0
"E00032993",166,87,61,7,7,2,1,0,1
"E00032994",63,36,15,4,7,1,0,0,0
"E00032995",149,82,39,11,14,1,1,0,1
"E00032996",181,63,52,33,19,10,3,1,0
"E00032997",106,44,31,21,8,2,0,0,0
"E00032998",164,63,53,34,6,6,2,0,0
"E00032999",236,153,66,4,5,6,2,0,0
"E00033000",87,41,20,14,10,0,0,2,0
"E00033002",129,74,32,13,4,3,2,1,0
"E00033004",167,102,49,13,2,1,0,0,0
"E00033005",176,85,51,24,7,6,2,1,0
"E00033006",120,32,50,21,11,4,2,0,0
"E00033007",155,72,42,19,14,4,2,1,1
"E00033008",147,54,40,21,19,9,2,1,1
"E00033012",104,66,33,3,2,0,0,0,0
"E00033013",115,61,35,7,10,2,0,0,0
"E00033015",109,41,49,8,9,2,0,0,0
"E00033016",226,128,42,18,19,11,6,1,1
"E00033018",72,36,22,4,3,6,1,0,0
"E00033019",218,145,46,12,5,4,5,1,0
"E00033020",143,94,35,4,3,2,4,0,1
"E00033021",134,65,39,11,11,6,2,0,0
"E00033023",149,86,22,17,9,12,2,0,1
"E00033024",104,58,29,9,7,0,0,1,0
"E00033025",135,56,49,16,9,3,2,0,0
"E00033026",90,28,23,14,22,3,0,0,0
"E00033027",200,109,49,21,13,5,2,1,0
"E00033029",111,39,38,15,16,2,1,0,0
"E00033030",95,23,31,17,17,6,1,0,0
"E00033031",130,39,40,21,24,5,1,0,0
"E00033032",238,154,71,6,3,3,1,0,0
"E00033033",193,122,57,8,4,0,2,0,0
"E00033034",201,118,64,13,3,2,1,0,0
"E00033035",159,57,62,25,9,4,2,0,0
"E00033036",128,75,44,8,1,0,0,0,0
"E00033037",153,78,45,18,7,4,1,0,0
"E00033038",110,73,26,8,0,1,2,0,0
"E00033040",132,69,28,15,12,2,5,0,1
"E00033041",110,33,35,20,13,7,2,0,0
"E00033042",98,27,29,22,13,6,1,0,0
"E00033043",112,28,43,29,10,1,1,0,0
"E00033044",92,18,32,19,17,4,2,0,0
"E00033045",132,81,30,12,7,2,0,0,0
"E00033046",121,73,42,4,0,1,1,0,0
"E00033047",106,19,36,25,18,4,4,0,0
"E00033048",100,23,35,19,14,8,1,0,0
"E00033049",154,41,49,28,32,3,1,0,0
"E00033050",84,13,28,20,17,6,0,0,0
"E00033051",167,65,77,14,9,1,1,0,0
"E00033052",144,41,38,28,17,14,5,0,1
"E00033053",111,32,33,17,17,11,1,0,0
"E00033054",76,30,23,15,3,5,0,0,0
"E00033055",106,35,33,20,10,5,3,0,0
"E00033056",123,34,46,22,19,2,0,0,0
"E00033057",122,39,33,27,15,3,4,1,0
"E00033059",149,63,46,19,13,5,3,0,0
"E00033060",101,45,25,18,11,1,1,0,0
"E00033061",91,27,22,19,13,7,2,0,1
"E00033062",105,30,30,14,23,8,0,0,0
"E00033063",101,19,37,23,14,7,1,0,0
"E00033064",97,23,34,20,16,4,0,0,0
"E00033065",120,29,45,20,19,5,1,1,0
"E00033066",155,88,54,8,4,0,1,0,0
"E00033067",184,120,46,7,9,2,0,0,0
"E00033068",203,115,68,12,3,4,0,0,1
"E00033069",164,102,48,8,4,2,0,0,0
"E00033070",190,129,52,6,3,0,0,0,0
"E00033071",141,61,60,7,9,2,1,1,0
"E00033072",167,82,66,16,2,1,0,0,0
"E00033073",192,140,47,4,0,0,0,1,0
"E00033074",179,122,30,13,10,2,2,0,0
"E00033075",210,188,17,5,0,0,0,0,0
"E00033076",152,68,50,13,14,4,2,1,0
"E00033077",185,113,47,18,5,1,1,0,0
"E00033078",176,117,37,12,6,3,1,0,0
"E00033079",116,61,26,9,12,6,2,0,0
"E00033080",150,114,28,5,3,0,0,0,0
"E00033081",127,62,44,15,5,1,0,0,0
"E00033082",122,22,49,26,13,11,0,1,0
"E00033083",122,23,46,17,17,15,1,3,0
"E00033084",148,59,37,24,20,8,0,0,0
"E00033085",143,51,43,21,21,6,0,1,0
"E00033086",122,35,59,17,10,1,0,0,0
"E00033087",149,36,38,35,25,12,1,2,0
"E00033088",101,26,37,22,9,6,0,1,0
"E00033089",124,42,28,26,17,9,1,1,0
"E00033090",139,26,47,30,18,14,4,0,0
"E00033091",126,28,47,29,13,9,0,0,0
"E00033092",127,32,41,29,20,4,1,0,0
"E00033093",158,48,44,37,21,7,1,0,0
"E00033094",136,35,44,32,18,5,2,0,0
"E00033095",164,35,62,32,24,7,1,2,1
"E00033096",110,30,40,18,17,4,0,1,0
"E00033097",119,35,42,28,10,4,0,0,0
"E00033098",113,21,56,17,8,8,3,0,0
"E00033099",94,57,19,9,6,1,2,0,0
"E00033100",138,52,46,17,14,8,1,0,0
"E00033101",96,34,34,11,11,4,1,1,0
"E00033102",207,82,69,25,24,5,1,1,0
"E00033103",117,32,35,22,14,10,4,0,0
"E00033104",109,34,35,15,12,4,6,2,1
"E00033105",118,31,35,22,24,6,0,0,0
"E00033106",125,37,46,21,16,2,2,0,1
"E00033107",121,17,43,21,21,14,3,1,1
"E00033108",119,22,46,15,25,8,3,0,0
"E00033109",123,28,41,20,24,6,2,2,0
"E00033110",142,33,54,31,17,5,1,1,0
"E00033112",115,23,38,19,28,5,0,1,1
"E00033113",117,38,47,18,10,4,0,0,0
"E00033114",113,18,46,18,21,7,1,2,0
"E00033115",92,62,22,6,2,0,0,0,0
"E00033116",101,73,21,6,1,0,0,0,0
"E00033117",154,44,46,26,24,9,5,0,0
"E00033118",129,24,45,27,29,4,0,0,0
"E00033119",109,30,38,16,19,4,2,0,0
"E00033120",132,42,39,21,23,4,3,0,0
"E00033121",119,53,46,7,11,2,0,0,0
"E00033122",121,36,45,19,16,4,0,0,1
"E00033123",123,40,52,12,17,2,0,0,0
"E00033124",120,34,29,27,17,12,1,0,0
"E00033125",111,64,28,11,6,2,0,0,0
"E00033126",111,30,42,22,14,3,0,0,0
"E00033127",194,73,49,33,33,3,3,0,0
"E00033128",111,36,34,19,12,5,3,1,1
"E00033129",108,30,41,15,15,5,1,0,1
"E00033130",126,23,39,19,27,14,4,0,0
"E00033131",130,64,31,8,16,5,6,0,0
"E00033132",158,40,44,29,28,12,3,2,0
"E00033133",144,35,44,32,20,11,2,0,0
"E00033134",111,62,27,15,6,1,0,0,0
"E00033135",183,54,53,36,25,13,2,0,0
"E00033136",99,37,26,19,7,9,1,0,0
"E00033137",167,97,45,14,7,2,1,1,0
"E00033138",113,76,20,13,4,0,0,0,0
"E00033139",149,83,45,11,9,0,1,0,0
"E00033140",94,34,29,19,9,2,0,1,0
"E00033141",85,28,18,20,13,4,2,0,0
"E00033142",117,39,39,12,18,6,3,0,0
"E00033143",127,68,25,16,7,4,3,3,1
"E00033144",126,70,42,6,8,0,0,0,0
"E00033145",122,34,38,25,18,5,2,0,0
"E00033146",124,41,33,24,15,3,6,2,0
"E00033147",127,44,28,23,21,11,0,0,0
"E00033148",116,38,36,27,9,5,1,0,0
"E00033149",98,32,34,11,14,6,0,1,0
"E00033150",146,55,47,22,10,11,1,0,0
"E00033151",125,65,20,19,12,2,7,0,0
"E00033152",146,62,40,23,13,6,2,0,0
"E00033153",167,73,42,38,9,5,0,0,0
"E00033154",102,68,20,8,6,0,0,0,0
"E00033155",155,81,51,12,8,3,0,0,0
"E00033156",122,61,34,10,10,3,4,0,0
"E00033157",140,55,35,19,20,5,4,1,1
"E00033158",130,40,40,26,19,3,1,1,0
"E00033159",87,31,24,15,14,1,2,0,0
"E00033160",167,85,32,17,19,10,3,0,1
"E00033161",137,71,23,18,18,6,0,1,0
"E00033162",131,70,19,17,14,4,6,0,1
"E00033163",136,70,32,12,15,4,0,0,3
"E00033164",152,42,47,41,18,4,0,0,0
"E00033165",117,90,16,3,6,1,1,0,0
"E00033166",113,81,22,8,1,1,0,0,0
"E00033167",130,31,51,25,16,4,3,0,0
"E00033168",122,35,43,24,12,5,2,1,0
"E00033169",122,34,32,28,20,8,0,0,0
"E00033170",142,35,43,28,28,5,3,0,0
"E00033171",136,37,34,31,24,9,1,0,0
"E00033172",122,90,17,5,4,5,1,0,0
"E00033173",129,42,29,26,24,7,1,0,0
"E00033174",114,32,27,25,17,10,3,0,0
"E00033175",107,26,37,15,15,10,4,0,0
"E00033176",99,28,23,24,9,10,3,2,0
"E00033177",130,40,47,24,8,6,5,0,0
"E00033178",88,45,23,7,8,4,1,0,0
"E00033179",136,39,45,25,18,8,1,0,0
"E00033181",155,65,32,15,14,9,6,6,8
"E00033182",184,109,34,12,12,7,3,5,2
"E00033183",207,91,46,13,7,12,14,13,11
"E00033185",117,38,20,15,18,15,7,4,0
"E00033186",105,29,22,11,19,14,7,1,2
"E00033187",129,80,36,9,3,0,1,0,0
"E00033188",113,24,30,24,18,7,6,4,0
"E00033189",208,79,55,30,18,8,13,3,2
"E00033190",226,79,54,34,24,26,6,1,2
"E00033191",128,18,25,17,28,24,15,1,0
"E00033192",118,25,21,9,18,23,6,14,2
"E00033193",114,31,33,14,17,7,5,3,4
"E00033194",117,30,30,20,12,12,7,4,2
"E00033195",105,24,45,17,14,3,1,1,0
"E00033196",137,102,24,5,2,0,0,1,3
"E00033197",236,146,69,15,4,2,0,0,0
"E00033198",135,28,42,19,22,13,6,5,0
"E00033199",137,102,26,5,4,0,0,0,0
"E00033200",126,85,24,4,4,2,3,1,3
"E00033201",91,19,36,9,18,9,0,0,0
"E00033202",98,20,20,16,18,15,5,3,1
"E00033203",101,29,26,26,16,3,1,0,0
"E00033204",105,27,39,18,14,5,2,0,0
"E00033206",117,71,31,9,6,0,0,0,0
"E00033207",179,103,54,13,2,7,0,0,0
"E00033208",143,79,29,22,11,2,0,0,0
"E00033209",208,149,35,11,6,0,5,1,1
"E00033210",133,78,19,16,6,7,3,2,2
"E00033211",145,50,37,23,19,10,5,0,1
"E00033212",123,30,46,18,16,8,3,0,2
"E00033213",136,38,26,22,18,21,10,0,1
"E00033214",223,80,69,38,13,7,5,6,5
"E00033215",147,69,28,20,10,9,6,1,4
"E00033216",150,88,41,11,7,0,1,1,1
"E00033217",158,87,44,13,8,2,1,1,2
"E00033218",106,25,22,29,17,7,4,0,2
"E00033219",181,99,41,15,11,4,6,4,1
"E00033220",135,42,27,18,24,9,9,5,1
"E00033221",170,134,18,6,8,1,0,1,2
"E00033222",135,107,20,3,3,2,0,0,0
"E00033223",171,124,32,11,1,1,1,0,1
"E00033224",148,62,43,31,3,6,3,0,0
"E00033225",160,100,22,16,13,4,1,3,1
"E00033226",187,73,50,33,17,9,4,0,1
"E00033227",136,76,22,17,15,5,1,0,0
"E00033228",208,138,37,18,7,4,1,3,0
"E00033229",128,47,38,22,15,3,1,2,0
"E00033230",114,26,46,15,20,6,1,0,0
"E00033231",113,64,27,10,7,3,2,0,0
"E00033235",122,64,35,8,8,5,1,1,0
"E00033237",146,73,45,13,8,4,1,1,1
"E00033238",182,53,50,35,24,12,7,1,0
"E00033242",104,35,31,21,13,3,1,0,0
"E00033245",167,90,42,10,17,7,0,0,1
"E00033246",121,57,26,20,9,6,3,0,0
"E00033247",148,48,45,36,13,2,3,1,0
"E00033248",250,212,32,6,0,0,0,0,0
"E00033249",132,55,33,25,12,4,2,0,1
"E00033250",126,61,40,18,4,3,0,0,0
"E00033251",106,44,30,17,11,2,1,1,0
"E00033252",169,81,40,23,13,8,1,2,1
"E00033253",132,77,23,18,8,5,1,0,0
"E00033254",152,43,52,30,20,4,2,0,1
"E00033255",126,49,42,18,8,7,1,1,0
"E00033256",100,34,35,12,11,7,1,0,0
"E00033257",180,101,50,14,10,5,0,0,0
"E00033258",157,61,54,22,13,4,3,0,0
"E00033259",80,43,27,3,6,1,0,0,0
"E00033260",129,63,31,24,7,4,0,0,0
"E00033261",110,39,35,15,12,9,0,0,0
"E00033262",96,52,34,6,4,0,0,0,0
"E00033263",89,55,17,13,3,1,0,0,0
"E00033264",147,73,41,17,9,5,2,0,0
"E00033265",126,47,31,16,22,8,1,1,0
"E00033266",147,65,31,25,19,6,1,0,0
"E00033267",141,82,27,17,12,3,0,0,0
"E00033268",121,39,34,22,16,7,2,1,0
"E00033269",92,55,13,14,6,3,1,0,0
"E00033270",128,31,34,23,26,11,3,0,0
"E00033271",126,18,32,26,35,12,2,1,0
"E00033272",120,27,41,24,21,6,1,0,0
"E00033274",122,61,21,19,11,6,3,1,0
"E00033275",142,70,33,16,13,10,0,0,0
"E00033276",127,68,34,14,9,1,1,0,0
"E00033277",99,33,28,25,10,0,1,2,0
"E00033278",107,39,39,17,4,7,1,0,0
"E00033279",139,53,50,23,12,0,1,0,0
"E00033281",136,47,43,19,19,7,1,0,0
"E00033282",125,35,42,26,10,8,3,0,1
"E00033283",118,38,37,18,18,4,3,0,0
"E00033284",182,143,23,10,3,1,1,0,1
"E00033285",135,54,34,20,20,4,3,0,0
"E00033286",128,79,26,11,7,4,1,0,0
"E00033287",115,30,36,13,25,6,4,0,1
"E00033288",121,29,30,31,22,6,2,0,1
"E00033289",105,37,36,14,12,6,0,0,0
"E00033290",88,22,22,17,16,6,4,1,0
"E00033291",185,31,64,41,32,15,1,1,0
"E00033292",106,47,36,10,11,2,0,0,0
"E00033293",145,54,39,27,20,4,1,0,0
"E00033294",130,68,36,16,6,4,0,0,0
"E00033295",108,21,38,17,25,7,0,0,0
"E00033296",111,31,37,17,18,8,0,0,0
"E00033297",143,58,37,26,13,5,3,1,0
"E00033298",129,51,32,19,16,8,3,0,0
"E00033299",117,38,36,13,16,9,5,0,0
"E00033300",112,45,35,16,9,7,0,0,0
"E00033301",120,32,31,27,25,5,0,0,0
"E00033302",105,36,35,14,11,7,2,0,0
"E00033304",102,22,39,22,12,4,3,0,0
"E00033305",121,45,34,18,15,7,0,2,0
"E00033306",122,47,35,18,10,7,2,2,1
"E00033307",124,30,39,30,13,10,2,0,0
"E00033308",122,42,28,24,22,6,0,0,0
"E00033309",135,40,44,26,16,8,1,0,0
"E00033310",127,25,41,29,26,4,1,1,0
"E00033312",133,55,40,23,7,5,2,1,0
"E00033313",137,27,57,28,14,7,4,0,0
"E00033314",130,40,37,24,18,9,1,1,0
"E00033315",130,30,37,25,20,13,5,0,0
"E00033316",144,42,51,26,20,5,0,0,0
"E00033317",152,35,59,26,25,5,2,0,0
"E00033318",153,46,51,29,18,6,3,0,0
"E00033319",164,38,52,35,28,8,2,0,1
"E00033320",130,36,45,33,13,3,0,0,0
"E00033322",118,23,49,17,19,7,3,0,0
"E00033323",107,14,36,24,26,7,0,0,0
"E00033324",113,20,42,17,25,6,2,1,0
"E00033326",106,14,39,20,26,6,0,1,0
"E00033327",124,39,36,19,24,5,1,0,0
"E00033328",119,53,23,18,18,4,2,1,0
"E00033329",131,35,40,28,24,3,1,0,0
"E00033330",130,31,51,16,24,6,1,1,0
"E00033331",134,35,42,28,22,5,2,0,0
"E00033332",108,16,30,28,21,8,5,0,0
"E00033333",121,26,39,15,24,10,4,2,1
"E00033334",108,17,38,21,24,6,2,0,0
"E00033335",108,31,39,15,17,6,0,0,0
"E00033336",121,23,38,22,29,7,2,0,0
"E00033337",85,27,25,13,16,4,0,0,0
"E00033338",90,8,34,16,17,9,5,1,0
"E00033339",132,38,33,19,23,14,5,0,0
"E00033340",103,9,33,27,23,9,2,0,0
"E00033341",115,19,41,22,25,6,2,0,0
"E00033342",126,29,42,22,23,7,3,0,0
"E00033343",96,16,27,23,25,5,0,0,0
"E00033344",139,36,44,30,27,2,0,0,0
"E00033345",129,18,37,24,35,10,5,0,0
"E00033346",124,45,29,23,20,5,2,0,0
"E00033347",121,26,39,28,17,7,4,0,0
"E00033348",112,29,35,17,22,4,4,1,0
"E00033349",154,90,42,7,6,6,3,0,0
"E00033350",122,23,48,14,28,6,2,1,0
"E00033351",124,34,42,22,19,3,3,1,0
"E00033352",108,34,29,23,16,6,0,0,0
"E00033353",103,19,41,26,11,5,1,0,0
"E00033354",150,107,29,8,5,1,0,0,0
"E00033355",113,33,36,18,19,5,1,0,1
"E00033356",137,36,47,20,20,9,5,0,0
"E00033357",125,47,39,19,17,2,1,0,0
"E00033358",95,28,35,13,13,5,0,1,0
"E00033359",161,73,44,22,15,5,2,0,0
"E00033360",155,49,49,28,23,5,1,0,0
"E00033361",174,45,56,36,27,8,0,1,1
"E00033362",106,27,27,23,24,4,1,0,0
"E00033363",87,29,29,10,16,3,0,0,0
"E00033364",134,25,43,22,36,7,1,0,0
"E00033365",172,41,48,38,31,11,3,0,0
"E00033366",108,22,33,21,27,5,0,0,0
"E00033367",137,48,34,21,18,11,5,0,0
"E00033368",124,44,47,12,14,5,1,0,1
"E00033369",137,24,43,31,29,8,1,0,1
"E00033370",141,64,43,19,12,2,0,1,0
"E00033371",124,29,45,17,27,6,0,0,0
"E00033372",112,28,33,24,13,12,1,1,0
"E00033373",181,42,58,37,26,10,5,3,0
"E00033374",140,53,56,17,11,3,0,0,0
"E00033375",140,42,48,15,21,9,2,2,1
"E00033376",135,46,49,27,10,2,1,0,0
"E00033377",133,41,48,14,24,5,1,0,0
"E00033378",137,40,42,28,13,10,4,0,0
"E00033379",130,45,43,28,12,2,0,0,0
"E00033380",106,28,43,16,11,8,0,0,0
"E00033381",130,78,33,13,5,1,0,0,0
"E00033382",123,25,36,25,28,6,3,0,0
"E00033383",133,48,40,29,14,2,0,0,0
"E00033384",146,32,59,30,16,4,3,2,0
"E00033385",156,63,49,23,19,1,1,0,0
"E00033386",140,32,41,39,20,7,1,0,0
"E00033387",122,71,28,15,3,1,3,1,0
"E00033388",162,86,49,17,3,5,0,0,2
"E00033389",118,33,38,25,19,1,1,1,0
"E00033391",164,65,45,33,13,8,0,0,0
"E00033392",149,85,29,10,16,6,3,0,0
"E00033394",139,70,29,18,11,8,3,0,0
"E00033395",156,77,51,15,7,4,1,0,1
"E00033396",126,45,33,25,17,5,1,0,0
"E00033397",125,34,35,17,29,8,2,0,0
"E00033399",128,23,48,28,22,5,0,2,0
"E00033400",118,33,28,27,22,7,1,0,0
"E00033401",102,17,34,25,18,6,1,1,0
"E00033402",134,31,48,21,22,7,3,1,1
"E00033403",144,34,55,22,27,6,0,0,0
"E00033404",162,70,48,19,21,3,0,1,0
"E00033405",129,30,56,19,16,6,2,0,0
"E00033406",126,30,35,30,25,5,1,0,0
"E00033407",138,45,40,24,19,6,3,1,0
"E00033408",123,38,29,21,19,9,4,2,1
"E00033409",166,80,54,9,16,7,0,0,0
"E00033410",121,38,30,29,17,6,1,0,0
"E00033411",119,29,31,20,21,15,1,2,0
"E00033412",146,47,44,25,20,7,1,2,0
"E00033413",111,45,28,22,7,7,2,0,0
"E00033414",135,45,41,17,19,6,4,2,1
"E00033415",94,11,35,16,19,10,2,1,0
"E00033416",144,40,44,24,22,13,1,0,0
"E00033417",144,44,48,19,25,6,2,0,0
"E00033418",144,22,50,20,32,11,7,1,1
"E00033419",119,31,34,20,23,9,2,0,0
"E00033420",155,42,46,37,12,16,1,0,1
"E00033421",128,48,29,19,20,8,2,2,0
"E00033422",172,31,60,30,33,14,4,0,0
"E00033423",126,38,37,14,27,7,3,0,0
"E00033424",134,41,49,20,15,9,0,0,0
"E00033425",124,52,41,18,10,2,0,1,0
"E00033426",121,34,40,21,15,5,4,1,1
"E00033427",105,30,38,22,9,4,2,0,0
"E00033428",124,29,45,25,17,3,4,0,1
"E00033432",135,46,38,23,15,8,5,0,0
"E00033435",125,40,37,27,13,6,2,0,0
"E00033436",128,41,50,18,16,2,1,0,0
"E00033437",114,38,36,16,14,8,2,0,0
"E00033438",127,32,44,26,18,5,2,0,0
"E00033439",173,56,71,30,10,6,0,0,0
"E00033440",139,37,49,21,18,9,3,1,1
"E00033441",141,56,45,17,13,8,2,0,0
"E00033442",134,43,36,22,16,13,3,0,1
"E00033443",72,29,18,14,6,3,2,0,0
"E00033444",115,37,38,23,14,2,1,0,0
"E00033445",98,24,24,23,19,8,0,0,0
"E00033446",121,39,37,26,12,4,3,0,0
"E00033447",94,59,17,9,6,3,0,0,0
"E00033448",124,40,34,19,17,9,5,0,0
"E00033449",143,54,49,21,14,4,1,0,0
"E00033450",121,36,34,21,21,6,2,0,1
"E00033451",109,55,20,14,10,6,4,0,0
"E00033452",110,41,38,18,8,4,1,0,0
"E00033453",78,40,23,3,8,3,1,0,0
"E00033454",219,81,66,36,23,6,5,1,1
"E00033455",122,59,36,11,13,3,0,0,0
"E00033456",133,38,36,24,24,8,3,0,0
"E00033457",95,31,29,20,11,3,1,0,0
"E00033458",87,19,28,22,6,10,2,0,0
"E00033459",143,83,21,20,12,7,0,0,0
"E00033460",79,24,14,23,13,3,2,0,0
"E00033462",94,28,36,14,7,7,2,0,0
"E00033463",103,36,38,13,13,3,0,0,0
"E00033464",116,32,41,21,9,7,6,0,0
"E00033466",122,36,43,20,19,4,0,0,0
"E00033468",119,33,41,19,18,6,2,0,0
"E00033470",130,39,34,30,13,10,3,1,0
"E00033471",107,26,35,18,15,10,2,1,0
"E00033472",105,36,28,14,20,7,0,0,0
"E00033473",116,34,37,23,16,5,1,0,0
"E00033474",145,87,41,9,7,1,0,0,0
"E00033475",157,86,34,23,9,2,3,0,0
"E00033476",115,59,24,12,11,7,2,0,0
"E00033477",74,20,24,17,10,1,1,1,0
"E00033478",115,32,45,15,12,9,1,1,0
"E00033479",167,51,48,39,20,8,1,0,0
"E00033480",108,24,39,20,13,8,3,1,0
"E00033481",172,53,55,31,24,7,2,0,0
"E00033482",117,32,38,23,17,6,0,1,0
"E00033483",166,83,39,20,12,6,5,1,0
"E00033484",121,37,34,25,15,8,2,0,0
"E00033485",137,46,40,22,20,8,1,0,0
"E00033486",165,59,57,25,20,4,0,0,0
"E00033487",157,108,27,14,6,1,1,0,0
"E00033488",149,90,40,13,5,0,1,0,0
"E00033489",122,35,34,20,20,9,4,0,0
"E00033490",108,32,35,16,13,7,4,1,0
"E00033491",142,88,32,18,3,0,1,0,0
"E00033492",195,104,57,25,8,1,0,0,0
"E00033493",142,56,49,18,15,3,1,0,0
"E00033494",103,32,26,21,17,5,1,0,1
"E00033495",161,60,54,25,19,2,1,0,0
"E00033496",152,68,44,23,11,6,0,0,0
"E00033497",98,32,32,19,9,3,3,0,0
"E00033498",91,76,11,3,0,1,0,0,0
"E00033501",98,80,15,1,0,2,0,0,0
"E00033502",104,34,28,22,17,2,1,0,0
"E00033503",100,29,25,23,18,4,0,1,0
"E00033504",129,31,44,28,20,4,2,0,0
"E00033505",93,31,28,16,11,6,1,0,0
"E00033506",124,44,29,23,12,15,0,0,1
"E00033507",136,65,46,14,8,2,1,0,0
"E00033508",132,81,25,12,10,3,1,0,0
"E00033509",113,25,40,22,17,6,3,0,0
"E00033510",137,46,50,23,15,3,0,0,0
"E00033511",122,55,39,18,5,5,0,0,0
"E00033512",78,19,24,15,9,7,3,0,1
"E00033513",130,51,36,20,10,9,3,1,0
"E00033514",114,50,31,17,10,5,1,0,0
"E00033515",125,48,34,16,19,7,1,0,0
"E00033516",110,35,32,27,10,5,1,0,0
"E00033517",126,39,40,22,14,9,2,0,0
"E00033518",121,48,39,18,10,2,4,0,0
"E00033519",139,48,33,32,15,8,2,1,0
"E00033520",102,49,33,13,5,0,2,0,0
"E00033521",142,79,33,23,3,4,0,0,0
"E00033522",151,70,43,24,13,1,0,0,0
"E00033523",144,38,53,31,14,4,2,0,2
"E00033524",217,100,70,20,20,6,1,0,0
"E00033525",131,33,40,24,25,8,1,0,0
"E00033526",128,42,52,18,12,3,1,0,0
"E00033527",153,47,40,29,22,8,7,0,0
"E00033528",126,54,38,14,16,4,0,0,0
"E00033530",145,11,47,29,39,15,3,1,0
"E00033531",134,19,54,22,31,6,2,0,0
"E00033532",166,47,55,28,29,7,0,0,0
"E00033533",96,22,35,21,10,8,0,0,0
"E00033534",124,55,52,11,4,2,0,0,0
"E00033535",133,38,47,25,19,2,2,0,0
"E00033536",127,36,35,25,24,5,2,0,0
"E00033537",132,48,38,27,14,3,2,0,0
"E00033538",147,41,57,34,12,3,0,0,0
"E00033539",130,32,48,20,23,7,0,0,0
"E00033540",135,44,41,22,19,8,1,0,0
"E00033541",129,36,41,18,23,7,4,0,0
"E00033542",124,51,34,13,19,5,2,0,0
"E00033543",120,51,36,11,15,5,1,1,0
"E00033544",104,31,39,21,10,3,0,0,0
"E00033545",121,48,43,17,5,4,4,0,0
"E00033546",148,43,47,24,26,6,1,1,0
"E00033547",126,38,45,18,17,7,0,1,0
"E00033548",113,44,40,11,14,3,0,1,0
"E00033549",151,51,52,21,16,11,0,0,0
"E00033550",124,35,36,26,20,6,1,0,0
"E00033551",102,43,27,14,12,5,0,1,0
"E00033552",124,26,41,26,19,5,6,1,0
"E00033553",161,69,40,17,25,6,4,0,0
"E00033554",115,15,43,19,22,11,5,0,0
"E00033555",136,62,41,16,9,7,1,0,0
"E00033556",114,23,34,22,22,11,2,0,0
"E00033557",124,26,40,27,26,4,1,0,0
"E00033558",114,22,38,19,31,3,1,0,0
"E00033559",110,32,40,14,17,4,3,0,0
"E00033560",113,19,41,18,20,10,4,1,0
"E00033561",106,23,26,20,26,7,3,1,0
"E00033562",117,18,41,27,23,7,1,0,0
"E00033563",131,21,56,21,22,9,2,0,0
"E00033564",144,41,52,20,20,7,3,1,0
"E00033565",117,20,51,25,17,3,1,0,0
"E00033566",148,72,30,18,18,9,0,1,0
"E00033567",127,24,38,27,31,6,0,1,0
"E00033568",144,47,40,27,17,7,5,1,0
"E00033569",102,32,27,16,17,8,1,1,0
"E00033570",173,64,47,35,23,4,0,0,0
"E00033571",121,47,43,17,11,3,0,0,0
"E00033572",117,34,40,20,13,8,1,1,0
"E00033573",95,48,26,7,8,3,2,1,0
"E00033574",118,26,30,23,29,10,0,0,0
"E00033575",111,42,31,18,15,4,1,0,0
"E00033576",109,38,37,18,15,1,0,0,0
"E00033577",120,35,36,20,23,5,1,0,0
"E00033579",123,29,41,26,16,5,4,1,1
"E00033580",152,85,47,14,4,2,0,0,0
"E00033581",221,86,57,34,31,9,3,1,0
"E00033582",159,70,38,27,15,7,2,0,0
"E00033583",110,41,36,21,6,6,0,0,0
"E00033584",107,36,44,10,10,6,0,0,1
"E00033585",135,44,51,20,15,5,0,0,0
"E00033586",143,62,48,16,10,4,2,1,0
"E00033587",153,67,48,30,7,1,0,0,0
"E00033589",136,36,53,24,16,6,0,1,0
"E00033590",79,31,24,9,9,5,1,0,0
"E00033591",94,26,35,16,10,6,1,0,0
"E00033592",118,19,44,28,22,2,3,0,0
"E00033593",100,44,28,17,7,3,1,0,0
"E00033594",143,38,41,26,27,5,6,0,0
"E00033595",157,80,36,21,9,10,0,0,1
"E00033596",143,62,42,24,9,4,2,0,0
"E00033597",105,40,32,16,14,3,0,0,0
"E00033598",124,69,29,20,5,0,0,1,0
"E00033599",125,63,39,9,13,1,0,0,0
"E00033600",139,77,35,17,8,2,0,0,0
"E00033601",140,62,44,27,2,5,0,0,0
"E00033602",131,46,48,21,13,2,1,0,0
"E00033603",136,53,45,12,14,5,7,0,0
"E00033604",138,66,50,16,3,0,3,0,0
"E00033605",125,43,36,22,19,2,2,1,0
"E00033606",114,40,36,18,15,4,1,0,0
"E00033607",118,57,35,20,4,1,1,0,0
"E00033608",144,52,44,20,16,6,6,0,0
"E00033611",122,28,45,26,13,6,4,0,0
"E00033613",125,60,30,16,13,1,5,0,0
"E00033614",139,34,52,24,19,8,2,0,0
"E00033616",141,28,49,28,25,10,1,0,0
