"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E00032987",87,0,1,23,20,18,23,0,2,0
"E00032988",200,7,20,79,49,22,4,6,4,9
"E00032989",232,5,35,98,66,14,3,2,5,4
"E00032990",219,6,30,99,46,18,5,4,6,5
"E00032991",219,3,52,91,47,10,6,2,2,6
"E00032992",165,0,18,73,37,19,12,3,2,1
"E00032993",166,1,6,41,62,35,12,3,6,0
"E00032994",63,0,4,20,14,15,7,1,0,2
"E00032995",149,2,4,28,54,38,19,2,1,1
"E00032996",181,1,4,20,57,60,19,10,8,2
"E00032997",106,1,1,15,36,34,16,1,2,0
"E00032998",164,0,10,20,48,61,18,6,1,0
"E00032999",236,14,13,88,76,21,12,5,4,3
"E00033000",87,0,2,33,12,11,19,7,1,2
"E00033002",129,2,9,17,79,13,3,1,2,3
"E00033004",167,0,3,22,74,33,27,7,1,0
"E00033005",176,1,5,48,48,46,19,6,2,1
"E00033006",120,0,1,5,19,46,44,4,1,0
"E00033007",155,0,7,15,70,54,5,2,1,1
"E00033008",147,1,0,17,35,57,21,8,6,2
"E00033012",104,0,13,39,32,13,5,1,1,0
"E00033013",115,0,10,27,53,12,6,4,1,2
"E00033015",109,2,3,15,72,14,2,0,1,0
"E00033016",226,25,29,28,48,33,36,10,17,0
"E00033018",72,2,11,29,7,2,17,2,0,2
"E00033019",218,6,8,74,86,23,11,0,4,6
"E00033020",143,8,29,59,26,4,12,1,2,2
"E00033021",134,0,12,38,52,15,11,3,3,0
"E00033023",149,4,7,52,16,15,31,10,8,6
"E00033024",104,0,3,19,36,37,6,2,0,1
"E00033025",135,0,0,7,45,42,36,2,2,1
"E00033026",90,0,0,3,4,13,45,18,4,3
"E00033027",200,6,18,75,38,18,22,13,5,5
"E00033029",111,2,1,8,9,23,52,9,6,1
"E00033030",95,0,0,2,8,14,18,24,13,16
"E00033031",130,0,0,1,1,26,58,27,15,2
"E00033032",238,3,24,91,99,12,3,3,1,2
"E00033033",193,3,14,80,51,30,2,3,1,9
"E00033034",201,1,22,98,48,17,4,1,1,9
