"GeographyCode","QS410EW0001","QS410EW0002","QS410EW0003","QS410EW0004","QS410EW0005"
"E00032987",198,84,111,3,0
"E00032988",298,207,84,5,2
"E00032989",333,217,111,5,0
"E00032990",326,203,120,3,0
"E00032991",320,208,105,7,0
"E00032992",240,183,57,0,0
"E00032993",282,173,91,18,0
"E00032994",111,60,47,4,0
"E00032995",268,172,78,6,12
"E00032996",417,196,194,18,9
"E00032997",211,118,88,5,0
"E00032998",337,173,143,15,6
"E00032999",359,221,120,5,13
"E00033000",177,96,67,14,0
"E00033002",227,125,77,23,2
"E00033004",252,201,51,0,0
"E00033005",336,178,146,7,5
"E00033006",271,146,119,6,0
"E00033007",317,140,135,37,5
"E00033008",345,159,160,18,8
"E00033012",149,113,32,4,0
"E00033013",202,112,82,4,4
"E00033015",209,125,68,12,4
"E00033016",448,214,178,30,26
"E00033018",140,48,89,3,0
"E00033019",350,229,86,13,22
"E00033020",231,108,123,0,0
"E00033021",262,113,119,20,10
"E00033023",298,132,156,4,6
"E00033024",178,108,63,7,0
"E00033025",265,167,88,10,0
"E00033026",219,124,95,0,0
"E00033027",366,188,166,4,8
"E00033029",240,157,79,0,4
"E00033030",240,149,91,0,0
"E00033031",309,170,139,0,0
"E00033032",347,256,91,0,0
"E00033033",288,200,81,3,4
"E00033034",313,185,125,3,0
"E00033035",324,189,135,0,0
"E00033036",191,143,45,3,0
"E00033037",276,208,68,0,0
"E00033038",166,115,45,6,0
"E00033040",270,158,98,0,14
"E00033041",262,158,104,0,0
"E00033042",239,158,75,6,0
"E00033043",252,177,75,0,0
"E00033044",239,143,96,0,0
"E00033045",215,146,69,0,0
"E00033046",180,149,20,6,5
"E00033047",282,170,106,6,0
"E00033048",252,175,77,0,0
"E00033049",372,200,166,6,0
"E00033050",227,162,65,0,0
"E00033051",308,219,84,5,0
"E00033052",377,214,157,6,0
"E00033053",278,146,132,0,0
"E00033054",158,92,66,0,0
"E00033055",244,178,66,0,0
"E00033056",278,169,109,0,0
"E00033057",292,163,123,6,0
"E00033059",307,203,102,0,2
"E00033060",204,146,58,0,0
"E00033061",235,145,76,14,0
"E00033062",264,154,110,0,0
"E00033063",259,196,63,0,0
"E00033064",235,183,52,0,0
"E00033065",293,220,73,0,0
"E00033066",242,160,82,0,0
"E00033067",279,190,80,0,9
"E00033068",327,241,72,10,4
"E00033069",248,169,75,0,4
"E00033070",263,193,66,0,4
"E00033071",261,171,84,4,2
"E00033072",275,153,114,0,8
"E00033073",253,162,89,0,2
"E00033074",283,173,106,4,0
"E00033075",237,203,34,0,0
"E00033076",302,222,80,0,0
"E00033077",292,207,83,0,2
"E00033078",272,201,61,10,0
"E00033079",230,131,99,0,0
"E00033080",197,158,39,0,0
"E00033081",220,147,68,5,0
"E00033082",312,248,64,0,0
"E00033083",336,233,103,0,0
"E00033084",325,190,130,0,5
"E00033085",321,196,125,0,0
"E00033086",249,195,54,0,0
"E00033087",397,215,173,4,5
"E00033088",239,152,80,7,0
"E00033089",302,161,128,13,0
"E00033090",376,181,183,12,0
"E00033091",306,191,115,0,0
"E00033092",307,223,78,6,0
"E00033093",372,205,167,0,0
"E00033094",328,180,148,0,0
"E00033095",414,313,101,0,0
"E00033096",259,212,47,0,0
"E00033097",263,174,89,0,0
"E00033098",274,188,84,0,2
"E00033099",163,100,63,0,0
"E00033100",297,184,113,0,0
"E00033101",212,137,75,0,0
"E00033102",429,244,174,11,0
"E00033103",298,165,133,0,0
"E00033104",275,149,113,13,0
"E00033105",293,183,110,0,0
"E00033106",286,191,87,0,8
"E00033107",353,207,136,10,0
"E00033108",317,135,182,0,0
"E00033109",322,174,148,0,0
"E00033110",340,234,100,6,0
"E00033112",308,244,56,8,0
"E00033113",246,207,39,0,0
"E00033114",303,188,108,7,0
"E00033115",132,107,25,0,0
"E00033116",137,132,5,0,0
"E00033117",385,249,130,6,0
