"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E01006512",799,263,385,49,102
"E01006513",909,261,497,58,93
"E01006514",1115,280,682,38,115
"E01006515",641,227,319,47,48
"E01006518",835,308,383,74,70
"E01006519",514,196,246,59,13
"E01006520",1182,236,805,25,116
"E01006521",928,307,502,49,70
"E01006522",1094,298,648,43,105
"E01006523",830,260,482,42,46
"E01006524",583,236,262,37,48
"E01006525",486,154,266,55,11
"E01006526",654,263,294,69,28
"E01006527",638,206,343,66,23
"E01006528",613,201,330,62,20
"E01006529",559,201,265,77,16
"E01006530",616,196,328,78,14
"E01006531",674,194,404,54,22
"E01006532",617,233,303,67,14
"E01006533",614,239,290,66,19
"E01006534",649,188,343,76,42
"E01006535",656,191,338,87,40
"E01006536",815,248,424,102,41
"E01006537",964,297,505,120,42
"E01006538",527,147,272,84,24
"E01006539",601,278,270,40,13
"E01006540",771,285,337,83,66
"E01006541",803,179,507,79,38
"E01006542",583,172,317,56,38
"E01006543",509,145,252,85,27
"E01006544",738,263,321,97,57
"E01006545",646,193,332,83,38
"E01006546",583,193,267,68,55
"E01006547",718,288,295,83,52
"E01006548",759,290,323,94,52
"E01006549",949,234,596,29,90
"E01006550",483,123,283,54,23
"E01006551",751,301,383,24,43
"E01006552",869,255,385,101,128
"E01006553",642,178,353,86,25
"E01006554",649,159,397,45,48
"E01006556",1016,377,468,82,89
"E01006557",635,141,342,111,41
"E01006558",739,349,261,74,55
"E01006560",996,350,490,83,73
"E01006562",714,244,338,71,61
"E01006563",908,255,489,85,79
"E01006564",800,243,398,104,55
"E01006565",638,199,299,89,51
"E01006566",577,156,281,96,44
"E01006567",892,267,515,67,43
"E01006568",629,153,351,84,41
"E01006569",613,209,296,59,49
"E01006570",595,170,310,85,30
"E01006571",612,191,292,85,44
"E01006572",501,133,265,58,45
"E01006573",778,261,376,84,57
"E01006574",612,155,328,90,39
"E01006575",578,197,292,66,23
"E01006576",713,200,391,99,23
"E01006577",597,183,314,73,27
"E01006578",554,151,284,93,26
"E01006579",618,164,318,112,24
"E01006580",515,160,266,75,14
"E01006581",607,158,327,94,28
"E01006582",585,163,320,79,23
"E01006583",467,174,245,40,8
