"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E00032987",87,6,61,16,0,0,0,4
"E00032988",200,24,146,22,1,1,1,5
"E00032989",232,3,196,16,0,0,4,13
"E00032990",219,5,166,25,1,0,6,16
"E00032991",219,18,166,19,0,0,4,12
"E00032992",165,9,108,36,0,0,3,9
"E00032993",166,1,98,57,0,0,2,8
"E00032994",63,1,57,1,0,0,1,3
"E00032995",149,5,119,12,0,0,8,5
"E00032996",181,3,160,5,0,0,4,9
"E00032997",106,11,82,5,0,0,3,5
"E00032998",164,7,114,28,0,0,4,11
"E00032999",236,4,203,12,3,0,2,12
"E00033000",87,0,72,4,0,0,4,7
"E00033002",129,7,42,73,0,0,2,5
"E00033004",167,3,75,85,0,0,0,4
"E00033005",176,10,146,8,0,0,6,6
"E00033006",120,5,107,2,0,0,0,6
"E00033007",155,0,136,4,0,0,4,11
"E00033008",147,0,124,9,0,0,2,12
"E00033012",104,3,3,95,1,0,1,1
"E00033013",115,5,48,60,1,0,0,1
"E00033015",109,15,33,54,1,0,1,5
"E00033016",226,20,91,104,1,0,0,10
"E00033018",72,1,61,5,1,0,2,2
"E00033019",218,5,127,72,0,0,7,7
"E00033020",143,11,80,36,0,5,7,4
"E00033021",134,7,74,43,0,0,4,6
"E00033023",149,11,109,16,0,0,6,7
"E00033024",104,2,94,2,0,0,3,3
"E00033025",135,9,122,3,0,0,0,1
"E00033026",90,3,83,2,0,0,1,1
"E00033027",200,14,103,75,0,0,0,8
"E00033029",111,3,96,8,1,0,1,2
"E00033030",95,1,88,1,0,0,0,5
"E00033031",130,4,122,2,0,0,0,2
"E00033032",238,17,194,18,0,0,1,8
"E00033033",193,13,162,7,0,7,1,3
"E00033034",201,14,177,4,0,2,0,4
"E00033035",159,6,142,3,0,0,1,7
"E00033036",128,9,66,50,0,0,1,2
"E00033037",153,2,141,8,0,0,1,1
"E00033038",110,7,88,8,0,0,5,2
"E00033040",132,3,118,6,0,0,1,4
"E00033041",110,6,100,0,0,1,0,3
"E00033042",98,2,81,10,0,1,1,3
"E00033043",112,4,89,17,0,0,1,1
"E00033044",92,2,89,0,0,0,0,1
"E00033045",132,1,123,2,0,0,1,5
"E00033046",121,2,100,16,0,0,2,1
"E00033047",106,1,98,4,0,0,1,2
"E00033048",100,3,89,3,0,0,1,4
"E00033049",154,8,137,5,0,0,0,4
"E00033050",84,0,82,0,0,1,0,1
"E00033051",167,9,108,42,0,1,3,4
"E00033052",144,10,122,2,0,0,1,9
"E00033053",111,8,99,1,0,0,1,2
"E00033054",76,0,73,0,0,0,3,0
"E00033055",106,6,96,1,0,1,0,2
"E00033056",123,5,114,0,0,0,2,2
"E00033057",122,6,112,1,0,0,0,3
"E00033059",149,2,123,6,0,0,11,7
"E00033060",101,5,79,15,0,0,1,1
"E00033061",91,3,81,4,0,0,0,3
"E00033062",105,3,95,2,0,1,0,4
"E00033063",101,1,98,0,0,0,1,1
"E00033064",97,0,92,2,0,1,0,2
"E00033065",120,7,109,1,0,0,0,3
"E00033066",155,8,111,26,4,0,6,0
"E00033067",184,11,151,13,1,0,1,7
"E00033068",203,18,171,11,0,0,1,2
"E00033069",164,5,144,9,0,0,5,1
"E00033070",190,10,155,18,0,1,3,3
"E00033071",141,8,104,12,0,0,8,9
"E00033072",167,5,152,6,0,0,2,2
"E00033073",192,9,138,29,1,0,8,7
