"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E00032987",87,63,22,2,0,0,26
"E00032988",200,121,70,6,1,2,96
"E00032989",232,151,74,7,0,0,88
"E00032990",219,133,59,25,0,2,117
"E00032991",219,152,53,10,1,3,90
"E00032992",165,133,28,3,1,0,37
"E00032993",166,110,43,11,2,0,71
"E00032994",63,53,10,0,0,0,10
"E00032995",149,107,36,5,1,0,49
"E00032996",181,101,71,7,2,0,91
"E00032997",106,65,33,7,0,1,51
"E00032998",164,86,64,11,2,1,96
"E00032999",236,159,74,3,0,0,80
"E00033000",87,62,23,2,0,0,27
"E00033002",129,81,42,6,0,0,54
"E00033004",167,37,104,25,1,0,157
"E00033005",176,115,58,3,0,0,64
"E00033006",120,64,52,4,0,0,60
"E00033007",155,97,49,9,0,0,67
"E00033008",147,114,25,7,1,0,42
"E00033012",104,27,56,19,1,1,103
"E00033013",115,67,39,9,0,0,57
"E00033015",109,63,39,5,2,0,55
"E00033016",226,143,65,13,4,1,107
"E00033018",72,43,26,2,1,0,33
"E00033019",218,162,50,5,0,1,64
"E00033020",143,91,45,5,2,0,61
"E00033021",134,95,35,3,1,0,44
"E00033023",149,80,48,18,1,2,96
"E00033024",104,71,26,7,0,0,40
"E00033025",135,37,69,25,4,0,131
"E00033026",90,14,47,24,4,1,111
"E00033027",200,69,89,34,7,1,182
"E00033029",111,35,52,22,0,2,104
"E00033030",95,11,40,34,8,2,140
"E00033031",130,28,61,36,5,0,148
"E00033032",238,90,110,36,1,1,192
"E00033033",193,91,78,17,3,4,137
"E00033034",201,59,103,36,1,2,197
"E00033035",159,63,64,26,6,0,134
"E00033036",128,57,59,11,1,0,84
"E00033037",153,39,75,33,5,1,160
"E00033038",110,49,45,12,2,2,83
"E00033040",132,53,55,21,3,0,106
"E00033041",110,22,52,32,4,0,128
"E00033042",98,14,43,30,9,2,138
"E00033043",112,13,54,41,3,1,149
"E00033044",92,9,42,34,6,1,132
"E00033045",132,84,41,6,1,0,56
"E00033046",121,44,49,26,1,1,108
"E00033047",106,12,45,41,6,2,153
"E00033048",100,14,49,30,5,2,132
"E00033049",154,47,74,30,2,1,144
"E00033050",84,6,30,39,6,3,140
"E00033051",167,48,67,43,9,0,180
"E00033052",144,55,51,30,4,4,139
"E00033053",111,27,47,31,6,0,127
"E00033054",76,30,33,13,0,0,59
"E00033055",106,23,63,18,2,0,105
"E00033056",123,17,81,22,3,0,134
"E00033057",122,33,65,22,2,0,115
"E00033059",149,65,46,32,6,0,128
"E00033060",101,25,54,15,5,2,107
"E00033061",91,15,37,33,4,2,128
"E00033062",105,15,50,32,6,2,140
"E00033063",101,6,46,41,6,2,154
"E00033064",97,13,49,30,4,1,126
"E00033065",120,23,60,34,3,0,137
"E00033066",155,55,90,10,0,0,110
"E00033067",184,76,89,17,2,0,129
"E00033068",203,73,84,43,2,1,180
"E00033069",164,67,79,17,1,0,116
"E00033070",190,108,66,15,1,0,99
"E00033071",141,41,70,26,4,0,134
"E00033072",167,62,76,28,1,0,135
"E00033073",192,106,69,15,1,1,106
"E00033074",179,93,74,8,4,0,102
"E00033075",210,170,37,3,0,0,43
"E00033076",152,27,77,41,6,1,181
"E00033077",185,75,86,22,1,1,138
"E00033078",176,66,92,12,1,5,203
"E00033079",116,51,46,14,5,0,89
"E00033080",150,98,47,5,0,0,57
"E00033081",127,46,66,14,1,0,97
"E00033082",122,6,47,47,17,5,214
"E00033083",122,2,36,52,26,6,243
"E00033084",148,52,52,36,7,1,149
"E00033085",143,38,65,33,6,1,153
"E00033086",122,24,61,34,3,0,138
"E00033087",149,23,69,46,11,0,194
"E00033088",101,35,42,21,3,0,93
"E00033089",124,45,53,18,8,0,113
"E00033090",139,40,70,19,8,2,140
"E00033091",126,20,69,30,7,0,150
"E00033092",127,19,63,35,9,1,164
"E00033093",158,33,83,34,6,2,177
"E00033094",136,31,73,28,4,0,141
"E00033095",164,21,67,63,9,4,242
"E00033096",110,5,49,41,12,3,181
"E00033097",119,58,43,16,2,0,81
"E00033098",113,16,55,34,8,0,147
"E00033099",94,48,31,13,1,1,64
"E00033100",138,55,65,14,2,2,107
"E00033101",96,14,47,28,5,2,126
"E00033102",207,61,115,30,1,0,178
"E00033103",117,43,57,12,4,1,97
"E00033104",109,39,57,13,0,0,83
"E00033105",118,19,49,35,14,1,165
"E00033106",125,48,58,18,1,0,97
"E00033107",121,15,43,39,17,7,201
"E00033108",119,33,55,25,6,0,123
"E00033109",123,24,58,35,4,2,148
"E00033110",142,36,67,29,10,0,155
"E00033112",115,5,40,53,15,2,199
"E00033113",117,10,42,48,14,3,192
"E00033114",113,3,49,47,14,0,185
"E00033115",92,13,65,13,1,0,94
"E00033116",101,53,40,8,0,0,56
"E00033117",154,26,56,62,7,3,213
"E00033118",129,16,62,41,6,4,178
"E00033119",109,13,50,36,7,3,155
"E00033120",132,29,65,30,8,0,149
"E00033121",119,38,59,21,0,1,105
"E00033122",121,28,60,26,6,1,134
"E00033123",123,26,60,33,3,1,139
"E00033124",120,16,55,36,12,1,168
"E00033125",111,61,37,10,3,0,66
"E00033126",111,25,58,23,5,0,119
"E00033127",194,50,86,47,9,2,219
"E00033128",111,41,53,15,0,2,92
"E00033129",108,17,62,20,9,0,129
"E00033130",126,15,39,45,17,10,224
"E00033131",130,70,41,16,2,1,83
"E00033132",158,53,76,26,3,0,137
"E00033133",144,84,49,10,1,0,72
"E00033134",111,81,26,4,0,0,34
"E00033135",183,97,74,12,0,0,98
"E00033136",99,53,37,8,1,0,56
"E00033137",167,134,30,3,0,0,36
"E00033138",113,84,26,2,1,0,33
"E00033139",149,91,46,11,1,0,71
"E00033140",94,41,39,13,1,0,68
"E00033141",85,37,36,11,1,0,61
"E00033142",117,58,48,10,1,0,71
"E00033143",127,90,35,2,0,0,39
"E00033144",126,90,32,4,0,0,40
"E00033145",122,57,47,16,2,0,85
"E00033146",124,58,49,14,2,1,87
"E00033147",127,55,54,15,3,0,93
"E00033148",116,60,43,12,1,0,70
"E00033149",98,59,31,7,1,0,48
"E00033150",146,104,35,5,2,0,51
"E00033151",125,83,36,5,0,1,50
"E00033152",146,95,44,7,0,0,58
"E00033153",167,79,73,13,2,0,105
"E00033154",102,75,27,0,0,0,27
"E00033155",155,102,48,4,1,0,59
"E00033156",122,92,26,3,1,0,35
"E00033157",140,94,32,12,1,1,63
"E00033158",130,85,37,8,0,0,53
"E00033159",87,59,21,6,1,0,36
"E00033160",167,122,37,5,3,0,56
"E00033161",137,85,43,7,2,0,63
"E00033162",131,91,36,2,2,0,46
"E00033163",136,94,33,8,1,0,52
"E00033164",152,61,71,18,1,1,114
"E00033165",117,84,31,2,0,0,35
"E00033166",113,79,27,6,1,0,42
"E00033167",130,61,54,12,2,1,91
"E00033168",122,35,57,27,3,0,120
"E00033169",122,29,64,26,2,1,126
"E00033170",142,44,66,29,2,1,134
"E00033171",136,36,70,25,4,1,136
"E00033172",122,95,20,6,1,0,35
"E00033173",129,42,54,27,5,1,127
"E00033174",114,66,43,3,2,0,55
"E00033175",107,46,41,16,3,1,86
"E00033176",99,58,34,6,1,0,49
"E00033177",130,52,69,8,1,0,88
"E00033178",88,52,32,4,0,0,40
"E00033179",136,77,49,10,0,0,69
"E00033181",155,78,47,20,10,0,117
"E00033182",184,100,65,14,3,2,110
"E00033183",207,107,61,29,3,7,157
"E00033185",117,38,53,19,5,2,114
"E00033186",105,37,33,18,12,5,127
"E00033187",129,58,61,8,1,1,85
"E00033188",113,42,46,20,3,2,103
"E00033189",208,137,56,14,1,0,87
"E00033190",226,142,71,10,3,0,100
"E00033191",128,57,48,20,1,2,99
"E00033192",118,52,40,14,11,1,105
"E00033193",114,25,56,26,5,2,131
"E00033194",117,36,55,15,7,4,122
"E00033195",105,34,50,16,5,0,97
"E00033196",137,66,55,16,0,0,87
"E00033197",236,126,100,9,1,0,121
"E00033198",135,42,57,29,5,2,139
"E00033199",137,82,53,2,0,0,57
"E00033200",126,74,45,4,1,2,70
"E00033201",91,34,36,20,1,0,79
"E00033202",98,28,45,20,5,0,100
"E00033203",101,31,48,16,5,1,99
"E00033204",105,35,42,26,2,0,100
"E00033206",117,31,58,27,1,0,115
"E00033207",179,140,34,4,0,1,46
"E00033208",143,112,27,2,2,0,37
"E00033209",208,156,47,2,3,0,60
"E00033210",133,102,22,7,2,0,42
"E00033211",145,101,34,8,2,0,56
"E00033212",123,74,42,7,0,0,56
"E00033213",136,72,41,19,2,2,94
"E00033214",223,136,73,11,3,0,104
"E00033215",147,97,45,4,1,0,56
"E00033216",150,78,49,20,2,1,100
"E00033217",158,87,56,12,2,1,91
"E00033218",106,27,45,29,5,0,118
"E00033219",181,85,65,27,3,1,133
"E00033220",135,65,50,15,4,1,97
"E00033221",170,134,28,6,0,2,49
"E00033222",135,92,40,3,0,0,46
"E00033223",171,103,56,8,4,0,84
"E00033224",148,104,40,4,0,0,48
"E00033225",160,115,37,7,1,0,54
"E00033226",187,138,44,5,0,0,54
