"GeographyCode","QS417EW0001","QS417EW0002","QS417EW0003"
"E02001347",3326,3204,122
"E02001348",3260,3148,112
"E02001349",3522,3422,100
"E02001350",3523,3417,106
"E02001351",3608,3515,93
"E02001352",3154,3046,108
"E02001353",3007,2959,48
"E02001354",3368,3312,56
"E02001355",3292,3108,184
"E02001356",2415,2364,51
"E02001357",2919,2858,61
"E02001358",3664,3450,214
"E02001359",2384,2328,56
"E02001360",4398,4130,268
"E02001361",3481,3388,93
"E02001362",3226,3161,65
"E02001363",3629,3481,148
"E02001364",2705,2532,173
"E02001365",4327,4059,268
"E02001366",4238,4081,157
"E02001367",4058,3939,119
"E02001368",2999,2918,81
"E02001369",3957,3877,80
"E02001370",3257,3153,104
"E02001371",3160,3076,84
"E02001372",2815,2728,87
"E02001373",4298,4089,209
"E02001374",4394,4105,289
"E02001375",3303,3202,101
"E02001376",4067,3789,278
"E02001377",4271,4063,208
"E02001378",3687,3557,130
"E02001380",3169,3117,52
"E02001381",4573,4312,261
"E02001382",2823,2782,41
"E02001383",4523,4260,263
"E02001384",4137,3941,196
"E02001385",3975,3631,344
"E02001386",3619,3572,47
"E02001387",3282,3162,120
"E02001388",4397,4170,227
"E02001389",4360,3740,620
"E02001390",4253,4094,159
"E02001391",2506,2481,25
"E02001392",2647,2556,91
"E02001393",2917,2845,72
"E02001394",4466,4290,176
"E02001395",2697,2612,85
"E02001396",4130,3918,212
"E02001397",3987,3848,139
"E02001398",3792,3595,197
"E02001399",2947,2866,81
"E02001400",2938,2839,99
"E02001401",3497,3395,102
"E02001402",3912,3762,150
"E02001403",2959,2841,118
"E02001404",3209,3155,54
"E02001405",4267,4154,113
"E02006932",3524,3201,323
"E02006933",3665,3135,530
"E02006934",3056,2782,274
