"GeographyCode","QS419EW0001","QS419EW0002","QS419EW0003","QS419EW0004"
"E01006512",460,460,0,0
"E01006513",1250,1243,2,5
"E01006514",350,349,1,0
"E01006515",0,0,0,0
"E01006518",66,65,0,1
"E01006519",0,0,0,0
"E01006520",21,21,0,0
"E01006521",41,40,0,1
"E01006522",61,60,1,0
"E01006523",35,34,1,0
"E01006524",1352,1344,4,4
"E01006525",0,0,0,0
"E01006526",103,100,0,3
"E01006527",81,81,0,0
"E01006528",27,21,0,6
"E01006529",0,0,0,0
"E01006530",3,3,0,0
"E01006531",3,3,0,0
"E01006532",3,3,0,0
"E01006533",53,50,0,3
"E01006534",0,0,0,0
"E01006535",89,88,0,1
"E01006536",0,0,0,0
"E01006537",0,0,0,0
"E01006538",0,0,0,0
"E01006539",34,34,0,0
"E01006540",24,22,0,2
"E01006541",0,0,0,0
"E01006542",100,100,0,0
"E01006543",0,0,0,0
"E01006544",0,0,0,0
"E01006545",0,0,0,0
"E01006546",0,0,0,0
"E01006547",0,0,0,0
"E01006548",95,91,0,4
"E01006549",103,101,0,2
"E01006550",0,0,0,0
"E01006551",447,442,2,3
"E01006552",2,2,0,0
"E01006553",0,0,0,0
"E01006554",22,22,0,0
"E01006556",1,1,0,0
"E01006557",3,3,0,0
"E01006558",0,0,0,0
"E01006560",0,0,0,0
"E01006562",0,0,0,0
"E01006563",4,4,0,0
"E01006564",0,0,0,0
"E01006565",0,0,0,0
"E01006566",75,75,0,0
"E01006567",33,24,6,3
"E01006568",126,125,0,1
"E01006569",57,54,0,3
"E01006570",16,16,0,0
"E01006571",32,26,0,6
"E01006572",0,0,0,0
"E01006573",0,0,0,0
"E01006574",0,0,0,0
"E01006575",5,5,0,0
"E01006576",2,2,0,0
"E01006577",0,0,0,0
"E01006578",0,0,0,0
"E01006579",0,0,0,0
"E01006580",4,3,1,0
"E01006581",0,0,0,0
"E01006582",12,12,0,0
"E01006583",503,500,2,1
"E01006584",0,0,0,0
"E01006585",0,0,0,0
"E01006586",24,24,0,0
"E01006587",5,5,0,0
"E01006588",48,41,0,7
"E01006589",6,6,0,0
"E01006590",5,5,0,0
"E01006591",0,0,0,0
"E01006592",24,24,0,0
"E01006593",0,0,0,0
"E01006594",5,5,0,0
"E01006595",0,0,0,0
"E01006596",0,0,0,0
"E01006597",28,28,0,0
"E01006598",0,0,0,0
"E01006599",0,0,0,0
"E01006600",0,0,0,0
"E01006603",24,23,0,1
"E01006604",0,0,0,0
"E01006605",0,0,0,0
"E01006606",0,0,0,0
"E01006607",2,2,0,0
"E01006608",2,2,0,0
"E01006609",0,0,0,0
"E01006610",2,2,0,0
"E01006611",0,0,0,0
"E01006612",0,0,0,0
"E01006613",0,0,0,0
"E01006614",0,0,0,0
"E01006615",0,0,0,0
"E01006616",0,0,0,0
"E01006617",0,0,0,0
"E01006618",0,0,0,0
"E01006619",0,0,0,0
"E01006620",8,8,0,0
"E01006621",0,0,0,0
"E01006622",0,0,0,0
"E01006623",0,0,0,0
"E01006624",5,5,0,0
"E01006625",0,0,0,0
"E01006626",0,0,0,0
"E01006627",0,0,0,0
"E01006628",356,354,2,0
"E01006629",13,13,0,0
"E01006630",0,0,0,0
"E01006632",0,0,0,0
"E01006633",0,0,0,0
"E01006637",0,0,0,0
"E01006638",0,0,0,0
"E01006639",0,0,0,0
"E01006640",0,0,0,0
"E01006641",100,97,2,1
"E01006642",0,0,0,0
"E01006643",0,0,0,0
"E01006644",0,0,0,0
"E01006645",0,0,0,0
"E01006646",18,1,0,17
"E01006647",0,0,0,0
"E01006648",0,0,0,0
"E01006651",0,0,0,0
"E01006652",0,0,0,0
"E01006653",0,0,0,0
"E01006654",58,52,0,6
"E01006655",25,20,5,0
"E01006656",0,0,0,0
"E01006657",0,0,0,0
"E01006658",0,0,0,0
"E01006659",695,646,0,49
"E01006660",0,0,0,0
"E01006661",0,0,0,0
"E01006662",142,133,7,2
"E01006663",0,0,0,0
"E01006664",0,0,0,0
"E01006665",0,0,0,0
"E01006666",0,0,0,0
"E01006667",40,37,0,3
"E01006668",0,0,0,0
"E01006669",0,0,0,0
"E01006670",6,6,0,0
"E01006671",6,6,0,0
"E01006672",0,0,0,0
"E01006673",12,12,0,0
"E01006674",0,0,0,0
"E01006675",142,140,2,0
"E01006676",0,0,0,0
"E01006677",47,39,0,8
"E01006678",1,1,0,0
"E01006679",48,41,1,6
"E01006680",0,0,0,0
"E01006681",0,0,0,0
"E01006682",0,0,0,0
"E01006683",3,3,0,0
"E01006684",25,25,0,0
"E01006685",58,57,0,1
"E01006686",4,4,0,0
"E01006687",56,56,0,0
