"GeographyCode","QS419EW0001","QS419EW0002","QS419EW0003","QS419EW0004"
"E00032987",0,0,0,0
"E00032988",50,50,0,0
"E00032989",0,0,0,0
"E00032990",4,4,0,0
"E00032991",0,0,0,0
"E00032992",0,0,0,0
"E00032993",0,0,0,0
"E00032994",0,0,0,0
"E00032995",0,0,0,0
"E00032996",0,0,0,0
"E00032997",0,0,0,0
"E00032998",0,0,0,0
"E00032999",0,0,0,0
"E00033000",0,0,0,0
"E00033002",0,0,0,0
"E00033004",0,0,0,0
"E00033005",66,65,0,1
"E00033006",0,0,0,0
"E00033007",0,0,0,0
"E00033008",0,0,0,0
"E00033012",0,0,0,0
"E00033013",0,0,0,0
"E00033015",0,0,0,0
"E00033016",149,149,0,0
"E00033018",130,127,0,3
"E00033019",0,0,0,0
"E00033020",0,0,0,0
"E00033021",0,0,0,0
"E00033023",135,135,0,0
"E00033024",0,0,0,0
"E00033025",0,0,0,0
"E00033026",0,0,0,0
"E00033027",27,26,0,1
"E00033029",0,0,0,0
"E00033030",81,81,0,0
"E00033031",0,0,0,0
"E00033032",0,0,0,0
"E00033033",0,0,0,0
"E00033034",0,0,0,0
"E00033035",35,34,1,0
"E00033036",0,0,0,0
"E00033037",38,38,0,0
"E00033038",0,0,0,0
"E00033040",0,0,0,0
"E00033041",0,0,0,0
"E00033042",0,0,0,0
"E00033043",0,0,0,0
"E00033044",0,0,0,0
"E00033045",0,0,0,0
"E00033046",0,0,0,0
"E00033047",46,43,0,3
"E00033048",0,0,0,0
"E00033049",0,0,0,0
"E00033050",0,0,0,0
"E00033051",0,0,0,0
"E00033052",2,2,0,0
"E00033053",0,0,0,0
"E00033054",0,0,0,0
"E00033055",0,0,0,0
"E00033056",0,0,0,0
"E00033057",0,0,0,0
"E00033059",0,0,0,0
"E00033060",0,0,0,0
"E00033061",0,0,0,0
"E00033062",0,0,0,0
"E00033063",0,0,0,0
"E00033064",0,0,0,0
"E00033065",0,0,0,0
"E00033066",0,0,0,0
"E00033067",0,0,0,0
"E00033068",0,0,0,0
"E00033069",0,0,0,0
"E00033070",16,16,0,0
"E00033071",14,14,0,0
"E00033072",29,28,1,0
"E00033073",4,4,0,0
"E00033074",16,16,0,0
"E00033075",17,17,0,0
"E00033076",95,95,0,0
"E00033077",0,0,0,0
"E00033078",57,57,0,0
"E00033079",0,0,0,0
"E00033080",0,0,0,0
"E00033081",0,0,0,0
"E00033082",0,0,0,0
"E00033083",0,0,0,0
"E00033084",0,0,0,0
"E00033085",0,0,0,0
"E00033086",0,0,0,0
"E00033087",0,0,0,0
"E00033088",0,0,0,0
"E00033089",0,0,0,0
"E00033090",0,0,0,0
"E00033091",0,0,0,0
"E00033092",0,0,0,0
"E00033093",0,0,0,0
"E00033094",0,0,0,0
"E00033095",29,29,0,0
"E00033096",3,3,0,0
"E00033097",0,0,0,0
"E00033098",3,3,0,0
"E00033099",0,0,0,0
"E00033100",0,0,0,0
"E00033101",0,0,0,0
"E00033102",0,0,0,0
"E00033103",0,0,0,0
"E00033104",0,0,0,0
"E00033105",0,0,0,0
"E00033106",0,0,0,0
"E00033107",0,0,0,0
"E00033108",0,0,0,0
"E00033109",0,0,0,0
"E00033110",0,0,0,0
"E00033112",0,0,0,0
"E00033113",0,0,0,0
"E00033114",5,5,0,0
"E00033115",0,0,0,0
"E00033116",53,50,0,3
"E00033117",0,0,0,0
"E00033118",0,0,0,0
"E00033119",0,0,0,0
"E00033120",0,0,0,0
"E00033121",0,0,0,0
"E00033122",0,0,0,0
"E00033123",0,0,0,0
"E00033124",0,0,0,0
"E00033125",0,0,0,0
"E00033126",3,3,0,0
"E00033127",89,88,0,1
"E00033128",0,0,0,0
"E00033129",0,0,0,0
"E00033130",0,0,0,0
"E00033131",0,0,0,0
"E00033132",40,40,0,0
"E00033133",0,0,0,0
"E00033134",0,0,0,0
"E00033135",0,0,0,0
"E00033136",0,0,0,0
"E00033137",9,7,0,2
"E00033138",0,0,0,0
"E00033139",0,0,0,0
"E00033140",0,0,0,0
"E00033141",0,0,0,0
"E00033142",0,0,0,0
"E00033143",0,0,0,0
"E00033144",0,0,0,0
"E00033145",0,0,0,0
"E00033146",0,0,0,0
"E00033147",0,0,0,0
"E00033148",0,0,0,0
"E00033149",0,0,0,0
"E00033150",0,0,0,0
"E00033151",0,0,0,0
"E00033152",0,0,0,0
"E00033153",95,91,0,4
"E00033154",0,0,0,0
"E00033155",0,0,0,0
"E00033156",0,0,0,0
"E00033157",0,0,0,0
"E00033158",0,0,0,0
"E00033159",0,0,0,0
"E00033160",0,0,0,0
"E00033161",15,15,0,0
"E00033162",0,0,0,0
"E00033163",0,0,0,0
"E00033164",0,0,0,0
"E00033165",0,0,0,0
"E00033166",0,0,0,0
"E00033167",0,0,0,0
"E00033168",0,0,0,0
"E00033169",0,0,0,0
"E00033170",0,0,0,0
"E00033171",0,0,0,0
"E00033172",56,56,0,0
"E00033173",0,0,0,0
"E00033174",0,0,0,0
"E00033175",0,0,0,0
"E00033176",0,0,0,0
"E00033177",0,0,0,0
"E00033178",4,4,0,0
"E00033179",0,0,0,0
"E00033181",4,4,0,0
"E00033182",0,0,0,0
"E00033183",2,2,0,0
"E00033185",0,0,0,0
"E00033186",0,0,0,0
"E00033187",21,21,0,0
"E00033188",0,0,0,0
"E00033189",0,0,0,0
"E00033190",0,0,0,0
"E00033191",1,1,0,0
"E00033192",0,0,0,0
"E00033193",0,0,0,0
"E00033194",0,0,0,0
"E00033195",0,0,0,0
"E00033196",82,80,0,2
"E00033197",17,17,0,0
"E00033198",0,0,0,0
"E00033199",0,0,0,0
"E00033200",57,53,1,3
"E00033201",0,0,0,0
"E00033202",0,0,0,0
"E00033203",3,3,0,0
"E00033204",0,0,0,0
"E00033206",373,372,1,0
"E00033207",0,0,0,0
"E00033208",0,0,0,0
"E00033209",1,1,0,0
"E00033210",0,0,0,0
"E00033211",0,0,0,0
"E00033212",0,0,0,0
"E00033213",0,0,0,0
"E00033214",0,0,0,0
"E00033215",0,0,0,0
"E00033216",2,2,0,0
"E00033217",0,0,0,0
"E00033218",0,0,0,0
"E00033219",16,16,0,0
"E00033220",0,0,0,0
"E00033221",0,0,0,0
"E00033222",0,0,0,0
"E00033223",0,0,0,0
"E00033224",0,0,0,0
"E00033225",3,3,0,0
"E00033226",0,0,0,0
"E00033227",0,0,0,0
"E00033228",0,0,0,0
"E00033229",0,0,0,0
"E00033230",0,0,0,0
"E00033231",0,0,0,0
"E00033235",0,0,0,0
"E00033237",0,0,0,0
"E00033238",0,0,0,0
"E00033242",0,0,0,0
"E00033245",0,0,0,0
"E00033246",0,0,0,0
"E00033247",0,0,0,0
"E00033248",0,0,0,0
"E00033249",0,0,0,0
"E00033250",0,0,0,0
