"GeographyCode","QS421EW0001","QS421EW0002","QS421EW0003","QS421EW0004","QS421EW0005","QS421EW0006","QS421EW0007","QS421EW0008","QS421EW0009","QS421EW0010","QS421EW0011","QS421EW0012","QS421EW0013","QS421EW0014","QS421EW0015","QS421EW0016","QS421EW0017","QS421EW0018","QS421EW0019","QS421EW0020","QS421EW0021","QS421EW0022","QS421EW0023","QS421EW0024","QS421EW0025","QS421EW0026","QS421EW0027","QS421EW0028","QS421EW0029","QS421EW0030","QS421EW0031","QS421EW0032","QS421EW0033","QS421EW0034","QS421EW0035"
"E01006512",460,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,442,0,0,0,0,442,0,0,0,0,0,0,0,3
"E01006513",1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,1208,4,23,0,0,5,0,4,6
"E01006514",350,41,0,0,0,0,0,0,0,0,0,0,0,0,41,0,37,0,0,0,4,303,0,0,0,13,244,0,46,0,0,0,0,0,6
"E01006515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006518",66,66,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006520",21,21,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006521",41,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,14,0,0,0,0,0,0,7,0,0,7,0,0,0
"E01006522",61,45,0,0,0,0,0,0,0,0,0,0,0,0,45,16,0,0,29,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,1
"E01006523",35,35,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006524",1352,194,3,0,3,0,0,0,0,0,0,0,0,0,191,151,40,0,0,0,0,1158,0,0,0,0,1158,0,0,0,0,0,0,0,0
"E01006525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006526",103,103,0,0,0,0,0,0,0,0,0,0,0,0,103,29,20,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006527",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81,0,0,0,0,0,0,0,0
"E01006528",27,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E01006529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006530",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
"E01006531",3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006532",3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006533",53,53,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006535",89,89,0,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006539",34,34,0,0,0,0,0,0,0,0,0,0,0,0,34,25,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006540",24,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006542",100,96,0,0,0,0,0,0,0,0,0,0,0,0,96,56,37,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0
