"GeographyCode","QS421EW0001","QS421EW0002","QS421EW0003","QS421EW0004","QS421EW0005","QS421EW0006","QS421EW0007","QS421EW0008","QS421EW0009","QS421EW0010","QS421EW0011","QS421EW0012","QS421EW0013","QS421EW0014","QS421EW0015","QS421EW0016","QS421EW0017","QS421EW0018","QS421EW0019","QS421EW0020","QS421EW0021","QS421EW0022","QS421EW0023","QS421EW0024","QS421EW0025","QS421EW0026","QS421EW0027","QS421EW0028","QS421EW0029","QS421EW0030","QS421EW0031","QS421EW0032","QS421EW0033","QS421EW0034","QS421EW0035"
"E02001347",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0
"E02001348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001349",23,22,0,0,0,0,0,0,0,0,0,0,0,0,22,19,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"E02001350",142,131,0,0,0,0,0,0,0,0,0,0,0,0,131,131,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0
"E02001351",753,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,0,0,0,0,695,0,695,0,0,0,0,0,0,0,0,0,0,0
"E02001352",796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,796,0,0,0,0,0,0,0,0,0,0,0
"E02001353",46,46,0,0,0,0,0,0,0,0,0,0,0,0,46,0,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001354",2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001355",4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E02001356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001357",27,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001358",28,28,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001359",11,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001360",69,35,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,22,0,0,0,0,0,1,17,0,0,0,0,4,12
