"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E01006512",1683,171,122,98,2,268,732,290
"E01006513",2888,154,152,197,15,1244,827,299
"E01006514",2003,192,121,194,7,607,791,91
"E01006515",1023,381,71,122,9,110,261,69
"E01006518",1425,668,151,163,17,132,202,92
"E01006519",1055,154,94,133,31,104,510,29
"E01006520",1616,251,114,120,14,188,874,55
"E01006521",1491,301,119,168,47,173,633,50
"E01006522",1602,238,107,157,14,178,877,31
"E01006523",1352,254,97,132,26,153,652,38
"E01006524",2300,303,99,169,28,1082,556,63
"E01006525",1049,149,95,149,36,145,442,33
"E01006526",1217,285,122,144,24,118,478,46
"E01006527",1247,267,141,157,37,187,404,54
"E01006528",1239,180,110,158,29,201,505,56
"E01006529",1080,168,119,132,23,121,487,30
"E01006530",1222,270,134,215,61,148,350,44
"E01006531",1292,373,145,210,54,160,317,33
"E01006532",1280,186,114,188,50,137,578,27
"E01006533",1205,322,143,163,64,129,353,31
"E01006534",1271,374,180,205,27,133,304,48
"E01006535",1401,442,214,200,31,149,323,42
"E01006536",1545,533,234,239,41,185,270,43
"E01006537",1847,398,264,320,58,247,419,141
"E01006538",1101,267,162,180,49,146,262,35
"E01006539",1237,195,105,162,25,119,600,31
"E01006540",1218,483,217,179,24,100,135,80
"E01006541",1350,505,241,201,66,136,156,45
"E01006542",1149,425,182,161,32,127,165,57
"E01006543",1053,311,193,180,54,143,145,27
"E01006544",1304,515,223,249,30,124,115,48
"E01006545",1174,353,209,217,33,151,165,46
"E01006546",1016,339,197,163,27,134,123,33
"E01006547",1197,457,195,166,34,127,170,48
"E01006548",1328,472,212,210,28,181,160,65
"E01006549",1536,269,100,156,11,289,619,92
"E01006550",1499,98,58,110,7,853,341,32
"E01006551",1485,438,76,124,26,443,322,56
"E01006552",1452,385,197,171,17,156,388,138
"E01006553",1705,146,83,145,11,690,595,35
