"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E02001347",6072,1984,870,1005,202,774,1007,230
"E02001348",5819,1567,1018,1035,214,761,1056,168
"E02001349",6487,1561,1106,1168,238,939,1273,202
"E02001350",6233,2425,895,990,156,671,846,250
"E02001351",7217,2768,1175,1220,191,747,827,289
"E02001352",6127,2161,871,1080,187,718,803,307
"E02001353",5953,1282,917,1094,241,829,1375,215
"E02001354",6064,2329,983,961,196,682,691,222
"E02001355",5508,2011,820,962,161,690,683,181
"E02001356",4183,1748,618,710,76,394,448,189
"E02001357",5515,2347,820,961,143,568,522,154
"E02001358",5711,2221,916,927,174,670,596,207
"E02001359",4774,1360,721,737,209,547,1031,169
"E02001360",6909,3099,948,991,166,735,665,305
"E02001361",6237,2335,1052,1008,244,678,703,217
"E02001362",6208,2121,976,995,221,722,953,220
"E02001363",6076,2287,930,956,158,670,824,251
"E02001364",4287,1869,661,662,100,393,401,201
"E02001365",7072,2352,1205,1129,173,932,988,293
"E02001366",7365,2274,1165,1267,223,891,1235,310
"E02001367",7735,1810,1001,1300,337,1021,2007,259
"E02001368",4871,2468,609,553,89,384,558,210
"E02001369",6581,2776,772,778,125,708,1148,274
"E02001370",5034,2460,703,679,138,360,441,253
"E02001371",5641,2032,870,920,127,632,842,218
"E02001372",5176,1739,701,827,180,620,956,153
"E02001373",7450,2292,1109,1281,224,980,1282,282
"E02001374",6920,2068,971,986,154,865,1399,477
"E02001375",5870,2042,945,907,195,625,965,191
"E02001376",6790,2319,873,906,131,859,1147,555
"E02001377",10487,2098,719,918,93,3166,2416,1077
"E02001378",6593,2067,891,956,180,808,1397,294
"E02001380",6181,1360,820,1016,233,793,1752,207
"E02001381",7654,2097,868,935,129,1448,1779,398
"E02001382",5791,1032,744,955,199,832,1834,195
"E02001383",6638,1371,497,678,52,1455,2163,422
"E02001384",9753,1377,559,866,92,4285,2205,369
"E02001385",5980,2144,819,670,65,561,1179,542
"E02001386",6260,2711,853,963,179,648,675,231
"E02001387",6639,858,626,871,184,887,3051,162
"E02001388",7969,882,512,810,113,2635,2814,203
"E02001389",5607,1249,431,528,39,727,2352,281
"E02001390",6976,2944,894,910,98,781,979,370
"E02001391",4775,2020,706,758,134,547,436,174
"E02001392",4950,1021,545,704,235,560,1711,174
"E02001393",6536,819,572,920,165,1017,2869,174
"E02001394",9214,1575,606,828,124,2521,3283,277
"E02001395",5118,887,500,723,169,667,2016,156
"E02001396",6861,1992,794,845,150,835,1997,248
"E02001397",6558,1755,735,883,225,748,1999,213
"E02001398",6830,1275,586,811,170,977,2783,228
"E02001399",6075,1033,758,897,224,808,2144,211
"E02001400",5559,1682,797,862,144,629,1267,178
"E02001401",6667,1630,848,1088,286,830,1701,284
"E02001402",7070,1197,658,905,198,786,3129,197
"E02001403",4899,1499,737,772,102,552,962,275
"E02001404",5722,2165,975,929,169,604,637,243
"E02001405",7302,3054,1244,1197,171,692,594,350
"E02006932",9795,536,524,896,57,4180,2696,906
"E02006933",4963,779,371,454,78,776,2247,258
"E02006934",5008,316,249,476,36,1247,2387,297
