"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E02001347",6072,1984,2001,726,1350,1179,341,526,814,499,210,570,875,162
"E02001348",5819,1567,2243,763,1555,1236,347,648,781,544,222,586,944,60
"E02001349",6487,1561,2432,815,1919,1289,414,857,906,734,265,659,1077,103
"E02001350",6233,2425,1841,747,1237,1079,283,495,668,458,193,437,738,192
"E02001351",7217,2768,2234,1042,1255,1420,326,443,760,348,196,470,999,157
"E02001352",6127,2161,1857,844,1257,1203,312,480,709,407,187,427,799,216
"E02001353",5953,1282,2258,727,1963,1196,434,804,900,731,370,764,1108,139
"E02001354",6064,2329,1856,777,1120,1085,325,460,652,358,165,334,792,81
"E02001355",5508,2011,1699,672,1213,1030,255,464,637,341,166,349,708,60
"E02001356",4183,1748,1188,522,728,752,136,255,401,214,112,237,501,128
"E02001357",5515,2347,1579,681,931,1033,223,335,546,255,114,284,583,77
"E02001358",5711,2221,1749,779,1074,1076,264,416,640,308,154,274,693,77
"E02001359",4774,1360,1654,522,1353,837,330,598,555,559,198,596,752,90
"E02001360",6909,3099,1819,822,1201,1100,267,495,671,393,141,270,756,189
"E02001361",6237,2335,1966,721,1214,1084,376,439,671,368,177,348,805,57
"E02001362",6208,2121,2053,707,1447,1075,382,593,747,487,248,505,892,48
"E02001363",6076,2287,1848,708,1205,1088,256,497,700,445,191,398,754,168
"E02001364",4287,1869,1181,478,710,665,157,260,355,223,81,174,469,140
"E02001365",7072,2352,2385,875,1515,1311,305,677,832,552,206,478,862,229
"E02001366",7365,2274,2489,856,1826,1325,397,803,878,720,250,623,1042,191
"E02001367",7735,1810,2603,692,2729,1265,564,1309,946,1118,376,1172,1290,113
"E02001368",4871,2468,1077,452,741,588,140,337,392,354,106,237,501,136
"E02001369",6581,2776,1676,701,1355,939,212,804,566,845,178,436,731,355
"E02001370",5034,2460,1145,506,678,716,188,243,355,245,82,220,497,192
"E02001371",5641,2032,1695,738,1076,1083,224,437,666,436,165,473,765,175
"E02001372",5176,1739,1620,571,1282,927,316,574,612,490,199,542,695,98
"E02001373",7450,2292,2527,877,1888,1426,357,902,918,771,297,618,1061,191
"E02001374",6920,2068,2036,761,1769,1064,255,977,672,959,222,579,907,638
"E02001375",5870,2042,1910,618,1310,1041,296,573,645,538,190,507,751,115
"E02001376",6790,2319,1698,658,1451,941,187,844,539,764,152,453,688,664
"E02001377",10487,2098,2927,660,4107,872,150,3533,647,2036,185,569,746,1794
"E02001378",6593,2067,2089,672,1815,1059,314,969,757,907,244,738,969,224
"E02001380",6181,1360,2152,544,2186,1041,443,1095,837,1060,322,1018,1079,93
"E02001381",7654,2097,2450,776,2531,1151,215,1795,835,1365,238,654,912,580
"E02001382",5791,1032,2058,498,2398,946,396,1260,770,1165,346,1014,1127,138
"E02001383",6638,1371,1994,543,2718,819,115,2177,658,1819,251,584,820,759
"E02001384",9753,1377,3554,632,5723,998,166,5145,755,1802,239,686,1043,540
"E02001385",5980,2144,1427,618,1101,734,109,694,445,888,163,393,493,743
"E02001386",6260,2711,1719,695,1052,1087,261,415,640,370,146,338,777,78
"E02001387",6639,858,2370,381,3547,789,348,2337,704,2234,338,1863,1163,215
"E02001388",7969,882,3000,541,4837,940,215,4019,769,2314,308,1161,1179,355
"E02001389",5607,1249,1727,498,2365,781,101,1839,594,1994,271,846,832,517
"E02001390",6976,2944,1773,693,1225,1038,179,699,688,683,185,377,742,393
"E02001391",4775,2020,1356,592,822,857,193,317,506,229,100,219,639,49
"E02001392",4950,1021,1525,305,1945,640,408,1097,528,1064,257,1046,812,117
"E02001393",6536,819,2163,290,3608,645,330,2340,598,1952,346,1835,1026,233
"E02001394",9214,1575,3183,544,5023,887,233,4215,759,2679,317,1503,1322,468
"E02001395",5118,887,1750,345,2404,726,290,1495,577,1462,270,1110,938,124
"E02001396",6861,1992,2176,691,2255,1074,257,1531,732,1565,256,812,901,314
"E02001397",6558,1755,2018,521,2379,876,413,1359,728,1337,304,1104,1012,144
"E02001398",6830,1275,2307,519,3193,939,286,2292,790,2183,386,1290,1118,324
"E02001399",6075,1033,2155,371,2726,781,430,1498,756,1369,377,1251,1094,124
"E02001400",5559,1682,1860,547,1654,868,289,853,645,802,245,648,783,140
"E02001401",6667,1630,2260,587,2284,1173,505,1103,844,1007,319,940,1056,215
"E02001402",7070,1197,2341,458,3428,925,393,2229,778,2307,359,1794,1261,255
"E02001403",4899,1499,1618,552,1301,878,185,646,566,626,197,460,778,191
"E02001404",5722,2165,1817,701,1037,1065,253,433,596,383,132,296,728,141
"E02001405",7302,3054,2177,899,1096,1306,256,364,660,273,159,275,815,233
"E02006932",9795,536,3402,563,5666,811,114,5033,828,2381,237,595,798,1593
"E02006933",4963,779,1595,420,2301,594,195,1796,492,1894,215,807,735,569
"E02006934",5008,316,1816,394,2987,564,118,2452,552,2063,207,848,706,676
