"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E00032987",162,40,39,10,55,26,1,37,11,37,5,12,17,28
"E00032988",330,49,107,42,168,55,5,109,41,113,14,45,66,21
"E00032989",299,46,102,25,137,51,5,106,49,94,25,32,51,14
"E00032990",307,55,103,29,123,38,5,97,41,100,13,36,53,33
"E00032991",302,38,107,32,162,53,5,114,37,117,20,38,36,23
"E00032992",222,61,67,26,69,40,6,58,35,40,10,14,27,10
"E00032993",254,49,86,25,112,33,4,91,21,97,7,27,31,33
"E00032994",84,40,12,6,15,11,4,8,2,9,1,1,11,1
"E00032995",229,125,48,15,41,25,4,19,26,23,2,8,15,4
"E00032996",314,187,64,25,30,38,10,14,21,9,4,9,25,4
"E00032997",173,75,43,17,27,25,1,18,20,20,5,10,24,7
"E00032998",277,91,83,39,87,49,13,58,30,57,9,19,49,20
"E00032999",331,40,117,26,166,38,1,138,36,138,14,42,53,38
"E00033000",146,85,25,6,24,15,0,9,12,4,2,3,15,7
"E00033002",194,50,58,19,43,34,4,24,20,48,10,21,28,17
"E00033004",240,21,89,20,122,39,14,76,30,91,21,58,47,17
"E00033005",348,193,62,23,43,33,7,22,26,28,3,10,34,19
"E00033006",230,102,52,17,44,36,8,25,19,19,5,10,33,9
"E00033007",251,123,58,23,25,35,4,12,19,9,2,10,27,32
"E00033008",249,127,61,35,30,39,6,10,19,10,5,11,21,11
"E00033012",143,24,42,5,57,10,7,45,7,49,6,43,27,16
"E00033013",175,31,45,13,61,11,2,46,18,75,5,31,24,36
"E00033015",187,7,43,4,57,13,1,44,8,104,2,24,13,62
"E00033016",502,49,118,21,121,25,1,106,20,178,9,48,30,184
"E00033018",266,1,98,14,218,18,0,190,29,57,7,15,20,20
"E00033019",322,49,106,27,114,40,9,88,28,102,16,24,36,44
"E00033020",227,8,95,28,133,34,1,127,21,77,11,19,34,25
"E00033021",220,80,47,22,60,33,3,45,24,45,5,22,31,19
"E00033023",409,35,180,22,265,39,9,224,45,95,14,53,63,25
"E00033024",157,87,34,10,30,15,3,15,12,22,5,4,10,7
"E00033025",228,41,71,18,128,24,4,84,24,80,13,57,42,3
"E00033026",174,35,56,7,77,19,7,55,19,60,9,42,19,1
"E00033027",362,73,112,22,189,45,13,137,37,111,16,74,56,19
"E00033029",209,36,81,17,101,25,8,82,19,74,13,47,39,5
"E00033030",288,27,108,16,170,33,14,114,30,65,10,62,46,11
"E00033031",265,41,93,15,138,30,13,86,45,90,8,61,44,9
"E00033032",334,29,111,27,195,47,3,161,43,174,21,82,64,31
"E00033033",270,19,110,24,154,35,5,142,23,153,16,65,65,28
"E00033034",297,20,106,19,203,31,5,173,37,190,16,93,58,23
"E00033035",325,91,91,32,145,44,7,105,31,126,19,78,53,13
"E00033036",175,15,56,12,85,34,3,67,28,82,13,35,38,10
"E00033037",285,72,82,12,105,30,16,73,17,84,13,80,43,16
"E00033038",151,19,66,15,87,18,4,74,15,74,9,33,35,13
"E00033040",233,41,81,16,118,28,9,89,24,81,14,47,41,13
"E00033041",210,27,75,18,89,38,14,37,26,49,14,41,52,2
"E00033042",214,36,83,11,92,24,8,60,27,57,11,42,33,5
"E00033043",215,28,76,11,115,31,10,85,20,84,12,50,34,11
"E00033044",208,18,74,17,123,31,14,79,24,75,7,67,47,2
"E00033045",190,83,45,19,33,21,7,11,15,10,3,14,22,5
"E00033046",175,46,41,6,80,12,7,45,17,33,13,44,15,2
"E00033047",277,61,78,16,118,31,7,70,26,81,10,65,48,5
"E00033048",213,46,63,15,91,36,15,41,24,41,11,31,38,2
"E00033049",298,25,124,37,146,60,22,108,54,110,25,58,81,15
"E00033050",199,21,76,14,109,22,12,75,22,68,9,58,46,2
"E00033051",285,20,108,24,168,31,17,129,45,133,28,81,50,11
"E00033052",343,54,155,26,181,48,10,139,47,107,7,46,69,18
"E00033053",231,27,109,19,116,26,11,80,29,58,14,42,40,6
"E00033054",132,40,46,8,47,16,9,31,11,27,7,23,18,5
"E00033055",194,17,77,12,111,28,11,78,23,99,12,57,54,8
"E00033056",224,40,86,7,110,33,11,80,22,76,17,48,32,6
"E00033057",238,39,81,25,109,31,6,74,28,68,17,45,25,14
"E00033059",250,78,77,17,83,39,18,36,21,42,22,37,38,10
"E00033060",182,50,40,8,67,18,18,27,22,33,13,29,53,5
"E00033061",192,24,53,6,107,19,11,67,16,65,11,55,27,5
"E00033062",220,42,81,8,114,24,10,59,19,55,17,49,32,4
"E00033063",218,31,71,10,112,29,15,69,24,71,22,67,44,6
"E00033064",189,29,59,13,102,25,8,60,15,69,9,50,33,4
"E00033065",236,28,78,10,141,20,10,106,16,107,9,89,36,11
