"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E01006512",799,403,58,220,1,5,10,20,32,57,396,43,262,13,59,19
"E01006513",909,586,38,296,0,14,16,36,19,167,323,39,235,3,35,11
"E01006514",1115,711,92,310,1,17,17,51,79,144,404,90,195,9,86,24
"E01006515",641,344,60,194,1,6,10,16,37,20,297,158,21,21,73,24
"E01006518",835,407,102,223,1,4,6,20,41,10,428,220,9,34,124,41
"E01006519",514,338,32,240,2,13,11,29,7,4,176,164,0,2,9,1
"E01006520",1182,857,70,565,1,17,20,67,87,30,325,170,16,7,105,27
"E01006521",928,574,55,365,2,28,13,43,46,22,354,256,9,7,64,18
"E01006522",1094,815,69,528,1,18,17,65,93,24,279,76,22,26,128,27
"E01006523",830,572,58,386,1,17,21,30,47,12,258,122,14,19,87,16
"E01006524",583,402,38,274,0,24,18,31,9,8,181,132,23,5,15,6
"E01006525",486,322,38,220,0,16,9,27,6,6,164,150,4,0,9,1
"E01006526",654,449,45,304,2,14,12,38,16,18,205,160,4,5,27,9
"E01006527",638,382,49,249,1,13,10,28,21,11,256,214,1,5,26,10
"E01006528",613,457,40,303,4,16,11,34,23,26,156,95,8,10,28,15
"E01006529",559,400,43,291,0,9,9,28,12,8,159,120,8,3,18,10
"E01006530",616,341,48,241,3,11,8,24,5,1,275,254,2,4,8,7
"E01006531",674,303,35,218,2,13,7,23,4,1,371,347,2,2,14,6
"E01006532",617,397,37,228,6,61,16,40,6,3,220,203,0,4,6,7
"E01006533",614,327,50,203,0,24,13,17,18,2,287,237,4,4,30,12
"E01006534",649,402,68,244,6,15,7,31,24,7,247,155,5,17,61,9
"E01006535",656,409,62,281,0,13,8,21,21,3,247,190,3,10,33,11
"E01006536",815,478,96,294,2,9,9,28,36,4,337,233,3,17,69,15
"E01006537",964,692,108,459,1,27,14,44,36,3,272,176,9,32,37,18
"E01006538",527,334,48,235,1,4,5,27,14,0,193,166,1,6,16,4
"E01006539",601,419,55,230,3,48,20,49,10,4,182,174,2,1,4,1
"E01006540",771,439,100,187,2,4,2,22,98,24,332,144,7,49,91,41
"E01006541",803,455,79,280,1,4,8,34,44,5,348,220,2,22,92,12
"E01006542",583,348,82,194,1,9,3,21,33,5,235,96,7,24,91,17
"E01006543",509,318,47,212,0,12,6,25,11,5,191,150,0,12,22,7
"E01006544",738,386,104,195,2,3,3,16,62,1,352,185,6,41,95,25
"E01006545",646,420,96,255,0,3,5,21,36,4,226,141,5,29,39,12
"E01006546",583,384,64,231,1,2,9,23,53,1,199,96,3,28,51,21
"E01006547",718,443,89,194,3,7,10,28,101,11,275,129,10,40,71,25
"E01006548",759,433,92,218,1,4,3,24,76,15,326,156,20,37,82,31
"E01006549",949,704,72,392,2,15,27,46,104,46,245,69,39,7,112,18
"E01006550",483,360,29,144,1,5,7,18,18,138,123,56,41,6,15,5
"E01006551",751,329,39,182,2,6,8,37,47,8,422,281,3,14,100,24
"E01006552",869,567,104,230,5,16,14,52,109,37,302,85,42,56,67,52
"E01006553",642,498,55,266,1,12,5,24,16,119,144,76,33,6,20,9
"E01006554",649,501,35,253,4,18,16,41,47,87,148,64,34,0,41,9
"E01006556",1016,567,110,191,6,21,17,26,160,36,449,147,46,47,140,69
"E01006557",635,464,41,207,1,8,6,21,20,160,171,64,72,11,16,8
"E01006558",739,403,94,196,1,6,2,8,92,4,336,154,4,34,96,48
"E01006560",996,432,106,176,1,6,6,15,115,7,564,285,5,27,197,50
"E01006562",714,352,84,165,1,8,5,19,66,4,362,142,6,43,127,44
"E01006563",908,358,76,153,1,1,6,13,97,11,550,324,3,43,135,45
"E01006564",800,409,97,230,0,6,11,23,38,4,391,269,5,20,71,26
"E01006565",638,364,70,234,0,2,4,22,29,3,274,209,2,12,38,13
"E01006566",577,382,44,265,5,8,7,33,18,2,195,158,2,9,17,9
"E01006567",892,437,72,232,2,10,14,31,67,9,455,275,6,15,125,34
"E01006568",629,456,68,304,0,8,7,30,36,3,173,128,0,10,26,9
"E01006569",613,301,59,166,0,9,3,28,33,3,312,217,2,14,62,17
"E01006570",595,385,45,261,1,16,9,31,20,2,210,174,1,10,16,9
"E01006571",612,327,74,178,1,3,6,22,38,5,285,183,1,25,65,11
"E01006572",501,259,73,123,0,2,5,18,31,7,242,135,4,32,54,17
"E01006573",778,454,80,264,0,1,5,33,69,2,324,215,5,26,54,24
"E01006574",612,338,71,186,4,12,3,22,38,2,274,179,1,25,54,15
"E01006575",578,335,56,209,2,9,7,30,16,6,243,182,5,10,33,13
"E01006576",713,480,53,342,2,20,10,37,13,3,233,193,1,10,25,4
"E01006577",597,414,55,290,1,12,13,34,5,4,183,164,0,9,4,6
