"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E02001347",3204,1960,339,1250,6,49,35,147,115,19,1244,780,14,78,303,69
"E02001348",3148,2112,314,1414,10,30,43,133,144,24,1036,718,14,78,171,55
"E02001349",3422,2394,293,1622,6,47,43,185,155,43,1028,718,18,57,181,54
"E02001350",3417,1932,329,1162,8,41,31,146,192,23,1485,881,14,127,354,109
"E02001351",3515,1994,399,1156,7,29,25,101,241,36,1521,875,29,169,361,87
"E02001352",3046,1870,333,1041,1,32,48,129,252,34,1176,617,32,100,341,86
"E02001353",2959,2262,297,1540,5,92,53,180,79,16,697,485,10,51,116,35
"E02001354",3312,1951,447,1089,8,23,36,114,207,27,1361,792,22,132,325,90
"E02001355",3108,1828,335,1064,6,20,24,139,216,24,1280,761,27,108,307,77
"E02001356",2364,1319,279,694,2,20,16,71,214,23,1045,569,18,134,247,77
"E02001357",2858,1476,360,791,5,22,30,81,171,16,1382,816,22,157,290,97
"E02001358",3450,2092,420,1171,1,31,28,117,279,45,1358,680,27,161,385,105
"E02001359",2328,1517,235,935,10,76,35,124,86,16,811,588,7,34,131,51
"E02001360",4130,2206,515,1152,12,35,25,91,324,52,1924,931,34,179,605,175
"E02001361",3388,1910,374,1132,5,34,32,132,186,15,1478,929,16,116,343,74
"E02001362",3161,1790,328,1108,10,45,33,151,100,15,1371,1034,10,66,213,48
"E02001363",3481,1986,404,1109,9,26,32,121,250,35,1495,819,32,176,356,112
"E02001364",2532,1313,304,645,5,35,14,58,239,13,1219,521,25,134,397,142
"E02001365",4059,2565,510,1389,7,27,44,137,389,62,1494,737,64,204,356,133
"E02001366",4081,2565,415,1503,3,50,51,182,327,34,1516,865,46,125,378,102
"E02001367",3939,2512,360,1565,16,121,58,253,104,35,1427,1160,11,37,164,55
"E02001368",2918,1360,327,700,5,30,20,69,184,25,1558,835,22,140,429,132
"E02001369",3877,2032,372,1146,6,36,29,89,261,93,1845,948,107,96,539,155
"E02001370",3153,1439,333,650,5,15,16,67,305,48,1714,912,22,156,481,143
"E02001371",3076,1921,402,1116,10,43,42,114,170,24,1155,627,29,135,272,92
"E02001372",2728,1605,259,975,4,37,36,114,161,19,1123,760,8,60,232,63
"E02001373",4089,2568,485,1529,10,36,51,149,276,32,1521,907,41,138,342,93
"E02001374",4105,2579,419,1331,9,36,58,162,467,97,1526,582,140,104,550,150
"E02001375",3202,1893,350,1167,0,26,23,122,194,11,1309,927,16,76,218,72
"E02001376",3789,2222,443,1052,10,47,47,90,341,192,1567,698,91,169,390,219
"E02001377",4063,2089,385,905,11,26,31,92,227,412,1974,721,659,74,395,125
"E02001378",3557,2207,322,1397,11,61,41,159,177,39,1350,843,27,84,295,101
"E02001380",3117,2026,269,1371,9,68,50,170,73,16,1091,904,6,34,110,37
"E02001381",4312,2757,474,1468,15,34,61,166,325,214,1555,735,147,157,382,134
"E02001382",2782,1960,252,1358,8,71,30,162,57,22,822,719,11,24,45,23
"E02001383",4260,2489,382,1142,12,48,58,127,342,378,1771,502,614,77,449,129
"E02001384",3941,2679,351,1185,7,40,41,138,218,699,1262,564,305,72,238,83
"E02001385",3631,2042,409,738,14,62,58,132,494,135,1589,562,164,199,458,206
"E02001386",3572,1768,371,1042,8,22,37,104,159,25,1804,1197,21,115,396,75
"E02001387",3162,2201,273,1438,7,107,71,217,47,41,961,849,22,23,44,23
"E02001388",4170,2647,291,1571,9,55,54,132,88,447,1523,514,845,32,101,31
"E02001389",3740,2618,331,1472,12,51,77,191,347,137,1122,414,99,56,427,126
"E02001390",4094,2150,453,1083,16,32,29,135,336,66,1944,882,92,177,618,175
"E02001391",2481,1334,302,783,3,22,24,73,114,13,1147,705,24,90,254,74
"E02001392",2556,1487,205,923,9,101,47,158,34,10,1069,979,11,9,46,24
"E02001393",2845,1874,213,1047,25,242,90,212,31,14,971,909,8,14,22,18
"E02001394",4290,2896,269,1832,9,89,80,240,224,153,1394,833,94,53,329,85
"E02001395",2612,1718,204,1237,5,53,32,123,37,27,894,761,18,19,71,25
"E02001396",3918,2593,352,1683,6,49,48,162,214,79,1325,732,75,113,299,106
"E02001397",3848,2158,315,1356,10,100,65,170,123,19,1690,1285,24,50,268,63
"E02001398",3595,2418,254,1600,13,92,69,162,156,72,1177,781,39,53,237,67
"E02001399",2866,1814,227,1283,5,63,38,141,37,20,1052,941,5,24,53,29
"E02001400",2839,1703,286,1079,10,48,36,113,110,21,1136,789,14,61,229,43
"E02001401",3395,1997,289,1356,7,79,47,135,77,7,1398,1180,18,48,105,47
"E02001402",3762,2562,266,1723,14,132,73,209,111,34,1200,995,21,25,102,57
"E02001403",2841,1814,345,1095,3,28,27,103,198,15,1027,573,28,91,284,51
"E02001404",3155,1867,370,1155,5,23,25,87,182,20,1288,707,22,148,336,75
"E02001405",4154,2299,492,1228,13,38,39,100,369,20,1855,891,34,285,500,145
"E02006932",3201,2166,165,1284,7,39,33,99,103,436,1035,127,719,14,136,39
"E02006933",3135,2327,185,1586,9,72,40,182,107,146,808,294,273,41,147,53
"E02006934",2782,2323,104,1710,10,67,27,159,79,167,459,96,263,14,56,30
