"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E00032987",87,59,11,31,0,0,1,3,8,5,28,16,0,4,6,2
"E00032988",200,139,23,63,0,2,8,15,21,7,61,19,6,2,27,7
"E00032989",232,141,24,69,1,3,5,8,16,15,91,12,21,4,45,9
"E00032990",219,130,20,70,2,4,3,6,18,7,89,35,23,1,19,11
"E00032991",219,154,19,85,0,1,2,7,30,10,65,5,16,3,37,4
"E00032992",165,100,21,39,1,2,1,0,28,8,65,8,19,0,37,1
"E00032993",166,119,13,63,0,3,6,6,16,12,47,18,15,3,7,4
"E00032994",63,24,6,11,0,0,1,4,1,1,39,15,2,3,13,6
"E00032995",149,58,13,35,0,0,1,1,7,1,91,50,3,5,28,5
"E00032996",181,67,15,38,0,0,0,2,9,3,114,57,3,13,36,5
"E00032997",106,65,15,35,1,1,0,5,6,2,41,18,3,4,11,5
"E00032998",164,102,20,56,0,2,3,9,7,5,62,30,4,4,20,4
"E00032999",236,168,26,86,0,3,1,10,24,18,68,13,28,1,18,8
"E00033000",87,25,5,16,1,0,0,0,2,1,62,49,0,2,9,2
"E00033002",129,80,14,45,0,0,3,4,10,4,49,19,1,5,16,8
"E00033004",167,149,11,100,0,9,4,16,5,4,18,13,3,1,1,0
"E00033005",176,86,24,49,0,0,0,4,7,2,90,46,1,3,30,10
"E00033006",120,61,16,38,0,0,0,3,3,1,59,41,0,8,7,3
"E00033007",155,57,20,21,0,3,2,3,8,0,98,46,1,9,32,10
"E00033008",147,63,24,19,0,1,0,3,15,1,84,29,1,11,32,11
"E00033012",104,75,7,46,0,4,3,11,3,1,29,14,7,0,6,2
"E00033013",115,68,12,47,1,0,1,2,1,4,47,15,15,3,9,5
"E00033015",109,53,6,36,0,0,0,3,2,6,56,10,41,0,4,1
"E00033016",226,97,12,53,0,3,2,6,6,15,129,12,107,2,7,1
"E00033018",72,57,7,30,0,0,0,1,0,19,15,3,11,0,1,0
"E00033019",218,135,23,55,3,1,3,7,24,19,83,18,22,4,32,7
"E00033020",143,102,13,55,0,1,1,2,10,20,41,4,20,2,14,1
"E00033021",134,77,17,49,0,2,1,1,6,1,57,32,2,3,18,2
"E00033023",149,90,10,35,0,3,3,12,7,20,59,37,5,3,12,2
"E00033024",104,40,8,24,0,1,1,2,4,0,64,28,2,6,20,8
"E00033025",135,100,7,74,0,1,4,9,0,5,35,30,0,0,2,3
"E00033026",90,60,8,40,0,1,1,8,1,1,30,28,0,0,1,1
"E00033027",200,140,10,93,0,6,4,8,8,11,60,46,4,1,7,2
"E00033029",111,76,7,59,0,0,0,3,5,2,35,21,2,0,8,4
"E00033030",95,60,7,31,1,4,2,10,2,3,35,33,0,1,0,1
"E00033031",130,98,10,71,0,2,3,8,3,1,32,27,2,1,2,0
"E00033032",238,186,13,127,0,3,2,14,19,8,52,19,7,0,21,5
"E00033033",193,158,10,107,1,4,4,9,19,4,35,10,5,4,13,3
"E00033034",201,177,17,122,0,7,3,12,14,2,24,7,4,3,6,4
"E00033035",159,110,14,70,0,6,5,5,10,0,49,26,1,3,19,0
"E00033036",128,102,7,72,0,3,4,4,11,1,26,10,2,3,9,2
"E00033037",153,94,14,61,0,3,3,9,4,0,59,50,1,1,6,1
"E00033038",110,79,7,59,0,1,2,2,3,5,31,4,4,4,14,5
"E00033040",132,86,8,54,0,2,3,9,10,0,46,25,3,2,13,3
"E00033041",110,73,8,45,1,2,4,11,1,1,37,33,3,1,0,0
"E00033042",98,62,4,45,0,1,2,7,2,1,36,33,1,0,2,0
"E00033043",112,87,11,57,0,1,3,10,3,2,25,23,1,0,1,0
"E00033044",92,53,4,35,0,7,0,5,1,1,39,36,2,0,1,0
"E00033045",132,53,14,27,0,1,1,0,9,1,79,59,0,1,17,2
"E00033046",121,42,5,24,1,2,3,5,1,1,79,75,0,1,2,1
"E00033047",106,67,8,46,1,4,0,8,0,0,39,35,0,1,2,1
"E00033048",100,60,13,33,0,5,4,4,0,1,40,36,0,0,3,1
"E00033049",154,129,13,96,1,0,3,7,6,3,25,13,0,5,3,4
"E00033050",84,60,6,50,0,2,0,1,0,1,24,22,0,0,2,0
"E00033051",167,133,13,91,0,9,2,9,4,5,34,17,2,2,10,3
"E00033052",144,107,9,70,0,2,2,5,7,12,37,25,3,1,5,3
"E00033053",111,89,8,63,0,2,2,8,3,3,22,18,1,1,1,1
"E00033054",76,45,9,28,0,0,1,1,4,2,31,20,0,1,7,3
"E00033055",106,81,8,57,0,6,1,7,0,2,25,14,4,1,4,2
"E00033056",123,92,7,70,0,4,2,6,1,2,31,27,0,1,1,2
"E00033057",122,85,10,64,0,0,4,2,3,2,37,30,0,1,3,3
"E00033059",149,78,14,43,0,5,3,8,4,1,71,61,2,1,6,1
"E00033060",101,43,4,30,0,2,2,3,2,0,58,57,0,0,0,1
"E00033061",91,56,8,32,1,4,0,7,2,2,35,29,0,1,5,0
"E00033062",105,61,10,43,0,2,1,3,2,0,44,41,0,0,2,1
"E00033063",101,65,2,46,0,5,4,5,2,1,36,36,0,0,0,0
"E00033064",97,74,6,56,1,1,3,6,1,0,23,22,0,0,1,0
"E00033065",120,82,6,63,0,1,3,8,0,1,38,36,0,1,1,0
"E00033066",155,116,6,81,0,5,5,12,5,2,39,22,2,0,12,3
"E00033067",184,138,15,89,0,3,7,11,9,4,46,25,2,3,12,4
"E00033068",203,175,13,122,0,3,4,10,14,9,28,12,4,0,12,0
"E00033069",164,128,17,81,0,2,1,18,9,0,36,15,4,2,15,0
"E00033070",190,118,11,65,0,2,2,14,20,4,72,21,5,1,39,6
"E00033071",141,121,5,82,0,6,1,11,12,4,20,14,0,0,6,0
"E00033072",167,125,4,88,0,2,3,6,8,14,42,7,2,2,28,3
"E00033073",192,139,12,94,1,2,0,12,15,3,53,33,1,1,16,2
"E00033074",179,109,10,65,0,1,4,6,23,0,70,16,2,14,27,11
"E00033075",210,103,11,52,0,1,2,8,25,4,107,59,0,3,32,13
"E00033076",152,93,9,57,0,13,7,4,3,0,59,43,3,4,5,4
"E00033077",185,119,9,78,1,3,7,7,10,4,66,36,3,6,19,2
"E00033078",176,115,13,72,0,3,2,8,6,11,61,34,1,2,20,4
"E00033079",116,76,13,53,0,2,0,3,3,2,40,21,1,1,13,4
"E00033080",150,60,8,32,1,0,0,2,17,0,90,43,1,2,33,11
"E00033081",127,94,9,67,0,4,2,2,9,1,33,28,0,1,3,1
"E00033082",122,83,6,51,1,11,1,12,1,0,39,37,0,2,0,0
"E00033083",122,101,13,50,0,20,5,11,1,1,21,17,0,1,1,2
"E00033084",148,73,9,45,0,6,3,4,5,1,75,56,3,0,11,5
"E00033085",143,83,19,52,0,5,0,4,3,0,60,51,0,1,6,2
"E00033086",122,58,13,41,0,1,3,0,0,0,64,61,0,0,1,2
"E00033087",149,110,16,70,2,6,0,11,5,0,39,25,2,1,9,2
"E00033088",101,59,9,35,0,1,2,5,6,1,42,38,0,0,3,1
"E00033089",124,77,15,46,0,2,2,5,7,0,47,35,1,2,8,1
"E00033090",139,82,19,49,1,1,1,5,3,3,57,37,1,5,13,1
"E00033091",126,84,10,67,0,3,1,3,0,0,42,39,0,1,1,1
"E00033092",127,78,11,57,0,1,2,4,3,0,49,46,1,1,1,0
"E00033093",158,105,19,73,1,2,1,8,1,0,53,45,0,2,5,1
"E00033094",136,80,17,51,0,1,4,6,1,0,56,47,1,2,6,0
