"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E02001347",3378,3,3,241,53,4,4,32,29,65,54,9,37,288,470,225,189,63,143,34,116,189,231,224,765,147,0,1
"E02001348",3473,2,2,272,76,6,10,28,46,45,61,9,20,287,556,177,149,57,179,37,124,182,340,302,600,178,0,0
"E02001349",4057,4,5,282,69,9,18,43,41,57,45,13,28,311,613,262,172,97,258,48,149,183,422,340,696,172,1,1
"E02001350",3082,2,2,255,73,9,6,14,32,72,49,14,17,261,485,228,158,60,130,49,105,184,214,237,551,130,0,0
"E02001351",3315,3,2,253,67,4,5,26,30,60,61,13,14,263,523,233,219,62,99,48,61,228,247,234,642,171,0,0
"E02001352",2995,1,0,237,69,12,15,16,28,46,51,13,22,244,444,187,178,46,112,25,91,241,357,200,451,140,5,1
"E02001353",3971,5,5,273,49,8,5,30,40,74,67,17,28,354,533,272,193,101,195,63,180,162,371,366,684,167,2,0
"E02001354",3093,3,0,248,62,7,5,22,42,61,49,10,28,284,537,200,183,64,109,31,99,194,193,219,532,157,2,0
"E02001355",2783,0,1,171,32,10,2,11,26,49,41,8,25,235,453,221,172,71,114,39,96,153,232,185,447,159,0,1
"E02001356",1896,2,0,135,32,7,4,8,14,38,32,2,14,138,300,130,121,36,40,36,48,141,130,170,357,95,1,0
"E02001357",2460,3,1,176,54,1,6,22,24,38,31,7,20,189,432,172,177,34,57,32,73,179,127,181,478,119,3,0
"E02001358",2875,4,1,197,55,11,5,23,27,38,38,7,30,224,510,201,193,39,101,32,102,205,227,175,447,179,1,0
"E02001359",2765,6,3,219,38,10,4,22,22,66,57,10,16,242,410,154,189,61,104,45,110,121,222,264,462,126,1,0
"E02001360",2987,1,4,226,56,7,6,25,35,44,53,11,34,211,559,193,231,40,90,33,89,226,191,205,463,173,5,2
"E02001361",3144,1,4,216,45,7,8,32,26,56,42,9,28,296,521,220,174,52,140,53,109,178,230,246,504,163,0,0
"E02001362",3206,1,5,237,38,6,5,29,25,82,52,12,33,302,496,196,155,78,131,60,111,153,251,305,530,148,2,0
"E02001363",2913,0,0,216,38,8,6,27,41,39,57,12,15,238,457,202,168,61,95,45,94,171,162,255,578,143,1,0
"E02001364",1769,0,0,120,31,10,2,10,22,20,25,7,16,116,318,105,181,34,51,27,36,135,115,128,283,97,0,0
"E02001365",3544,6,1,211,43,7,3,15,38,53,52,7,25,246,556,246,275,77,129,39,129,225,251,284,642,195,0,0
"E02001366",3844,4,3,249,41,4,11,31,37,86,39,12,25,305,607,237,251,95,150,54,153,181,307,376,647,188,0,0
"E02001367",4487,3,1,268,39,1,14,30,45,82,57,13,20,435,615,207,185,123,224,107,223,165,395,530,763,209,1,0
"E02001368",1889,2,1,122,14,7,3,17,6,43,32,4,10,151,268,143,146,38,59,37,64,168,127,167,269,112,0,1
