"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E00032987",99,0,1,4,1,0,0,0,0,2,1,0,1,3,16,3,19,4,0,2,4,4,4,7,14,13,0,0
"E00032988",158,0,0,10,0,4,0,1,0,3,2,0,0,3,21,1,17,8,1,2,18,6,7,20,28,16,0,0
"E00032989",154,0,1,4,2,0,0,0,0,0,2,0,2,2,26,3,13,9,3,7,6,8,9,22,28,11,0,0
"E00032990",160,0,0,6,0,0,0,0,3,1,2,0,0,7,22,3,14,11,5,6,18,5,7,19,27,10,0,0
"E00032991",167,0,0,6,1,0,0,1,1,1,2,0,1,3,19,3,10,12,6,4,13,13,8,21,37,11,0,0
"E00032992",92,0,0,2,0,0,0,0,1,0,1,0,5,2,13,9,7,1,6,5,6,1,3,13,16,3,0,0
"E00032993",149,0,0,5,0,0,0,3,0,1,1,0,1,6,18,3,15,11,6,2,13,7,6,22,22,12,0,0
"E00032994",30,0,0,1,0,0,0,0,0,0,1,0,0,3,4,3,5,1,1,0,1,0,1,1,5,4,0,0
"E00032995",76,0,0,4,0,0,0,0,2,0,2,1,0,1,9,2,7,1,2,5,3,2,6,11,18,4,0,0
"E00032996",111,0,0,5,2,0,0,1,0,2,0,0,4,7,21,14,4,2,4,1,1,5,8,9,18,8,0,0
"E00032997",90,0,0,4,1,0,0,0,0,3,0,0,0,2,18,4,12,4,2,1,6,7,6,6,12,6,0,0
"E00032998",157,0,0,14,1,2,0,0,0,9,2,1,0,10,18,4,28,5,6,3,10,4,12,7,21,14,0,0
"E00032999",191,1,0,3,0,0,0,0,2,0,1,0,0,1,30,3,27,7,7,3,9,8,7,33,23,29,0,0
"E00033000",39,0,0,1,1,0,0,0,0,0,0,0,0,0,6,3,4,0,1,1,2,3,1,1,10,6,0,0
"E00033002",97,0,1,6,0,0,0,0,0,3,3,0,1,6,6,3,12,3,2,2,3,5,9,16,18,4,0,0
"E00033004",185,0,0,13,0,1,1,1,0,2,8,0,0,19,21,7,8,2,15,4,16,8,15,15,27,13,2,0
