"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E00032987",99,8,5,0,0,2,0,0,0,1,2,3,0,1,1,1,17,4,1,1,2,0,0,4,2,0,2,3,3,6,0,2,1,1,0,0,2,9,0,0,0,0,2,0,2,0,0,3,3,0,0,4,0,2,1,1,0,0,8,5,2,0,0,3,0,3,3,10,0,0,3,0,1,0,2,0,2,2,0,0,5,0,0,4,1,12,6,3,0,3,6,2,2,0,2,14,11,11,0,0,3,3,0,7,5,2,2,1,0,2,1,1,0,14,0,0,0,0,14,1,3,0,0,3,7
"E00032988",158,19,8,0,3,2,0,0,0,0,3,11,0,6,0,5,42,7,6,0,1,0,0,14,7,2,5,12,12,9,1,1,1,4,2,0,0,29,5,3,0,2,5,2,3,0,0,11,11,0,0,8,1,1,2,3,0,1,13,10,3,2,1,4,0,3,3,9,2,2,4,0,2,1,1,0,1,1,0,0,2,0,0,2,0,10,9,2,0,7,1,0,1,0,0,17,14,13,0,1,3,1,2,5,3,0,1,2,0,2,1,1,0,14,0,0,0,0,14,0,3,3,0,3,5
"E00032989",154,16,13,0,2,0,2,0,1,3,5,3,0,2,0,1,29,7,3,0,3,1,0,6,4,0,2,8,8,8,1,3,1,1,1,0,1,32,5,1,0,4,7,3,4,2,2,14,10,3,1,4,0,0,1,2,0,1,10,8,4,1,0,3,0,2,2,4,1,1,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,22,19,7,2,10,3,1,2,0,0,17,14,13,0,1,3,3,0,4,3,1,0,1,1,1,1,0,0,20,2,0,1,1,18,0,0,4,0,2,12
"E00032990",160,19,12,0,4,1,1,0,0,1,5,7,0,3,0,4,57,13,9,1,3,0,0,19,14,2,3,9,9,16,1,4,1,2,1,0,7,25,4,1,1,2,4,0,4,0,0,8,6,1,1,9,0,0,2,5,0,2,10,9,3,3,1,2,0,1,1,7,0,0,1,0,0,0,1,0,1,1,0,0,5,0,0,5,0,6,3,2,1,0,3,2,1,0,0,15,10,9,0,1,5,4,1,3,0,0,0,0,0,3,3,0,0,18,1,0,1,0,17,1,2,0,1,1,12
"E00032991",167,12,10,0,1,2,1,0,0,0,6,2,0,1,0,1,47,7,3,0,4,0,0,18,14,0,4,9,9,13,1,2,3,1,2,0,4,28,3,2,1,0,4,1,3,1,1,11,8,1,2,9,0,1,1,4,0,3,15,14,2,3,7,2,0,1,1,10,0,0,5,1,1,0,3,0,0,0,0,0,5,0,0,5,0,22,18,2,1,15,4,1,1,2,0,12,5,5,0,0,7,5,2,2,1,1,0,0,0,1,1,0,0,19,1,0,0,1,18,0,6,3,0,2,7
"E00032992",92,3,1,0,0,1,0,0,0,0,0,2,0,1,0,1,16,3,2,0,1,0,0,2,0,0,2,6,6,5,0,1,1,2,1,0,0,21,8,0,1,7,1,0,1,1,1,1,1,0,0,10,0,0,5,2,0,3,9,6,1,1,1,3,0,3,3,10,0,0,6,0,0,5,1,0,1,1,0,0,3,0,0,3,0,10,6,1,0,5,4,3,1,0,0,8,7,7,0,0,1,1,0,5,3,0,2,0,1,2,2,0,0,10,4,0,0,4,6,0,2,0,0,1,3
"E00032993",149,9,2,0,0,1,1,0,0,0,0,7,0,3,1,3,34,9,3,1,5,0,0,13,8,2,3,8,8,4,0,1,0,1,0,1,1,30,2,2,0,0,5,0,5,0,0,17,14,2,1,6,0,1,1,1,0,3,20,18,3,5,5,4,1,2,2,13,0,0,4,0,1,0,3,0,2,2,0,0,7,0,0,7,0,9,4,0,0,4,5,0,3,1,1,14,11,11,0,0,3,3,0,7,3,0,1,2,0,4,2,0,2,13,1,0,0,1,12,0,2,2,0,0,8
"E00032994",30,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,2,0,4,2,0,0,2,2,1,0,1,0,2,2,2,0,0,0,0,0,3,1,0,1,0,0,2,2,0,0,7,0,0,0,0,7,1,4,0,0,0,2
"E00032995",76,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,8,4,2,2,0,0,0,1,0,0,1,2,2,1,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,1,4,0,1,16,15,6,3,5,1,0,1,1,6,0,0,4,0,1,1,2,0,1,1,0,0,1,0,0,1,0,16,14,2,0,12,2,0,2,0,0,4,3,1,0,2,1,1,0,3,1,0,1,0,0,2,2,0,0,14,1,0,0,1,13,2,8,2,0,0,1
"E00032996",111,3,3,0,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,6,2,0,0,2,1,0,1,1,1,0,0,0,0,2,0,0,2,0,0,0,12,11,3,5,2,1,0,1,1,10,0,0,4,0,1,1,2,0,5,2,3,0,1,0,0,1,0,23,16,4,0,12,7,1,3,1,2,19,14,12,0,2,5,5,0,14,4,2,1,1,0,10,8,0,2,19,3,0,2,1,16,0,4,4,0,2,6
"E00032997",90,3,1,0,0,0,0,1,0,0,0,2,0,2,0,0,10,2,2,0,0,0,0,2,1,0,1,4,4,2,1,0,0,1,0,0,0,15,2,0,0,2,3,2,1,1,1,2,2,0,0,7,0,0,0,5,0,2,6,6,0,3,1,1,1,0,0,7,0,0,2,0,0,2,0,0,2,1,1,0,3,0,0,3,0,14,13,1,0,12,1,0,1,0,0,11,11,11,0,0,0,0,0,7,5,1,2,2,0,2,2,0,0,17,1,0,0,1,16,2,6,0,2,1,5
"E00032998",157,16,8,0,2,1,0,0,1,2,2,8,0,4,1,3,27,6,1,2,2,0,1,7,6,0,1,6,6,8,4,3,0,1,0,0,0,23,4,2,0,2,2,0,2,3,3,8,6,0,2,6,0,0,1,4,0,1,21,16,3,6,1,6,0,5,5,17,0,0,4,0,1,1,2,0,4,2,2,0,9,0,0,9,0,11,6,2,0,4,5,0,2,1,2,10,9,7,1,1,1,1,0,15,10,4,4,0,2,5,5,0,0,17,0,0,0,0,17,0,4,1,0,2,10
"E00032999",191,10,4,0,0,1,0,0,0,2,1,6,0,3,0,3,42,6,2,2,2,0,0,7,4,1,2,17,17,12,1,4,1,2,1,1,2,43,5,2,0,3,2,1,1,1,1,18,15,2,1,17,0,0,8,5,0,4,20,16,5,2,6,3,0,4,4,7,0,0,2,0,0,0,2,0,2,1,1,0,3,0,0,3,0,15,12,4,2,6,3,3,0,0,0,21,19,17,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,33,2,1,0,1,31,1,5,4,0,0,21
"E00033000",39,6,3,0,0,0,0,0,0,1,2,3,0,1,0,2,4,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,4,1,0,3,2,1,0,1,0,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,12,1,0,0,1,11,3,4,1,0,1,2
"E00033002",97,3,1,0,0,0,0,0,0,0,1,2,0,0,0,2,24,3,1,1,1,0,0,8,3,0,5,6,6,7,0,2,1,4,0,0,0,12,2,0,1,1,2,0,2,2,2,1,1,0,0,5,0,0,1,3,0,1,9,9,3,5,1,0,0,0,0,14,0,0,1,0,0,1,0,0,6,5,1,0,7,0,2,5,0,14,9,1,0,8,5,4,0,1,0,3,2,2,0,0,1,1,0,4,2,0,1,0,1,2,1,0,1,14,0,0,0,0,14,1,4,0,0,1,8
"E00033004",185,39,22,1,9,5,0,2,0,2,3,17,0,4,2,11,54,11,1,7,2,1,0,18,15,1,2,10,10,15,7,3,4,0,1,0,0,23,2,0,1,1,1,0,1,4,4,3,0,2,1,13,1,0,4,3,1,4,21,18,6,5,4,2,1,3,3,16,0,0,7,0,2,1,3,1,5,3,1,1,4,0,1,3,0,7,3,0,0,3,4,3,0,0,1,10,7,5,2,0,3,2,1,9,4,0,3,1,0,5,1,0,4,6,0,0,0,0,6,1,1,1,0,2,1
"E00033005",116,10,6,0,1,1,1,0,0,0,3,4,0,2,0,2,7,2,1,0,1,0,0,2,0,1,1,2,2,1,0,1,0,0,0,0,0,12,1,0,0,1,1,0,1,3,3,2,2,0,0,5,0,0,1,0,0,4,9,6,1,2,3,0,0,3,3,13,0,0,5,3,0,1,1,0,3,1,1,1,5,0,0,5,0,19,14,1,0,13,5,1,0,2,2,14,11,9,0,2,3,3,0,14,5,4,0,1,0,9,6,1,2,18,2,0,0,2,16,1,4,1,0,1,9
"E00033006",105,4,3,0,2,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,1,0,0,0,12,1,0,0,1,0,0,0,2,2,2,1,0,1,7,0,1,1,3,0,2,12,11,1,3,3,3,1,1,1,7,0,0,3,0,0,1,2,0,1,1,0,0,3,0,1,1,1,24,21,8,1,12,3,0,2,0,1,9,6,5,0,1,3,3,0,8,4,1,2,0,1,4,2,2,0,24,3,0,1,2,21,1,10,5,0,2,3
"E00033007",78,7,1,0,0,0,0,0,0,1,0,6,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,5,1,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,1,0,2,0,0,0,0,19,0,0,2,0,1,0,1,0,13,10,3,0,4,0,1,3,0,17,12,2,0,10,5,2,2,1,0,11,9,8,1,0,2,2,0,2,2,1,0,1,0,0,0,0,0,11,0,0,0,0,11,1,6,1,0,1,2
"E00033008",77,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,4,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6,4,0,2,1,1,0,2,2,12,0,0,2,1,1,0,0,0,2,1,1,0,8,0,0,7,1,18,13,4,0,9,5,1,2,1,1,5,5,5,0,0,0,0,0,6,1,0,1,0,0,5,4,1,0,21,2,0,1,1,19,0,6,1,0,0,12
"E00033012",92,23,15,0,1,5,0,1,0,2,6,8,1,3,1,3,31,14,3,5,5,0,1,4,4,0,0,6,6,7,3,2,1,0,0,0,1,13,0,0,0,0,0,0,0,0,0,3,1,1,1,10,2,0,3,2,0,3,12,8,2,2,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,2,2,1,1,0,0,4,3,3,0,0,1,1,0,3,1,0,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"E00033013",87,4,2,0,2,0,0,0,0,0,0,2,0,2,0,0,37,3,2,0,1,0,0,11,8,0,3,15,15,8,0,5,0,3,0,0,0,5,1,1,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,5,5,2,0,0,3,0,0,0,8,1,1,1,0,0,0,1,0,3,2,1,0,3,0,0,3,0,6,5,0,0,5,1,0,0,0,1,8,5,5,0,0,3,3,0,2,1,1,0,0,0,1,0,1,0,12,0,0,0,0,12,0,4,2,0,0,6
