"GeographyCode","QS609EW0001","QS609EW0002","QS609EW0003","QS609EW0004","QS609EW0005","QS609EW0006","QS609EW0007","QS609EW0008","QS609EW0009","QS609EW0010","QS609EW0011","QS609EW0012","QS609EW0013","QS609EW0014","QS609EW0015","QS609EW0016","QS609EW0017","QS609EW0018","QS609EW0019","QS609EW0020","QS609EW0021","QS609EW0022","QS609EW0023","QS609EW0024","QS609EW0025","QS609EW0026","QS609EW0027","QS609EW0028","QS609EW0029","QS609EW0030","QS609EW0031","QS609EW0032","QS609EW0033","QS609EW0034","QS609EW0035","QS609EW0036","QS609EW0037","QS609EW0038","QS609EW0039","QS609EW0040","QS609EW0041","QS609EW0042","QS609EW0043","QS609EW0044","QS609EW0045","QS609EW0046","QS609EW0047","QS609EW0048","QS609EW0049","QS609EW0050","QS609EW0051","QS609EW0052","QS609EW0053","QS609EW0054","QS609EW0055"
"E02001347",7628,467,139,0,139,328,185,109,29,5,1469,911,808,57,40,6,388,170,911,514,239,111,47,742,180,180,0,562,561,1,764,420,344,310,34,1375,247,597,128,290,4,70,39,1302,136,120,463,576,7,512,363,149,86,83,3
"E02001348",7222,495,140,0,140,355,175,155,21,4,1528,854,723,81,44,6,366,308,1218,753,280,149,36,648,132,132,0,516,516,0,677,357,320,262,58,1328,304,478,156,270,2,89,29,891,109,102,345,328,7,353,211,142,84,84,0
"E02001349",7943,561,148,0,148,413,185,204,20,4,1677,1024,820,120,79,5,408,245,1318,830,330,112,46,768,159,155,4,609,607,2,764,378,386,358,28,1243,254,521,136,229,2,82,19,1116,97,117,492,410,0,377,213,164,119,119,0
"E02001350",7714,467,101,0,101,366,218,97,38,13,1081,648,561,55,25,7,275,158,989,538,298,110,43,695,158,158,0,537,537,0,620,302,318,287,31,1519,305,611,154,350,0,69,30,1509,127,211,445,715,11,759,511,248,75,75,0
"E02001351",8141,321,100,0,100,221,116,85,14,6,1131,735,643,57,30,5,245,151,969,481,330,122,36,569,148,148,0,421,421,0,746,434,312,271,41,1724,380,709,143,325,6,117,44,1685,172,221,525,764,3,835,525,310,161,160,1
"E02001352",6620,274,60,0,60,214,125,75,14,0,1038,638,533,52,44,9,239,161,899,524,250,83,42,589,119,116,3,470,468,2,527,287,240,197,43,1229,239,491,150,254,4,67,24,1299,140,128,428,596,7,651,399,252,114,114,0
"E02001353",7526,848,232,0,232,616,327,237,50,2,1873,1114,951,87,56,20,497,262,1103,585,325,103,90,975,293,293,0,682,678,4,667,309,358,293,65,983,278,354,68,189,6,65,23,770,85,52,364,267,2,245,154,91,62,62,0
"E02001354",7611,306,90,0,90,216,113,86,14,3,1076,614,515,66,33,0,327,135,958,567,230,116,45,625,109,109,0,516,514,2,710,389,321,289,32,1504,379,579,141,259,4,93,49,1563,133,172,534,721,3,763,494,269,106,106,0
"E02001355",6660,221,93,0,93,128,68,54,6,0,975,574,514,35,21,4,231,170,972,612,245,69,46,594,98,94,4,496,490,6,614,334,280,235,45,1297,310,553,119,245,1,53,16,1222,151,105,393,564,9,662,419,243,103,103,0
"E02001356",5584,175,63,0,63,112,65,43,2,2,690,376,322,35,11,8,190,124,633,341,167,96,29,444,115,115,0,329,328,1,480,301,179,161,18,1125,280,475,77,196,0,67,30,1205,167,158,311,567,2,731,434,297,101,101,0
