"GeographyCode","QS609EW0001","QS609EW0002","QS609EW0003","QS609EW0004","QS609EW0005","QS609EW0006","QS609EW0007","QS609EW0008","QS609EW0009","QS609EW0010","QS609EW0011","QS609EW0012","QS609EW0013","QS609EW0014","QS609EW0015","QS609EW0016","QS609EW0017","QS609EW0018","QS609EW0019","QS609EW0020","QS609EW0021","QS609EW0022","QS609EW0023","QS609EW0024","QS609EW0025","QS609EW0026","QS609EW0027","QS609EW0028","QS609EW0029","QS609EW0030","QS609EW0031","QS609EW0032","QS609EW0033","QS609EW0034","QS609EW0035","QS609EW0036","QS609EW0037","QS609EW0038","QS609EW0039","QS609EW0040","QS609EW0041","QS609EW0042","QS609EW0043","QS609EW0044","QS609EW0045","QS609EW0046","QS609EW0047","QS609EW0048","QS609EW0049","QS609EW0050","QS609EW0051","QS609EW0052","QS609EW0053","QS609EW0054","QS609EW0055"
"E00032987",198,23,4,0,4,19,5,8,6,0,34,24,22,0,2,0,4,6,9,3,4,2,0,8,0,0,0,8,8,0,16,8,8,8,0,26,11,6,0,5,0,3,1,28,9,2,0,17,0,40,35,5,14,14,0
"E00032988",298,40,9,0,9,31,25,3,2,1,88,62,40,5,17,0,18,8,19,12,1,5,1,27,5,5,0,22,22,0,19,12,7,5,2,19,4,9,3,1,0,1,1,19,9,0,0,10,0,34,24,10,33,33,0
"E00032989",333,38,5,0,5,33,25,1,6,1,71,42,26,8,8,0,15,14,31,20,9,2,0,23,12,12,0,11,9,2,12,8,4,4,0,46,11,29,1,1,0,0,4,18,2,2,3,11,0,46,37,9,48,48,0
"E00032990",326,48,4,0,4,44,31,13,0,0,73,46,32,4,8,2,23,4,26,15,7,4,0,18,11,11,0,7,6,1,14,10,4,4,0,39,6,20,1,11,0,1,0,24,6,0,6,12,0,39,26,13,45,45,0
"E00032991",320,40,5,0,5,35,25,5,3,2,71,58,47,3,7,1,9,4,28,22,3,2,1,7,0,0,0,7,7,0,8,4,4,4,0,48,11,30,1,3,0,0,3,24,5,0,7,12,0,62,24,38,32,32,0
"E00032992",240,12,0,0,0,12,11,1,0,0,50,41,29,10,2,0,8,1,20,12,3,5,0,8,7,7,0,1,1,0,17,3,14,14,0,29,4,16,1,6,0,1,1,15,1,0,2,12,0,46,23,23,43,43,0
"E00032993",282,28,0,0,0,28,20,7,1,0,57,49,32,3,14,0,5,3,23,14,4,3,2,17,7,7,0,10,10,0,22,7,15,13,2,44,21,20,0,0,0,3,0,24,6,2,7,9,0,25,14,11,42,42,0
"E00032994",111,4,0,0,0,4,1,2,0,1,8,4,2,0,2,0,4,0,13,9,2,2,0,6,0,0,0,6,6,0,8,8,0,0,0,25,0,22,0,3,0,0,0,26,0,6,2,18,0,14,13,1,7,7,0
"E00032995",268,13,4,0,4,9,6,3,0,0,36,20,20,0,0,0,8,8,30,22,7,0,1,7,0,0,0,7,7,0,13,7,6,6,0,59,8,33,7,5,0,3,3,68,1,9,18,40,0,36,29,7,6,6,0
"E00032996",417,17,7,0,7,10,4,6,0,0,24,16,12,0,4,0,4,4,41,14,25,2,0,15,2,2,0,13,13,0,55,37,18,14,4,94,23,48,7,10,0,0,6,82,13,8,18,43,0,82,70,12,7,7,0
