"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E00032987",157,99,58,2,7,1,1,0,3,5,11,28
"E00032988",314,158,156,3,17,10,13,12,6,27,37,31
"E00032989",294,154,140,9,14,13,5,2,1,16,32,48
"E00032990",289,160,129,3,25,11,8,3,3,15,24,37
"E00032991",300,167,133,5,27,12,12,3,2,16,21,35
"E00032992",219,92,127,1,22,14,6,5,7,8,22,42
"E00032993",245,149,96,2,21,11,7,3,2,4,14,32
"E00032994",76,30,46,0,5,0,1,3,1,5,16,15
"E00032995",190,76,114,3,10,3,2,3,1,14,40,38
"E00032996",284,111,173,2,14,5,5,7,3,16,62,59
"E00032997",157,90,67,0,6,8,3,2,0,7,15,26
"E00032998",262,157,105,1,10,3,6,4,3,8,32,38
"E00032999",329,191,138,8,39,11,5,7,3,7,12,46
"E00033000",103,39,64,2,7,1,0,0,1,3,23,27
"E00033002",187,97,90,2,19,8,6,2,3,6,20,24
"E00033004",234,185,49,5,8,8,4,4,0,3,9,8
"E00033005",268,116,152,1,9,5,4,1,5,12,61,54
"E00033006",199,105,94,0,9,3,5,1,3,9,34,30
"E00033007",228,78,150,3,5,4,4,1,4,16,55,58
"E00033008",240,77,163,4,4,8,8,4,2,8,49,76
"E00033012",138,92,46,1,2,1,3,2,6,6,15,10
"E00033013",168,87,81,4,14,13,4,2,3,4,14,23
"E00033015",184,69,115,5,17,9,4,0,0,5,6,69
"E00033016",496,128,368,7,32,20,12,7,8,3,4,275
"E00033018",263,124,139,22,63,18,7,2,0,2,0,25
"E00033019",316,137,179,8,35,13,7,8,1,17,21,69
"E00033020",225,128,97,12,26,12,7,2,1,8,8,21
"E00033021",198,110,88,2,12,3,6,2,0,7,29,27
"E00033023",391,178,213,36,71,20,14,4,5,11,27,25
"E00033024",142,55,87,2,5,7,1,2,1,3,31,35
"E00033025",211,163,48,2,10,5,2,2,1,7,14,5
"E00033026",155,106,49,2,5,1,2,3,2,13,14,7
"E00033027",302,207,95,2,21,12,7,2,2,10,23,16
"E00033029",194,141,53,5,6,3,1,1,1,12,19,5
"E00033030",261,124,137,16,37,9,3,2,6,14,19,31
"E00033031",250,174,76,6,15,2,5,4,1,7,18,18
"E00033032",321,227,94,6,23,9,5,1,6,7,20,17
"E00033033",266,198,68,1,15,8,6,3,1,8,13,13
"E00033034",296,235,61,5,11,7,7,1,2,6,9,13
"E00033035",277,178,99,4,16,8,8,4,3,9,27,20
"E00033036",169,125,44,1,7,5,1,3,0,12,9,6
"E00033037",209,130,79,5,6,10,5,4,2,13,23,11
"E00033038",149,103,46,0,5,2,5,2,3,3,14,12
