"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E00032987",157,0,0,9,16,0,0,18,4,5,46,1,58
"E00032988",314,7,0,8,10,2,1,44,4,5,75,2,156
"E00032989",294,3,3,14,20,3,1,36,2,9,62,1,140
"E00032990",289,6,1,14,16,5,1,58,1,3,54,1,129
"E00032991",300,4,2,16,24,0,1,47,2,4,65,2,133
"E00032992",219,2,0,9,16,4,0,14,3,11,33,0,127
"E00032993",245,2,0,15,20,1,1,44,4,4,58,0,96
"E00032994",76,0,0,2,5,2,0,7,1,0,13,0,46
"E00032995",190,2,0,5,22,1,0,29,3,0,12,2,114
"E00032996",284,0,0,8,21,7,0,37,13,1,23,1,173
"E00032997",157,5,1,3,22,1,1,34,2,1,19,1,67
"E00032998",262,5,5,10,22,4,0,64,14,2,29,2,105
"E00032999",329,9,1,30,24,2,0,28,8,5,84,0,138
"E00033000",103,1,0,2,5,0,0,11,1,1,17,1,64
"E00033002",187,2,0,3,27,1,0,39,0,3,21,1,90
"E00033004",234,9,0,10,16,1,0,107,4,5,31,2,49
"E00033005",268,0,0,3,35,4,1,36,7,2,28,0,152
"E00033006",199,2,1,3,30,2,0,31,6,4,25,1,94
"E00033007",228,2,0,3,16,0,0,26,14,1,12,4,150
"E00033008",240,0,0,5,21,4,0,25,3,0,19,0,163
"E00033012",138,8,1,4,5,1,0,46,5,0,19,3,46
"E00033013",168,0,0,3,3,2,0,34,0,2,41,2,81
"E00033015",184,1,0,5,6,1,0,19,2,3,32,0,115
"E00033016",496,3,1,3,9,2,0,47,2,4,57,0,368
"E00033018",263,2,0,5,6,1,0,18,9,2,81,0,139
"E00033019",316,7,0,14,22,2,0,35,7,6,44,0,179
"E00033020",225,6,2,8,14,0,0,30,1,2,63,2,97
"E00033021",198,1,3,11,18,0,1,29,1,1,45,0,88
"E00033023",391,13,0,11,13,4,0,36,7,6,88,0,213
"E00033024",142,2,0,2,5,0,1,11,5,1,26,2,87
"E00033025",211,5,0,11,27,3,0,99,5,3,10,0,48
"E00033026",155,7,1,5,14,1,1,65,3,1,8,0,49
"E00033027",302,11,3,6,30,0,2,125,5,6,15,4,95
"E00033029",194,2,1,8,29,2,1,77,2,6,13,0,53
"E00033030",261,9,1,7,12,0,0,75,9,3,7,1,137
"E00033031",250,4,1,9,28,1,0,104,14,3,10,0,76
"E00033032",321,6,2,11,40,2,2,114,8,20,21,1,94
"E00033033",266,8,6,23,30,2,0,85,10,12,20,2,68
"E00033034",296,14,3,28,27,1,1,117,10,14,16,4,61
"E00033035",277,6,3,11,23,1,0,88,14,10,21,1,99
"E00033036",169,3,2,15,18,2,1,70,1,4,8,1,44
"E00033037",209,4,1,13,7,2,0,84,5,2,12,0,79
"E00033038",149,2,4,4,20,0,0,59,4,4,6,0,46
"E00033040",216,10,3,9,28,0,1,57,5,5,6,0,92
"E00033041",181,11,1,9,14,1,0,75,5,1,15,2,47
"E00033042",190,8,0,7,17,1,1,72,7,7,5,0,65
"E00033043",197,7,1,21,13,0,0,83,8,3,13,0,48
"E00033044",180,10,0,15,5,0,0,69,8,2,8,0,63
"E00033045",159,0,0,3,20,0,0,25,4,2,10,0,95
"E00033046",103,4,0,2,10,1,0,26,0,1,1,3,55
"E00033047",224,10,1,6,14,0,1,95,6,3,7,1,80
"E00033048",195,8,1,7,11,1,1,76,5,1,6,2,76
"E00033049",288,5,2,11,43,2,0,127,10,5,13,0,70
"E00033050",180,9,1,13,4,0,0,86,6,2,5,2,52
"E00033051",272,7,0,10,38,1,1,119,6,7,10,0,73
"E00033052",323,1,5,9,55,1,1,100,8,15,11,0,117
"E00033053",219,7,1,9,23,7,0,88,8,5,14,0,57
"E00033054",118,1,0,3,12,1,0,38,1,1,8,1,52
"E00033055",190,9,1,10,23,0,0,69,5,6,8,2,57
"E00033056",206,3,1,15,26,1,2,101,4,4,8,1,40
"E00033057",218,2,0,7,26,2,1,90,10,8,9,0,63
"E00033059",196,7,0,6,14,0,1,78,4,3,9,0,74
"E00033060",140,9,0,6,6,1,1,43,2,1,5,2,64
"E00033061",169,5,3,10,11,0,0,70,2,1,8,0,59
"E00033062",191,5,2,17,10,0,0,66,7,2,6,1,75
"E00033063",203,8,2,19,4,0,0,72,2,6,14,5,71
"E00033064",173,7,2,15,8,3,3,73,7,4,8,0,43
"E00033065",213,8,8,32,6,1,2,80,5,6,5,2,58
"E00033066",214,4,2,20,24,1,0,78,12,8,13,1,51
"E00033067",242,8,3,13,27,2,1,81,8,17,13,3,66
"E00033068",305,2,4,17,29,0,0,124,15,17,24,1,72
"E00033069",222,7,0,15,33,1,0,77,6,8,14,3,58
"E00033070",248,9,0,6,20,0,1,65,9,10,11,0,117
"E00033071",235,12,0,19,17,0,0,102,7,5,10,1,62
"E00033072",285,8,5,10,29,2,0,92,4,7,14,2,112
"E00033073",225,1,4,16,32,0,0,87,4,5,11,2,63
"E00033074",247,3,2,13,23,3,0,53,4,7,16,2,121
"E00033075",216,2,8,12,19,1,0,34,1,7,4,0,128
"E00033076",242,9,1,16,7,1,0,84,8,4,5,6,101
"E00033077",246,3,3,19,25,0,3,90,3,7,7,1,85
"E00033078",234,9,0,6,26,0,0,74,6,4,5,0,104
"E00033079",185,4,2,11,26,0,0,63,4,3,8,0,64
"E00033080",148,0,1,0,13,0,0,34,1,1,0,0,98
"E00033081",179,3,1,8,28,0,2,71,3,3,7,1,52
"E00033082",234,9,3,6,4,2,0,109,7,3,4,2,85
"E00033083",272,12,1,2,4,0,3,144,7,1,3,5,90
"E00033084",222,2,1,13,9,1,0,72,9,2,9,2,102
"E00033085",242,4,1,11,12,0,0,84,11,2,14,2,101
"E00033086",173,2,1,7,12,0,0,68,4,0,4,2,73
"E00033087",297,11,0,14,14,2,0,117,21,0,8,3,107
"E00033088",182,2,2,7,16,1,1,62,4,2,10,0,75
"E00033089",223,2,0,14,23,1,0,76,7,3,5,0,92
"E00033090",287,2,1,15,33,3,1,97,13,2,7,4,109
"E00033091",248,3,6,21,10,1,1,103,9,5,6,2,81
"E00033092",223,3,1,14,11,1,1,98,9,3,9,2,71
"E00033093",279,4,0,21,14,3,0,110,13,4,19,5,86
"E00033094",247,3,0,13,14,1,1,76,6,7,19,2,105
"E00033095",349,19,1,7,30,1,3,135,10,4,23,1,115
"E00033096",174,5,1,4,7,1,0,83,5,1,2,0,65
"E00033097",198,1,1,7,24,4,3,51,4,3,10,1,89
"E00033098",203,2,0,15,10,1,1,70,11,3,2,1,87
"E00033099",90,2,0,1,1,0,0,36,2,1,4,0,43
"E00033100",216,6,1,6,33,1,1,58,6,3,5,1,95
"E00033101",153,5,0,4,8,0,0,63,5,4,6,0,58
"E00033102",336,2,6,29,26,3,0,127,10,1,16,2,114
"E00033103",228,3,1,17,16,1,0,45,8,1,10,1,125
"E00033104",195,3,1,6,23,0,1,48,7,1,11,0,94
"E00033105",219,7,4,10,1,0,1,87,11,2,9,2,85
"E00033106",213,3,0,17,21,1,1,54,5,4,13,0,94
"E00033107",275,7,0,17,13,4,1,123,18,3,11,5,73
"E00033108",230,0,0,19,19,2,1,85,6,4,14,2,78
"E00033109",240,5,1,25,4,1,0,87,7,6,10,0,94
"E00033110",261,4,1,21,17,0,0,80,6,7,17,2,106
"E00033112",236,14,1,0,11,0,0,123,3,7,4,0,73
"E00033113",194,6,0,2,6,0,0,105,2,1,6,0,66
"E00033114",236,8,0,6,10,1,0,100,10,1,6,3,91
"E00033115",102,7,0,1,5,0,0,45,3,0,1,0,40
"E00033116",100,1,0,1,5,0,0,29,2,1,1,0,60
"E00033117",271,12,0,10,10,0,0,117,9,2,2,0,109
"E00033118",251,0,0,10,19,1,0,109,7,3,14,1,87
"E00033119",181,8,3,2,7,0,0,88,7,6,5,1,54
"E00033120",218,4,0,10,9,0,0,102,11,5,13,0,64
"E00033121",140,3,0,3,5,1,0,50,2,1,2,2,71
"E00033122",190,4,1,12,11,1,0,74,7,3,2,0,75
