"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E02001347",7653,7187,0,9,9,19,23,17,46,130,140,53,20
"E02001348",7222,6975,0,12,27,27,15,12,18,47,55,17,17
"E02001349",7966,7674,1,7,33,29,19,22,61,36,33,38,13
"E02001350",7856,7350,3,12,10,17,26,17,61,83,135,84,58
"E02001351",8894,8435,0,7,7,13,21,22,70,64,137,85,33
"E02001352",7416,6954,0,6,7,22,24,24,59,61,94,108,57
"E02001353",7572,7205,0,4,12,30,38,41,69,65,51,29,28
"E02001354",7613,7366,4,8,6,10,18,20,32,42,39,59,9
"E02001355",6664,6432,2,5,14,15,16,18,28,28,40,49,17
"E02001356",5584,5269,1,2,2,9,6,12,46,41,93,87,16
"E02001357",6982,6766,1,3,9,9,12,16,18,30,53,50,15
"E02001358",7069,6802,0,3,21,13,15,27,37,28,53,55,15
"E02001359",5751,5416,2,8,22,40,49,31,55,21,60,27,20
"E02001360",8358,7815,0,8,12,15,20,10,67,88,141,140,42
"E02001361",7618,7428,0,5,10,15,14,5,22,24,38,48,9
"E02001362",7401,7232,2,6,18,14,14,12,38,13,21,28,3
"E02001363",7788,7305,2,5,12,16,17,23,54,90,135,109,20
"E02001364",5311,4954,0,2,9,16,19,14,45,44,79,89,40
"E02001365",9049,8338,1,12,21,26,21,28,95,93,184,163,67
"E02001366",8985,8394,0,12,33,19,28,38,90,93,118,113,47
"E02001367",9304,8960,7,7,25,37,27,35,61,28,54,43,20
"E02001368",5847,5493,0,7,14,14,9,17,67,42,61,87,36
"E02001369",7655,6896,2,5,14,17,25,16,70,116,178,201,115
"E02001370",6186,5609,0,7,19,12,23,35,77,59,141,147,57
"E02001371",7447,6908,0,7,19,25,21,19,96,157,130,45,20
"E02001372",6221,5943,5,19,19,17,17,14,37,39,51,38,22
"E02001373",9253,8660,2,12,27,34,24,29,108,80,129,100,48
"E02001374",8199,6562,6,20,37,37,39,59,219,256,363,377,224
"E02001375",7195,6871,8,9,17,20,23,10,37,85,76,27,12
"E02001376",8469,6279,3,15,28,31,20,50,268,412,537,520,306
"E02001377",11467,7541,1,15,20,28,45,104,288,238,416,1108,1663
"E02001378",7972,7396,4,16,26,31,47,52,95,98,96,58,53
"E02001380",7526,7264,9,6,29,35,31,26,39,38,28,20,1
"E02001381",9286,7484,8,9,25,51,67,82,281,243,377,480,179
"E02001382",7098,6725,6,8,25,40,45,37,68,37,40,46,21
"E02001383",7501,5446,4,16,54,92,85,124,307,241,298,465,369
"E02001384",10762,9166,6,18,37,64,73,123,256,172,220,469,158
"E02001385",8157,4853,3,18,97,93,105,218,632,497,699,679,263
"E02001386",7545,7285,2,18,25,31,24,21,43,27,41,22,6
"E02001387",8025,7500,10,12,35,57,52,54,93,33,71,68,40
"E02001388",8860,7987,5,5,26,45,43,75,132,69,112,196,165
"E02001389",6232,4873,3,22,33,54,41,90,290,194,248,249,135
"E02001390",8756,7444,4,4,37,36,39,83,233,303,205,283,85
"E02001391",5970,5799,2,8,22,21,18,12,17,21,28,12,10
"E02001392",5717,5371,6,21,29,67,48,39,45,38,26,20,7
"E02001393",7753,7116,10,15,54,90,111,67,69,46,59,41,75
"E02001394",10143,9096,7,13,39,56,54,75,182,102,158,205,156
"E02001395",6056,5724,2,13,23,37,47,40,47,27,30,40,26
"E02001396",8035,7331,2,8,13,25,33,40,113,72,155,175,68
"E02001397",7631,7279,3,17,30,45,44,28,49,36,51,39,10
"E02001398",7758,6996,8,21,33,55,63,61,120,82,122,124,73
"E02001399",7276,6938,2,14,36,63,41,32,66,13,23,39,9
"E02001400",6614,6204,4,10,38,44,32,40,85,52,42,36,27
"E02001401",7872,7426,2,22,20,32,38,27,65,38,77,70,55
"E02001402",8384,7801,9,23,34,58,55,54,99,43,89,85,34
"E02001403",6035,5649,2,8,15,15,17,8,61,34,71,96,59
"E02001404",7260,6935,6,10,9,11,16,12,47,16,78,81,39
"E02001405",9609,9034,4,20,26,16,13,24,27,36,165,170,74
"E02006932",9949,6911,0,2,8,12,5,51,185,125,285,1093,1272
"E02006933",5436,4255,3,9,14,23,25,47,117,109,175,376,283
"E02006934",5202,3983,0,0,9,7,22,50,125,89,178,443,296
