"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E01006512",1880,766,82,26,9,19,8,86,123,456,160,137,8,0,0,0,0,0
"E01006513",2941,2033,26,12,7,16,9,80,184,404,110,50,7,0,3,0,0,0
"E01006514",2108,1632,24,10,9,24,7,13,51,139,113,64,10,1,10,0,0,1
"E01006515",1208,910,10,6,3,12,6,15,21,57,50,74,26,8,8,1,1,0
"E01006518",1696,1468,26,9,6,18,2,6,15,48,35,41,20,2,0,0,0,0
"E01006519",1286,1205,18,4,4,7,3,8,4,12,8,11,2,0,0,0,0,0
"E01006520",1706,1470,23,6,2,9,9,7,21,63,53,38,4,0,0,1,0,0
"E01006521",1660,1474,23,6,3,17,4,10,11,45,32,29,5,1,0,0,0,0
"E01006522",1731,1546,16,7,1,9,4,9,9,45,32,45,8,0,0,0,0,0
"E01006523",1508,1362,23,9,2,12,3,3,7,40,27,14,4,1,1,0,0,0
"E01006524",2431,2152,39,17,7,22,3,26,32,48,35,42,5,0,0,1,2,0
"E01006525",1209,1141,9,5,2,10,2,3,6,11,7,11,2,0,0,0,0,0
"E01006526",1404,1334,9,3,2,3,3,2,1,23,9,14,1,0,0,0,0,0
"E01006527",1454,1371,15,5,0,5,2,3,9,21,14,9,0,0,0,0,0,0
"E01006528",1461,1305,20,5,2,0,1,5,15,44,40,22,2,0,0,0,0,0
"E01006529",1304,1217,19,2,3,3,0,4,3,19,10,22,2,0,0,0,0,0
"E01006530",1431,1382,6,5,2,4,2,2,6,7,6,8,0,0,0,1,0,0
"E01006531",1458,1411,5,3,3,1,0,0,1,13,12,6,3,0,0,0,0,0
"E01006532",1557,1432,17,3,4,10,2,4,4,24,31,22,4,0,0,0,0,0
"E01006533",1408,1339,7,3,1,5,2,5,5,13,13,14,1,0,0,0,0,0
"E01006534",1542,1399,18,5,4,9,0,7,8,22,21,39,7,0,2,1,0,0
"E01006535",1639,1563,14,4,6,1,1,6,3,16,10,13,2,0,0,0,0,0
"E01006536",1848,1760,20,8,5,3,0,3,6,17,7,17,1,0,1,0,0,0
"E01006537",2257,2010,21,8,3,10,3,13,14,45,66,45,18,0,1,0,0,0
"E01006538",1318,1284,5,1,2,4,2,1,1,6,4,4,2,0,2,0,0,0
"E01006539",1437,1323,17,8,7,4,1,6,7,20,20,20,3,0,0,1,0,0
"E01006540",1509,1298,18,12,10,22,3,12,18,44,27,40,3,0,1,1,0,0
"E01006541",1593,1563,8,4,3,1,0,0,1,2,3,7,1,0,0,0,0,0
"E01006542",1397,1320,7,3,0,7,1,2,1,9,21,22,3,0,1,0,0,0
"E01006543",1247,1237,1,2,0,0,0,2,0,2,2,1,0,0,0,0,0,0
"E01006544",1658,1615,10,0,1,3,0,2,6,10,6,3,2,0,0,0,0,0
"E01006545",1512,1469,3,4,0,2,1,2,5,12,6,6,2,0,0,0,0,0
"E01006546",1319,1260,8,4,3,4,0,3,4,13,7,12,1,0,0,0,0,0
"E01006547",1490,1352,14,3,0,12,10,7,8,26,23,29,3,0,1,2,0,0
"E01006548",1675,1526,21,8,7,13,2,5,3,36,17,29,7,1,0,0,0,0
"E01006549",1662,1261,33,12,8,25,10,27,24,85,74,81,16,3,3,0,0,0
"E01006550",1595,1447,17,7,3,7,2,10,19,39,25,19,0,0,0,0,0,0
"E01006551",1581,1389,18,5,7,14,6,16,24,36,21,33,7,3,2,0,0,0
"E01006552",2029,1253,79,52,19,58,20,47,45,146,141,144,18,2,5,0,0,0
"E01006553",1880,1697,29,9,7,10,1,9,16,45,22,26,8,1,0,0,0,0
"E01006554",1692,1458,31,7,5,22,4,11,20,64,38,24,7,0,1,0,0,0
"E01006556",2011,1230,80,38,30,49,21,49,41,126,156,155,30,2,2,2,0,0
"E01006557",2054,1780,25,16,5,28,1,25,30,67,46,25,6,0,0,0,0,0
"E01006558",1357,1288,11,4,3,0,1,1,5,12,15,16,1,0,0,0,0,0
"E01006560",1860,1751,15,8,4,9,1,3,6,7,22,31,3,0,0,0,0,0
"E01006562",1514,1402,19,7,1,9,4,2,4,15,22,23,5,0,0,1,0,0
"E01006563",1744,1603,24,9,2,9,3,5,10,24,11,33,8,0,1,2,0,0
"E01006564",1721,1635,8,4,2,2,3,5,4,9,13,29,6,0,1,0,0,0
"E01006565",1549,1486,12,5,2,1,2,1,3,7,9,20,1,0,0,0,0,0
"E01006566",1506,1417,11,3,1,1,1,1,6,17,24,17,4,0,2,0,1,0
"E01006567",1655,1568,11,2,1,8,0,3,7,14,17,21,3,0,0,0,0,0
"E01006568",1617,1537,11,2,4,8,4,3,7,20,5,12,3,1,0,0,0,0
"E01006569",1429,1393,12,4,1,2,0,2,3,5,2,4,1,0,0,0,0,0
"E01006570",1479,1412,10,2,1,3,0,1,9,12,14,10,4,0,1,0,0,0
"E01006571",1470,1426,7,1,1,4,1,4,3,10,8,3,2,0,0,0,0,0
"E01006572",1207,1146,18,3,1,0,0,3,3,9,9,10,4,1,0,0,0,0
"E01006573",1501,1420,8,8,4,8,0,1,4,12,12,19,5,0,0,0,0,0
"E01006574",1388,1331,10,2,1,3,4,3,3,10,12,7,1,0,0,1,0,0
"E01006575",1294,1232,7,5,2,6,0,5,3,9,10,13,1,0,1,0,0,0
"E01006576",1693,1643,9,1,3,0,3,4,4,9,9,7,1,0,0,0,0,0
"E01006577",1503,1451,9,5,0,3,1,1,5,11,5,12,0,0,0,0,0,0
"E01006578",1380,1333,7,2,2,3,1,2,2,8,5,14,1,0,0,0,0,0
"E01006579",1643,1576,17,5,2,2,1,6,6,9,11,8,0,0,0,0,0,0
"E01006580",1335,1255,11,4,1,11,1,1,4,14,10,21,2,0,0,0,0,0
"E01006581",1559,1484,9,6,1,5,2,2,2,11,14,15,6,0,2,0,0,0
"E01006582",1642,1560,13,4,1,8,0,5,6,14,15,10,4,0,2,0,0,0
"E01006583",1758,1669,14,3,1,6,1,4,16,21,9,10,3,0,1,0,0,0
"E01006584",1393,1362,10,1,1,2,0,0,3,4,6,2,2,0,0,0,0,0
"E01006585",1354,1269,10,8,2,7,2,3,3,17,10,18,1,2,2,0,0,0
"E01006586",1899,1758,17,11,3,7,1,12,6,28,21,23,8,3,1,0,0,0
"E01006587",1624,1500,18,7,2,16,5,5,10,22,9,27,2,1,0,0,0,0
"E01006588",1569,1408,19,9,4,12,4,8,11,41,23,27,0,1,1,1,0,0
"E01006589",1518,1436,10,6,0,4,2,2,4,24,9,15,5,0,1,0,0,0
"E01006590",1642,1506,19,4,2,8,1,5,11,41,28,14,3,0,0,0,0,0
"E01006591",1633,1487,25,9,4,9,2,7,13,27,25,21,4,0,0,0,0,0
"E01006592",1565,1451,17,3,2,6,2,2,11,31,21,14,2,0,2,1,0,0
"E01006593",1541,1416,15,8,3,5,3,2,7,38,23,18,3,0,0,0,0,0
"E01006594",1410,1286,15,7,4,11,1,8,11,17,16,27,5,2,0,0,0,0
"E01006595",1745,1659,16,2,4,7,0,3,7,10,22,13,0,1,0,0,1,0
"E01006596",1451,1335,22,8,4,9,1,6,10,13,14,26,3,0,0,0,0,0
"E01006597",1667,1566,17,8,3,1,1,3,6,24,18,18,2,0,0,0,0,0
"E01006598",1361,1307,6,2,0,2,1,1,6,7,11,18,0,0,0,0,0,0
"E01006599",1121,1051,10,3,5,3,0,1,2,8,13,17,6,1,1,0,0,0
"E01006600",1407,1376,7,1,1,1,1,0,2,10,4,4,0,0,0,0,0,0
"E01006603",1410,1389,0,1,1,2,1,0,1,2,4,8,1,0,0,0,0,0
"E01006604",1367,1343,6,0,1,3,0,1,1,2,6,4,0,0,0,0,0,0
"E01006605",1531,1488,5,2,0,6,2,5,2,13,4,1,3,0,0,0,0,0
"E01006606",1521,1470,1,1,2,3,0,0,6,15,15,5,3,0,0,0,0,0
"E01006607",1531,1504,5,3,0,2,0,1,1,12,1,2,0,0,0,0,0,0
"E01006608",1215,1189,4,2,0,1,0,3,5,1,2,5,2,0,0,1,0,0
"E01006609",1283,1231,3,2,1,2,0,3,3,16,10,12,0,0,0,0,0,0
"E01006610",1397,1353,9,2,0,2,0,5,2,8,7,8,1,0,0,0,0,0
"E01006611",1291,1230,9,1,2,6,4,0,3,12,7,13,4,0,0,0,0,0
"E01006612",1495,1467,6,2,0,2,0,2,1,4,4,6,1,0,0,0,0,0
"E01006613",1360,1334,4,0,1,0,0,0,1,5,5,4,3,0,1,0,2,0
"E01006614",1322,1281,3,1,0,3,0,3,4,9,5,8,4,0,1,0,0,0
"E01006615",1302,1262,8,2,0,2,1,0,3,13,5,6,0,0,0,0,0,0
"E01006616",1428,1386,8,3,0,1,2,1,0,11,5,11,0,0,0,0,0,0
"E01006617",1421,1377,10,2,0,0,1,0,1,10,11,8,0,1,0,0,0,0
"E01006618",1639,1623,5,0,0,1,0,2,4,1,2,1,0,0,0,0,0,0
"E01006619",1599,1555,5,2,1,1,1,3,2,10,12,5,1,0,0,1,0,0
"E01006620",1417,1388,4,5,1,1,0,2,1,6,5,4,0,0,0,0,0,0
"E01006621",1468,1391,11,2,0,8,3,5,1,9,13,20,4,0,1,0,0,0
"E01006622",1519,1486,3,1,0,1,3,3,4,9,3,6,0,0,0,0,0,0
"E01006623",1462,1382,9,6,4,3,2,3,8,13,11,18,3,0,0,0,0,0
"E01006624",1556,1451,9,5,2,11,3,3,7,22,13,20,7,1,0,2,0,0
"E01006625",1416,1386,4,1,1,2,2,4,2,7,3,3,1,0,0,0,0,0
"E01006626",1448,1392,13,1,1,7,0,4,4,5,7,13,1,0,0,0,0,0
"E01006627",1378,1327,6,1,1,6,1,4,1,9,7,11,4,0,0,0,0,0
"E01006628",1874,1673,19,5,2,8,5,13,24,60,32,29,4,0,0,0,0,0
"E01006629",1255,1182,6,4,6,6,2,6,6,15,8,12,2,0,0,0,0,0
"E01006630",1338,1221,17,9,2,14,0,7,8,13,15,21,7,1,2,1,0,0
"E01006632",1842,1667,10,5,6,9,2,18,5,40,42,30,5,0,2,1,0,0
"E01006633",1432,1376,5,0,1,6,0,0,2,14,15,12,1,0,0,0,0,0
"E01006637",1596,1412,21,14,7,17,2,8,3,26,30,44,12,0,0,0,0,0
"E01006638",1219,1132,4,2,3,11,1,1,4,9,7,36,9,0,0,0,0,0
"E01006639",1509,1450,6,4,1,4,1,3,6,15,4,10,4,1,0,0,0,0
"E01006640",1880,1763,22,15,3,7,1,8,2,18,16,22,1,0,0,2,0,0
"E01006641",1740,1482,40,8,6,16,3,6,4,47,55,68,5,0,0,0,0,0
"E01006642",1290,1230,5,6,5,4,2,2,1,12,7,13,2,0,1,0,0,0
"E01006643",1822,1719,18,2,3,4,0,5,1,23,19,20,6,2,0,0,0,0
"E01006644",2040,1947,14,6,6,5,3,2,1,10,21,21,3,0,1,0,0,0
"E01006645",1424,1364,9,6,4,4,0,5,4,7,8,8,3,2,0,0,0,0
"E01006646",1899,1618,16,6,5,10,1,16,20,63,74,60,8,0,1,1,0,0
"E01006647",1422,1350,12,8,2,3,0,0,6,15,14,8,3,0,0,0,0,1
"E01006648",2175,1892,17,3,2,12,0,13,17,95,73,43,8,0,0,0,0,0
"E01006651",1642,1578,16,2,1,1,2,2,3,16,15,5,1,0,0,0,0,0
"E01006652",1505,1432,21,4,0,2,1,1,3,15,14,12,0,0,0,0,0,0
"E01006653",1520,1463,14,3,4,3,1,2,0,4,9,16,1,0,0,0,0,0
"E01006654",1513,1451,7,2,4,0,0,1,5,7,14,19,1,0,2,0,0,0
"E01006655",1758,1593,20,8,6,11,1,6,4,22,40,43,3,1,0,0,0,0
"E01006656",1493,1448,12,3,2,3,0,1,4,12,3,4,0,0,1,0,0,0
"E01006657",1211,1178,5,5,1,0,0,0,1,2,3,15,1,0,0,0,0,0
"E01006658",1300,1250,8,6,1,4,2,1,0,2,6,17,3,0,0,0,0,0
"E01006659",1765,1648,18,4,3,6,2,3,7,17,27,26,4,0,0,0,0,0
"E01006660",1433,1303,21,7,0,8,6,5,2,13,21,43,4,0,0,0,0,0
"E01006661",1663,1575,17,3,4,3,1,3,5,19,15,17,1,0,0,0,0,0
"E01006662",1775,1667,10,7,2,8,0,2,3,14,26,31,4,1,0,0,0,0
"E01006663",1153,1117,3,1,0,0,0,4,1,8,10,9,0,0,0,0,0,0
"E01006664",1795,1635,28,6,7,3,1,5,10,30,23,41,6,0,0,0,0,0
"E01006665",1555,1503,6,7,1,4,0,1,3,5,12,10,2,0,1,0,0,0
"E01006666",1504,1401,16,2,4,8,3,3,5,21,12,28,1,0,0,0,0,0
"E01006667",1453,1389,5,8,1,2,0,2,4,14,10,16,1,1,0,0,0,0
"E01006668",1534,1474,8,4,5,4,0,2,5,5,16,9,2,0,0,0,0,0
"E01006669",1470,1356,17,5,6,4,1,2,2,9,23,35,9,1,0,0,0,0
"E01006670",1526,1438,12,5,4,6,0,5,5,18,16,14,2,0,1,0,0,0
"E01006671",1355,1256,7,8,9,7,1,3,6,14,18,24,1,0,1,0,0,0
"E01006672",1955,1834,19,4,1,10,1,0,4,25,19,31,7,0,0,0,0,0
"E01006673",1937,1255,57,33,29,63,15,34,33,126,109,131,26,13,13,0,0,0
"E01006674",1885,1118,103,49,27,50,20,50,52,116,114,124,31,13,17,1,0,0
"E01006675",1824,1351,36,11,3,19,16,31,35,114,109,80,13,0,3,3,0,0
"E01006676",1753,1231,62,38,24,47,8,15,29,83,87,104,19,2,3,1,0,0
"E01006677",1040,791,27,10,4,18,7,22,18,59,34,36,10,0,4,0,0,0
"E01006678",2127,1857,26,17,8,26,1,36,21,40,29,54,8,0,4,0,0,0
"E01006679",2232,1252,129,47,30,79,27,65,53,158,147,169,45,8,15,6,2,0
"E01006680",1569,1508,13,2,2,8,2,2,0,14,6,11,1,0,0,0,0,0
"E01006681",1585,1482,18,6,4,9,1,3,6,18,11,24,2,0,1,0,0,0
"E01006682",1310,1249,12,4,4,4,1,3,6,10,8,7,2,0,0,0,0,0
"E01006683",1510,1448,12,2,0,5,0,8,2,12,10,10,1,0,0,0,0,0
"E01006684",2138,2010,21,5,0,4,1,7,6,28,18,31,7,0,0,0,0,0
"E01006685",1484,1403,13,7,5,5,1,7,5,7,13,17,1,0,0,0,0,0
"E01006686",1433,1362,15,1,1,5,2,7,3,10,14,8,4,0,0,1,0,0
"E01006687",1952,1756,31,4,1,17,3,8,12,36,52,28,2,1,1,0,0,0
"E01006688",1524,1427,8,5,3,4,0,3,6,29,21,15,0,2,1,0,0,0
"E01006689",1651,1589,10,3,1,7,0,4,3,14,13,7,0,0,0,0,0,0
"E01006690",1492,1132,23,10,6,18,9,19,29,61,97,66,15,3,2,0,2,0
"E01006691",1503,1013,50,26,12,28,8,27,26,100,92,100,19,0,2,0,0,0
"E01006692",2180,1804,41,17,14,21,6,17,24,76,51,94,12,0,3,0,0,0
"E01006693",1511,1358,14,10,10,14,3,4,9,16,26,40,5,0,1,0,1,0
"E01006694",1864,1287,47,27,22,39,10,24,33,101,102,139,33,0,0,0,0,0
"E01006695",1821,1329,47,17,14,29,9,19,25,121,94,108,9,0,0,0,0,0
"E01006696",1744,1349,48,16,17,26,5,13,12,63,63,115,17,0,0,0,0,0
"E01006697",1845,1364,49,35,16,24,5,17,27,98,82,105,20,2,1,0,0,0
"E01006698",1716,1663,15,1,2,4,1,0,3,10,6,7,3,0,1,0,0,0
"E01006699",1594,1498,18,2,3,4,2,1,1,19,26,17,3,0,0,0,0,0
"E01006700",1438,1366,14,2,0,8,1,7,3,10,9,15,3,0,0,0,0,0
"E01006701",1380,1319,6,7,3,5,2,2,6,14,7,8,1,0,0,0,0,0
"E01006702",1618,1521,7,7,3,8,6,6,4,15,25,15,1,0,0,0,0,0
"E01006703",1561,1458,6,4,0,8,6,7,3,22,21,20,6,0,0,0,0,0
"E01006705",1409,1325,9,2,1,4,1,2,9,17,23,13,3,0,0,0,0,0
"E01006706",1346,1312,5,0,2,0,0,2,3,7,5,10,0,0,0,0,0,0
"E01006707",1323,1278,7,3,0,4,1,2,3,10,4,6,5,0,0,0,0,0
"E01006708",1805,1750,9,2,3,3,0,2,4,11,8,11,0,0,2,0,0,0
"E01006709",1438,1400,7,3,2,3,1,1,4,4,7,4,2,0,0,0,0,0
"E01006710",1496,1459,13,3,0,3,1,2,1,4,6,3,1,0,0,0,0,0
"E01006711",1538,1418,14,6,7,9,3,1,11,16,18,27,8,0,0,0,0,0
"E01006712",1339,1265,17,2,3,5,1,0,2,8,16,19,1,0,0,0,0,0
"E01006713",1377,1307,12,5,2,4,0,0,4,9,15,17,2,0,0,0,0,0
"E01006716",1589,1452,18,4,4,7,3,6,6,30,29,22,6,1,1,0,0,0
"E01006717",1436,1347,13,3,1,6,5,6,11,6,17,18,3,0,0,0,0,0
"E01006718",1587,1487,16,6,5,3,0,6,6,13,17,26,2,0,0,0,0,0
"E01006719",1535,1494,8,0,0,4,3,2,3,8,2,11,0,0,0,0,0,0
"E01006720",2108,1386,104,44,35,54,9,32,60,110,121,142,8,1,1,1,0,0
"E01006721",1655,1402,32,12,8,21,3,18,14,62,35,44,2,0,0,2,0,0
"E01006722",1793,1425,46,28,12,23,15,28,28,74,45,59,10,0,0,0,0,0
"E01006723",1875,1543,48,16,4,24,7,15,29,98,35,41,12,1,0,2,0,0
"E01006724",1790,1569,38,9,6,9,3,10,18,60,25,40,1,0,2,0,0,0
"E01006725",1537,1395,13,7,1,9,1,13,11,35,17,27,5,0,2,1,0,0
"E01006726",1565,1262,25,11,7,23,11,18,18,77,38,61,12,0,2,0,0,0
"E01006727",1441,1286,16,6,5,7,7,8,13,31,23,33,6,0,0,0,0,0
"E01006728",1623,1430,19,9,4,18,0,9,18,38,35,38,4,0,0,1,0,0
"E01006729",1400,1349,15,5,0,4,3,0,1,6,6,11,0,0,0,0,0,0
"E01006730",1326,1285,9,5,2,3,0,2,0,5,2,12,1,0,0,0,0,0
"E01006731",1196,1138,11,3,1,9,0,2,2,6,11,10,3,0,0,0,0,0
"E01006732",1643,1578,14,8,2,3,1,1,4,6,13,11,2,0,0,0,0,0
"E01006734",1412,1311,9,2,1,15,3,7,9,13,17,19,5,0,0,1,0,0
"E01006735",1309,1254,20,2,0,0,0,0,0,10,11,12,0,0,0,0,0,0
"E01006736",1460,1382,8,5,3,5,0,3,3,10,15,22,4,0,0,0,0,0
"E01006737",1435,1389,6,4,1,5,0,3,2,6,7,9,2,0,1,0,0,0
"E01006738",1501,1474,5,1,1,1,1,1,1,8,3,5,0,0,0,0,0,0
"E01006739",1769,1696,15,8,2,3,0,3,2,15,7,17,0,1,0,0,0,0
"E01006740",1280,1147,2,4,2,6,4,6,8,44,29,25,1,0,0,2,0,0
"E01006741",1815,1769,7,3,1,4,1,0,2,10,9,7,2,0,0,0,0,0
"E01006742",1394,1348,3,0,0,2,2,5,3,11,8,9,2,0,1,0,0,0
"E01006743",2175,1996,18,9,0,12,0,2,9,40,50,35,3,0,0,1,0,0
"E01006744",1482,1413,7,3,1,3,0,0,6,14,20,13,2,0,0,0,0,0
"E01006745",1879,1741,11,5,2,12,1,5,6,27,37,28,2,2,0,0,0,0
"E01006746",1513,1266,24,12,7,20,1,7,21,52,38,57,7,0,1,0,0,0
"E01006747",3552,2361,65,28,22,57,23,76,224,482,124,79,10,1,0,0,0,0
"E01006748",1936,1450,36,13,12,13,3,27,72,162,95,39,13,0,1,0,0,0
