"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E02001347",7653,7187,79,26,12,27,12,16,9,57,91,124,12,1,0,0,0,0
"E02001348",7222,6975,52,17,5,10,5,5,18,47,36,47,4,0,1,0,0,0
"E02001349",7966,7674,47,13,6,20,7,11,22,69,38,51,6,0,2,0,0,0
"E02001350",7856,7350,75,22,19,18,3,16,21,80,97,133,20,2,0,0,0,0
"E02001351",8894,8435,68,19,12,31,5,17,26,63,91,107,16,0,3,1,0,0
"E02001352",7416,6954,66,22,9,21,4,26,30,69,84,103,24,2,2,0,0,0
"E02001353",7572,7205,47,26,15,24,3,13,22,63,66,77,8,1,2,0,0,0
"E02001354",7613,7366,50,17,4,13,7,5,10,48,35,51,7,0,0,0,0,0
"E02001355",6664,6432,29,8,3,9,1,13,20,47,47,42,9,0,1,1,2,0
"E02001356",5584,5269,51,16,7,16,2,3,13,51,54,83,17,1,1,0,0,0
"E02001357",6982,6766,41,18,7,18,3,5,9,29,34,45,7,0,0,0,0,0
"E02001358",7069,6802,49,7,4,23,7,10,16,54,32,49,14,0,2,0,0,0
"E02001359",5751,5416,31,20,16,27,7,13,22,58,49,73,15,1,1,2,0,0
"E02001360",8358,7815,57,27,15,35,18,19,27,104,116,109,16,0,0,0,0,0
"E02001361",7618,7428,41,13,6,10,3,6,9,33,28,34,7,0,0,0,0,0
"E02001362",7401,7232,33,4,3,19,4,16,13,28,22,22,5,0,0,0,0,0
"E02001363",7788,7305,54,32,21,41,7,19,18,67,70,119,31,3,1,0,0,0
"E02001364",5311,4954,48,20,10,29,6,8,13,44,87,78,11,1,1,1,0,0
"E02001365",9049,8338,85,33,18,37,18,32,34,160,122,143,23,1,3,2,0,0
"E02001366",8985,8394,62,31,20,39,9,17,32,122,121,109,22,2,3,1,1,0
"E02001367",9304,8960,55,27,5,18,9,21,11,62,60,65,6,1,1,3,0,0
"E02001368",5847,5493,48,14,5,18,1,16,16,81,72,68,11,2,2,0,0,0
"E02001369",7655,6896,56,21,13,33,5,37,47,174,182,163,25,0,2,1,0,0
"E02001370",6186,5609,68,39,24,48,9,21,43,99,78,121,19,0,3,3,1,1
"E02001371",7447,6908,91,21,16,27,9,19,12,101,102,118,18,3,1,1,0,0
"E02001372",6221,5943,39,7,7,23,5,11,26,56,44,46,12,1,1,0,0,0
"E02001373",9253,8660,80,29,31,41,18,21,44,85,89,128,25,0,2,0,0,0
"E02001374",8199,6562,145,58,42,83,28,62,106,379,344,334,44,4,6,0,2,0
"E02001375",7195,6871,61,24,12,20,3,4,16,41,54,79,10,0,0,0,0,0
"E02001376",8469,6279,218,116,74,137,29,88,119,414,377,516,96,2,4,0,0,0
"E02001377",11467,7541,277,90,65,130,48,247,587,1451,547,415,55,3,8,3,0,0
"E02001378",7972,7396,74,33,12,38,12,27,31,114,93,107,21,7,6,0,1,0
"E02001380",7526,7264,52,17,8,13,5,16,21,42,41,42,4,0,1,0,0,0
"E02001381",9286,7484,208,84,58,129,33,97,138,343,293,365,40,5,6,3,0,0
"E02001382",7098,6725,55,21,11,31,7,15,19,61,58,80,12,0,3,0,0,0
"E02001383",7501,5446,135,58,47,116,34,105,186,549,355,337,69,24,36,2,1,1
"E02001384",10762,9166,206,88,38,112,31,106,138,400,211,228,31,1,2,4,0,0
"E02001385",8157,4853,391,186,106,236,88,211,191,546,558,592,124,25,39,9,2,0
"E02001386",7545,7285,40,12,15,19,3,12,14,46,43,45,10,0,1,0,0,0
"E02001387",8025,7500,82,30,10,28,7,19,40,120,88,78,17,0,5,1,0,0
"E02001388",8860,7987,127,44,23,55,23,54,113,205,107,101,17,2,1,1,0,0
"E02001389",6232,4873,119,39,17,71,42,87,98,321,270,235,43,3,10,4,0,0
"E02001390",8756,7444,141,78,46,114,13,82,78,224,208,250,59,5,11,3,0,0
"E02001391",5970,5799,34,8,5,10,2,8,11,32,23,30,6,0,2,0,0,0
"E02001392",5717,5371,53,25,12,22,5,18,15,67,62,51,12,1,1,1,1,0
"E02001393",7753,7116,95,36,24,44,7,32,49,106,108,111,21,2,1,1,0,0
"E02001394",10143,9096,132,41,25,73,20,68,89,235,145,180,30,3,3,1,2,0
"E02001395",6056,5724,57,18,11,33,3,16,26,48,56,57,5,1,0,0,1,0
"E02001396",8035,7331,65,19,10,59,3,36,52,175,151,111,17,3,1,2,0,0
"E02001397",7631,7279,61,11,9,26,4,11,31,52,56,71,18,0,2,0,0,0
"E02001398",7758,6996,91,29,15,43,15,37,63,204,139,106,17,2,1,0,0,0
"E02001399",7276,6938,67,14,7,27,7,23,20,67,52,45,8,0,0,1,0,0
"E02001400",6614,6204,70,23,19,22,2,19,23,73,49,93,12,0,4,1,0,0
"E02001401",7872,7426,44,20,11,24,9,21,27,84,101,77,24,0,3,1,0,0
"E02001402",8384,7801,91,25,13,37,8,33,33,112,112,102,12,3,2,0,0,0
"E02001403",6035,5649,23,12,5,23,7,16,23,96,94,75,7,2,1,2,0,0
"E02001404",7260,6935,45,21,4,20,2,6,14,73,69,64,5,1,0,1,0,0
"E02001405",9609,9034,89,31,16,46,6,15,28,110,87,117,28,1,1,0,0,0
"E02006932",9949,6911,112,40,41,90,33,243,689,1220,400,147,17,2,3,0,1,0
"E02006933",5436,4255,82,32,14,31,12,71,155,287,285,179,26,1,3,2,0,1
"E02006934",5202,3983,92,26,16,42,14,84,157,341,256,178,11,0,2,0,0,0
