"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E00032987",198,137,0,0,2,4,0,1,6,17,7,14,5,4,1,0,0,0
"E00032988",348,308,7,3,1,5,1,0,0,4,11,7,1,0,0,0,0,0
"E00032989",333,283,7,2,1,1,0,1,8,16,6,8,0,0,0,0,0,0
"E00032990",330,251,6,2,1,2,1,2,16,11,21,10,3,1,3,0,0,0
"E00032991",320,260,13,1,1,4,1,1,2,6,11,20,0,0,0,0,0,0
"E00032992",240,185,2,2,0,7,1,8,2,19,9,4,1,0,0,0,0,0
"E00032993",282,204,4,1,0,4,3,10,9,19,17,9,2,0,0,0,0,0
"E00032994",111,104,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0
"E00032995",268,242,3,1,1,4,1,1,2,0,7,5,1,0,0,0,0,0
"E00032996",417,395,4,2,0,2,1,1,3,1,1,3,1,1,1,1,0,0
"E00032997",211,169,4,0,2,2,0,3,2,15,3,9,2,0,0,0,0,0
"E00032998",337,290,4,5,1,0,1,2,3,8,10,10,3,0,0,0,0,0
"E00032999",359,270,2,1,1,9,3,8,10,16,23,14,2,0,0,0,0,0
"E00033000",177,116,0,2,0,2,0,1,1,4,8,24,8,3,6,1,1,0
"E00033002",227,176,7,3,1,6,0,1,5,9,7,7,5,0,0,0,0,0
"E00033004",252,220,2,1,0,3,1,1,2,8,3,9,2,0,0,0,0,0
"E00033005",402,357,4,3,2,1,0,0,2,12,6,10,4,1,0,0,0,0
"E00033006",271,251,2,1,0,2,1,0,2,7,1,2,2,0,0,0,0,0
"E00033007",317,273,6,1,0,3,0,1,2,5,11,8,6,1,0,0,0,0
"E00033008",345,318,4,0,1,4,0,0,1,6,1,8,2,0,0,0,0,0
"E00033012",149,121,3,0,0,0,0,0,8,4,7,6,0,0,0,0,0,0
"E00033013",202,132,6,2,1,2,0,2,7,24,15,11,0,0,0,0,0,0
"E00033015",209,74,14,1,0,4,0,4,9,52,17,32,2,0,0,0,0,0
"E00033016",597,159,49,18,4,6,2,35,65,155,45,55,4,0,0,0,0,0
"E00033018",270,237,4,5,0,0,2,1,1,10,7,2,0,0,1,0,0,0
"E00033019",350,240,8,1,2,0,1,11,7,51,15,11,1,0,2,0,0,0
"E00033020",231,189,0,1,1,2,0,0,6,13,11,6,0,0,2,0,0,0
"E00033021",262,185,4,2,1,1,3,2,4,14,12,24,9,0,1,0,0,0
"E00033023",433,372,4,2,4,4,1,1,6,12,9,8,2,0,7,0,0,1
"E00033024",178,164,2,1,0,1,0,0,1,1,4,2,2,0,0,0,0,0
"E00033025",265,258,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"E00033026",219,212,1,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0
"E00033027",393,357,3,0,1,2,1,3,3,12,3,8,0,0,0,0,0,0
"E00033029",240,218,6,0,0,0,0,1,1,6,3,5,0,0,0,0,0,0
"E00033030",321,296,4,1,0,2,1,0,3,6,6,2,0,0,0,0,0,0
"E00033031",309,290,8,1,0,1,0,0,2,2,3,2,0,0,0,0,0,0
"E00033032",347,301,7,0,0,1,2,0,1,15,15,5,0,0,0,0,0,0
"E00033033",288,250,8,2,0,0,1,0,2,9,11,4,1,0,0,0,0,0
"E00033034",313,280,3,2,0,0,0,2,0,11,7,8,0,0,0,0,0,0
