B25077_001E,B02001_002E,B01003_001E,B25003_003E,B25001_001E,B09019_006E,B09019_001E,B15003_002E,B25018_001E,B19083_001E,B01002_001E,B08303_001E,B19013_001E,GEOID
37.1,2590.0,2375.0,1299.0,2590.0,137.0,0.0,62500.0,0.5355,2530.0,946.0,3.9,732900.0,06073018300
41.2,5147.0,4069.0,1970.0,5147.0,562.0,24.0,88165.0,0.4265,1633.0,335.0,6.5,473800.0,06073018601
54.4,5595.0,4925.0,1702.0,5595.0,442.0,34.0,110804.0,0.4985,2308.0,644.0,6.2,930600.0,06073017601
42.3,7026.0,5625.0,3390.0,7026.0,638.0,46.0,100539.0,0.4003,2351.0,462.0,6.6,478500.0,06073019301
21.8,40402.0,30455.0,24143.0,40402.0,2456.0,23.0,41709.0,0.3196,7523.0,7146.0,5.4,515570.89638157893,06073018700
33.1,5268.0,5010.0,3307.0,5268.0,532.0,43.0,75618.0,0.3845,3088.0,1957.0,4.2,835400.0,06073007301
43.8,4829.0,4232.0,2107.0,4829.0,652.0,0.0,128000.0,0.3607,1725.0,274.0,6.2,691100.0,06073017108
38.6,8912.0,5957.0,3505.0,8912.0,973.0,58.0,91961.0,0.4164,2802.0,633.0,7.2,567600.0,06073018611
45.4,2976.0,2571.0,1174.0,2976.0,364.0,7.0,169821.0,0.3329,1031.0,87.0,7.1,801800.0,06073017107
23.2,804.0,535.0,597.0,804.0,4.0,0.0,75402.79871175524,0.41074138486312395,4.0,4.0,5.142765273311893,515570.89638157893,06073009901
27.7,3269.0,2916.0,2072.0,3269.0,298.0,36.0,61369.0,0.3698,1549.0,1219.0,3.9,648700.0,06073007908
52.9,4665.0,4349.0,1682.0,4665.0,408.0,0.0,114458.0,0.5067,2395.0,630.0,6.5,1088700.0,06073007100
52.9,3058.0,2753.0,1076.0,3058.0,270.0,0.0,112542.0,0.4082,1321.0,277.0,6.2,972800.0,06073008301
35.8,4270.0,3607.0,1972.0,4270.0,536.0,28.0,60536.0,0.4077,1822.0,942.0,5.0,466300.0,06073019905
48.9,3226.0,2779.0,1148.0,3226.0,395.0,0.0,127778.0,0.3635,1209.0,130.0,7.0,824200.0,06073008306
35.6,7031.0,5566.0,3450.0,7031.0,734.0,0.0,73395.0,0.4151,2876.0,1558.0,4.9,533100.0,06073019904
34.1,4202.0,3620.0,2387.0,4202.0,487.0,90.0,70469.0,0.3877,1346.0,612.0,5.4,430200.0,06073019902
25.5,2115.0,1192.0,1219.0,2115.0,128.0,0.0,65729.0,0.4597,868.0,640.0,3.9,427600.0,06073008339
33.4,3684.0,2661.0,1827.0,3684.0,319.0,18.0,38958.0,0.4763,1883.0,1494.0,3.7,462900.0,06073009102
56.3,2863.0,2588.0,1263.0,2863.0,308.0,0.0,131607.0,0.5436,1335.0,135.0,6.9,1226100.0,06073000100
38.8,2330.0,1706.0,1184.0,2330.0,261.0,0.0,88681.0,0.4494,1269.0,705.0,4.1,599400.0,06073006100
36.4,15695.0,8965.0,6686.0,15695.0,1631.0,0.0,148889.0,0.4488,5422.0,2182.0,5.9,1082700.0,06073008333
52.8,2072.0,1905.0,754.0,2072.0,277.0,6.0,107794.0,0.5136,965.0,315.0,6.6,2000001.0,06073010900
36.1,8117.0,5121.0,3875.0,8117.0,1020.0,201.0,66162.0,0.4276,2826.0,1328.0,5.1,460300.0,06073008509
39.3,6851.0,4699.0,2973.0,6851.0,477.0,58.0,42483.0,0.553,3895.0,2659.0,2.6,386000.0,06073005100
37.5,3282.0,2994.0,1796.0,3282.0,255.0,0.0,73477.0,0.4253,1759.0,1073.0,4.1,668400.0,06073000500
34.4,1843.0,1254.0,1220.0,1843.0,117.0,0.0,50109.0,0.4896,1166.0,940.0,3.2,565400.0,06073004600
37.21261980830668,0.0,0.0,0.0,0.0,0.0,0.0,75402.79871175524,0.41074138486312395,0.0,0.0,5.142765273311893,515570.89638157893,06073990100
36.4,3713.0,3031.0,2161.0,3713.0,414.0,13.0,71836.0,0.4169,1996.0,1087.0,4.2,604400.0,06073001500
34.6,6707.0,2065.0,3982.0,6707.0,582.0,71.0,84358.0,0.3702,2267.0,1056.0,4.3,389800.0,06073008360
34.6,3556.0,1855.0,1554.0,3556.0,489.0,56.0,100469.0,0.3346,1214.0,426.0,5.4,520700.0,06073017036
32.1,9130.0,7065.0,4915.0,9130.0,854.0,0.0,74931.0,0.3948,4940.0,3480.0,4.1,336800.0,06073009304
37.21261980830668,0.0,0.0,0.0,0.0,0.0,0.0,75402.79871175524,0.41074138486312395,0.0,0.0,5.142765273311893,515570.89638157893,06073009902
27.5,4739.0,2672.0,1940.0,4739.0,474.0,82.0,41176.0,0.3852,1182.0,747.0,4.4,263600.0,06073003501
26.8,3244.0,1468.0,1189.0,3244.0,398.0,79.0,44702.0,0.3627,784.0,493.0,4.7,230200.0,06073003602
37.3,4081.0,2678.0,1764.0,4081.0,401.0,6.0,82361.0,0.3466,1544.0,602.0,5.3,500800.0,06073009502
34.7,6442.0,3559.0,3079.0,6442.0,517.0,52.0,122568.0,0.3906,2125.0,666.0,5.6,700800.0,06073017043
31.7,3847.0,2878.0,1547.0,3847.0,449.0,79.0,41176.0,0.3806,1083.0,897.0,3.8,338100.0,06073011602
29.4,6422.0,4793.0,2802.0,6422.0,713.0,138.0,44347.0,0.3925,1882.0,1011.0,4.2,89400.0,06073010103
39.9,6083.0,3373.0,2274.0,6083.0,573.0,331.0,28036.0,0.4934,2573.0,1839.0,3.4,391700.0,06073011700
26.8,4287.0,2286.0,1620.0,4287.0,506.0,83.0,35307.0,0.4399,1084.0,704.0,4.3,515570.89638157893,06073003304
32.7,1679.0,1349.0,652.0,1679.0,231.0,52.0,29886.0,0.4904,821.0,592.0,2.9,327500.0,06073012302
26.9,3907.0,3192.0,1646.0,3907.0,382.0,148.0,34259.0,0.3582,1073.0,940.0,3.7,307600.0,06073020213
38.3,5429.0,3484.0,2378.0,5429.0,621.0,30.0,100082.0,0.3435,2250.0,1066.0,4.7,585200.0,06073017052
40.7,4070.0,3185.0,1615.0,4070.0,377.0,100.0,49761.0,0.4899,1497.0,833.0,4.7,377500.0,06073012800
31.8,6111.0,4689.0,2380.0,6111.0,637.0,216.0,43830.0,0.4139,1612.0,832.0,4.6,207900.0,06073010106
34.7,7350.0,5376.0,2980.0,7350.0,872.0,200.0,39136.0,0.3532,2587.0,1465.0,3.9,94500.0,06073013206
36.2,7921.0,4509.0,3730.0,7921.0,774.0,107.0,127841.0,0.3678,2741.0,900.0,5.7,663100.0,06073017042
46.6,3812.0,3067.0,1404.0,3812.0,375.0,39.0,45833.0,0.4275,1516.0,945.0,4.0,481300.0,06073012303
37.6,3525.0,2921.0,1479.0,3525.0,466.0,65.0,52277.0,0.4031,1492.0,688.0,5.1,429500.0,06073012304
36.7,3393.0,2409.0,1566.0,3393.0,352.0,26.0,75930.0,0.342,1180.0,240.0,5.3,404900.0,06073012900
41.0,4861.0,3222.0,2216.0,4861.0,484.0,46.0,110906.0,0.3891,1431.0,220.0,6.1,556400.0,06073017040
41.5,4189.0,3485.0,1801.0,4189.0,587.0,17.0,78241.0,0.4381,1504.0,224.0,6.0,438500.0,06073013401
31.5,5023.0,2728.0,2293.0,5023.0,531.0,20.0,47535.0,0.4147,1774.0,1196.0,4.6,413400.0,06073002905
36.7,6521.0,4322.0,2682.0,6521.0,638.0,164.0,74199.0,0.3399,1542.0,207.0,6.3,344100.0,06073010003
38.9,6393.0,4225.0,2847.0,6393.0,473.0,145.0,74033.0,0.3201,1931.0,467.0,5.9,368900.0,06073014200
28.0,7053.0,5891.0,2730.0,7053.0,725.0,100.0,41703.0,0.3866,1740.0,1279.0,4.2,366300.0,06073010009
34.0,6952.0,2188.0,2506.0,6952.0,800.0,221.0,57035.0,0.4599,1849.0,762.0,5.2,357500.0,06073003115
31.4,4674.0,1745.0,2002.0,4674.0,475.0,148.0,66071.0,0.2967,1127.0,304.0,5.3,325900.0,06073003105
31.7,3988.0,2231.0,1698.0,3988.0,414.0,94.0,60000.0,0.3738,1038.0,297.0,6.0,342900.0,06073003108
