WARD_NAME,Sex,Male,Female,Total
1,19100001 : Ward 1,12576.51819,13857.55526,26434.07345
2,19100002 : Ward 2,13794.44454,16119.74539,29914.18993
3,19100003 : Ward 3,12254.37793,13481.24457,25735.6225
4,19100004 : Ward 4,16936.52211,16427.63671,33364.15882
5,19100005 : Ward 5,12899.42156,11581.34656,24480.76812
6,19100006 : Ward 6,18610.20909,17901.8383,36512.04739
7,19100007 : Ward 7,13568.10467,14299.61427,27867.71894
8,19100008 : Ward 8,14058.03617,15208.30132,29266.33749
9,19100009 : Ward 9,15208.51391,16527.3954,31735.90931
10,19100010 : Ward 10,14800.80848,15720.11497,30520.92345
11,19100011 : Ward 11,16561.79211,17758.9102,34320.70231
12,19100012 : Ward 12,17318.57358,18073.51184,35392.08542
13,19100013 : Ward 13,22969.44135,24206.05718,47175.49853
14,19100014 : Ward 14,18292.90751,19020.92042,37313.82793
15,19100015 : Ward 15,10863.16194,11910.68167,22773.84361
16,19100016 : Ward 16,20973.9411,21966.31017,42940.25127
17,19100017 : Ward 17,20056.0255,21021.20876,41077.23426
18,19100018 : Ward 18,12685.22382,13432.30923,26117.53305
19,19100019 : Ward 19,26460.03882,27124.61567,53584.65449
20,19100020 : Ward 20,21118.28241,21314.23297,42432.51538
21,19100021 : Ward 21,10503.93354,11458.0848,21962.01834
22,19100022 : Ward 22,14726.17469,16120.31454,30846.48923
23,19100023 : Ward 23,14170.9457,15012.50831,29183.45401
24,19100024 : Ward 24,14696.87378,15734.57549,30431.44927
25,19100025 : Ward 25,19316.34108,20893.98413,40210.32521
26,19100026 : Ward 26,18814.48962,19762.53636,38577.02598
27,19100027 : Ward 27,9939.94919,10586.0123,20525.96149
28,19100028 : Ward 28,17090.05719,18357.60657,35447.66376
29,19100029 : Ward 29,18426.1847,19064.26267,37490.44737
30,19100030 : Ward 30,17322.06415,18400.80191,35722.86606
31,19100031 : Ward 31,16989.74604,18338.19493,35327.94097
32,19100032 : Ward 32,21282.56039,21925.8759,43208.43629
33,19100033 : Ward 33,19504.86486,18907.27474,38412.1396
34,19100034 : Ward 34,17740.73977,17846.80977,35587.54954
35,19100035 : Ward 35,19646.48854,20420.3508,40066.83934
36,19100036 : Ward 36,15085.88597,16368.86097,31454.74694
37,19100037 : Ward 37,10796.44461,11388.92351,22185.36812
38,19100038 : Ward 38,11115.79972,12478.1638,23593.96352
39,19100039 : Ward 39,14247.95882,14888.13521,29136.09403
40,19100040 : Ward 40,17594.22318,17490.45351,35084.67669
41,19100041 : Ward 41,11800.85585,13202.71358,25003.56943
42,19100042 : Ward 42,12546.5177,12750.15581,25296.67351
43,19100043 : Ward 43,18741.05121,19170.45492,37911.50613
44,19100044 : Ward 44,18113.80331,20174.02559,38287.8289
45,19100045 : Ward 45,16698.92864,18067.89871,34766.82735
46,19100046 : Ward 46,14282.0283,15631.41097,29913.43927
47,19100047 : Ward 47,16452.43137,18172.77548,34625.20685
48,19100048 : Ward 48,11578.74832,12607.76338,24186.5117
49,19100049 : Ward 49,15854.33576,17459.60293,33313.93869
50,19100050 : Ward 50,15895.078,17082.02071,32977.09871
51,19100051 : Ward 51,12591.64018,13283.22701,25874.86719
52,19100052 : Ward 52,12031.77733,11609.44702,23641.22435
53,19100053 : Ward 53,11983.43082,12943.21272,24926.64354
54,19100054 : Ward 54,10397.92122,11730.10141,22128.02263
55,19100055 : Ward 55,15039.21883,15676.84447,30716.0633
56,19100056 : Ward 56,16395.88394,17064.9986,33460.88254
57,19100057 : Ward 57,14785.82917,15152.52442,29938.35359
58,19100058 : Ward 58,13396.00572,14247.71428,27643.72
59,19100059 : Ward 59,8994.21716,10345.6435,19339.86066
60,19100060 : Ward 60,15253.02936,16426.13446,31679.16382
61,19100061 : Ward 61,17313.1844,13468.29404,30781.47844
62,19100062 : Ward 62,10285.2465,11715.71865,22000.96515
63,19100063 : Ward 63,14977.86189,16277.51696,31255.37885
64,19100064 : Ward 64,13337.22081,14655.24349,27992.4643
65,19100065 : Ward 65,15158.45446,16378.3522,31536.80666
66,19100066 : Ward 66,14929.99275,16153.70731,31083.70006
67,19100067 : Ward 67,25061.26165,23661.59764,48722.85929
68,19100068 : Ward 68,12506.15949,13866.85328,26373.01277
69,19100069 : Ward 69,17696.88653,17072.66063,34769.54716
70,19100070 : Ward 70,12036.15366,13076.25971,25112.41337
71,19100071 : Ward 71,12728.08461,12703.2805,25431.36511
72,19100072 : Ward 72,13533.59642,14343.77007,27877.36649
73,19100073 : Ward 73,12084.80752,14161.00105,26245.80857
74,19100074 : Ward 74,17127.78592,16309.85331,33437.63923
75,19100075 : Ward 75,17797.03852,19078.716,36875.75452
76,19100076 : Ward 76,17074.36693,17773.43497,34847.8019
77,19100077 : Ward 77,10530.44239,11770.34656,22300.78895
78,19100078 : Ward 78,16626.72124,17511.88281,34138.60405
79,19100079 : Ward 79,21107.70457,22375.32483,43483.0294
80,19100080 : Ward 80,17716.23591,18183.78112,35900.01703
81,19100081 : Ward 81,18846.78773,20085.67025,38932.45798
82,19100082 : Ward 82,20054.9115,21327.15286,41382.06436
83,19100083 : Ward 83,12596.5959,12244.36258,24840.95848
84,19100084 : Ward 84,16753.65258,18217.30329,34970.95587
85,19100085 : Ward 85,16813.93597,16553.52786,33367.46383
86,19100086 : Ward 86,19928.85184,19248.08167,39176.93351
87,19100087 : Ward 87,13382.48138,12772.6843,26155.16568
88,19100088 : Ward 88,22613.79888,21160.84375,43774.64263
89,19100089 : Ward 89,16143.36684,16164.82849,32308.19533
90,19100090 : Ward 90,10996.34417,11179.06498,22175.40915
91,19100091 : Ward 91,15693.48029,16569.56477,32263.04506
92,19100092 : Ward 92,14124.85256,15801.6747,29926.52726
93,19100093 : Ward 93,17226.87013,18104.48482,35331.35495
94,19100094 : Ward 94,14901.8807,16702.02888,31603.90958
95,19100095 : Ward 95,20277.81874,20171.17149,40448.99023
